FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-14|AMS|KL|0661||2024-02-14|D|153990800|161728102,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,D,,1.0,ULD,AKE97691KL,409.0,57.0,15-2-2024 04:27:26,FWD,13R,L,153990800,161728102,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990800|161728103,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,277,KG,B,F,16.0,ULD,AKE97691KL,409.0,57.0,15-2-2024 04:27:26,FWD,13R,L,153990800,161728103,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990800|161728104,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,57,KG,B,T,3.0,ULD,AKE97691KL,409.0,57.0,15-2-2024 04:27:26,FWD,13R,L,153990800,161728104,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990801|161728100,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,314,KG,B,Y,18.0,ULD,AKE95453KL,390.0,57.0,15-2-2024 04:27:26,FWD,13L,L,153990801,161728100,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990801|161728101,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,19,KG,B,B,1.0,ULD,AKE95453KL,390.0,57.0,15-2-2024 04:27:26,FWD,13L,L,153990801,161728101,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990802|161728098,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,833,KG,B,F,48.0,ULD,AKE94915KL,928.0,57.0,15-2-2024 04:27:26,FWD,12R,L,153990802,161728098,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990802|161728099,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,38,KG,B,T,2.0,ULD,AKE94915KL,928.0,57.0,15-2-2024 04:27:26,FWD,12R,L,153990802,161728099,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990803|161728094,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,730,KG,B,Y,42.0,ULD,AKE96001KL,823.0,57.0,15-2-2024 04:27:26,FWD,11L,L,153990803,161728094,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990803|161728095,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,36,KG,B,B,2.0,ULD,AKE96001KL,823.0,57.0,15-2-2024 04:27:26,FWD,11L,L,153990803,161728095,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990804|161728096,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,91,KG,B,B,5.0,ULD,AKE97136KL,930.0,57.0,15-2-2024 04:27:26,FWD,11R,L,153990804,161728096,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990804|161728097,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,782,KG,B,Y,45.0,ULD,AKE97136KL,930.0,57.0,15-2-2024 04:27:26,FWD,11R,L,153990804,161728097,,
2024-02-14|AMS|KL|0661||2024-02-14|D|153990805|161704871,2024-02-14|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,G,0.0,BLK,,,,15-2-2024 04:27:26,BLK,51,L,153990805,161704871,,
