ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG14761KL,0,5747344581,1,,R21,1,103.0,"0,34",BOM,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PAG14761KL,,True,False,False
PMC22152KL,0,5749024054,1,1.0,R21,1,389.0,"0,35",BOM,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 23:44,PL03,VG2/3,VG2/3,PMC22152KL,1.0,False,True,False
PMC32144KL,0,7400706031,1,1.0,M21,3,38.0,"0,23",AMS,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:35,PL04,VG2/3,VG2/3,PMC32144KL,3.0,False,True,False
PMC20871MP,1,7401045170,1,,R21,9,1428.0,"9,37",CPH,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PMC20871MP,,True,False,False
PMC32144KL,0,7401045170,1,1.0,R21,9,1428.0,"9,37",CPH,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:31,PL04,VG2/3,VG2/3,PMC32144KL,1.0,False,True,False
PAG14761KL,0,7401046765,1,,M25,1,1.0,"0,02",SVG,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PAG14761KL,,True,False,False
PAG14761KL,0,7401071350,1,,R21,1,180.0,"1,32",HAJ,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PAG14761KL,,True,False,False
PMC25094KL,0,7401072212,1,,M25,1,53.0,"0,09",AUA,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:11,PM01,VG2/3,VG2/3,PMC25094KL,,False,True,False
PMC25094KL,0,7401072223,1,,M25,2,51.0,"0,06",AUA,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:11,PM01,VG2/3,VG2/3,PMC25094KL,,False,True,False
PMC25094KL,0,7401072234,1,,M25,2,44.0,"0,05",AUA,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:11,PM01,VG2/3,VG2/3,PMC25094KL,,False,True,False
PMC67948AF,0,7401078162,1,1.0,R21,1,76.0,"0,6",FRA,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,7/1/2024 6:52,PL01,VG2/3,VG2/3,PMC67948AF,1.0,False,True,False
PMC67948AF,0,7401080052,1,1.0,R21,1,178.5,"0,18",STR,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,7/1/2024 6:55,PL01,VG2/3,VG2/3,PMC67948AF,1.0,False,True,False
PMC25094KL,0,7401080170,1,1.0,M21,1,3.3,"0,05",RTM,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:15,PM01,VG2/3,VG2/3,PMC25094KL,1.0,False,True,False
PMC25094KL,0,7401082340,1,,R21,5,202.0,"0,82",AMS,MSY,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PMC25094KL,,True,False,False
PMC25094KL,0,7401086503,1,,R21,9,70.0,"0,25",AMS,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PMC25094KL,,True,False,False
PMC22152KL,0,7401086971,1,2.0,R21,4,435.1,"0,65",HAM,LRD,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 23:47,PL03,VG2/3,VG2/3,PMC22152KL,3.0,False,True,False
PMC22152KL,0,7401086971,1,1.0,R21,4,435.1,"0,65",HAM,LRD,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 23:47,PL03,VG2/3,VG2/3,PMC22152KL,1.0,False,True,False
PMC25094KL,0,7401088065,1,,R21,9,222.0,"1,05",AMS,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,,,,,PMC25094KL,,True,False,False
PMC32144KL,0,7401089244,1,1.0,M21,1,1.0,"0,02",AMS,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 22:37,PL04,VG2/3,VG2/3,PMC32144KL,1.0,False,True,False
PMC22152KL,0,7445823923,1,1.0,M25,1,81.0,"0,3",STR,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 23:42,PL03,VG2/3,VG2/3,PMC22152KL,1.0,False,True,False
PMC22152KL,0,7454048525,1,1.0,C09,1,41.0,"0,33",OSL,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,6/1/2024 23:26,PL03,VG2/3,VG2/3,PMC22152KL,1.0,False,True,False
PMC67948AF,0,7457229712,1,1.0,R21,1,115.0,"0,96",STR,IAH,KL,661,KL0661,2024-01-07,7/1/2024 10:14,7/1/2024 10:05,Aircraft,7/1/2024 6:57,PL01,VG2/3,VG2/3,PMC67948AF,1.0,False,True,False
