FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-19|AMS|KL|0661||2024-01-19|D|152976182|160650973,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,198,KG,B,T,11.0,ULD,AKE95134KL,769.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152976182,160650973,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976182|160650974,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,D,,1.0,ULD,AKE95134KL,769.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152976182,160650974,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976182|160650975,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,496,KG,B,F,27.0,ULD,AKE95134KL,769.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152976182,160650975,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976183|160650976,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,551,KG,B,Y,30.0,ULD,AKE97038KL,608.0,57.0,16-2-2024 17:02:55,FWD,14L,L,152976183,160650976,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976184|160650963,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,B,B,1.0,ULD,AKE70105KL,718.0,57.0,16-2-2024 17:02:55,FWD,11L,L,152976184,160650963,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976184|160650964,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,B,F,1.0,ULD,AKE70105KL,718.0,57.0,16-2-2024 17:02:55,FWD,11L,L,152976184,160650964,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976184|160650965,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,625,KG,B,Y,34.0,ULD,AKE70105KL,718.0,57.0,16-2-2024 17:02:55,FWD,11L,L,152976184,160650965,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976185|160650977,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,57,KG,B,F,3.0,ULD,AKE96627KL,356.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152976185,160650977,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976185|160650978,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,242,KG,B,Y,13.0,ULD,AKE96627KL,356.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152976185,160650978,,
2024-01-19|AMS|KL|0661||2024-01-19|D|152976186|160650971,2024-01-19|KL|0661||AMS,ACTIVE,AMS,IAH,20,KG,B,B,1.0,ULD,AKE97321KL,702.0,57.0,16-2-2024 17:02:55,FWD,13L,L,152976186,160650971,,
