FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-03|AMS|KL|0661||2024-03-03|D|154740212|162523770,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,151,KG,B,F,9.0,ULD,AKE97588KL,489.0,57.0,4/3/2024 4:35,AFT,42R,L,154740212,162523770,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740212|162523771,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,281,KG,B,Y,17.0,ULD,AKE97588KL,489.0,57.0,4/3/2024 4:35,AFT,42R,L,154740212,162523771,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740213|162522923,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,17,KG,B,T,1.0,ULD,AKE98159KL,798.0,57.0,4/3/2024 4:35,AFT,42L,L,154740213,162522923,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740213|162522924,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,36,KG,D,,2.0,ULD,AKE98159KL,798.0,57.0,4/3/2024 4:35,AFT,42L,L,154740213,162522924,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740213|162522925,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,688,KG,B,F,41.0,ULD,AKE98159KL,798.0,57.0,4/3/2024 4:35,AFT,42L,L,154740213,162522925,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740214|162523772,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,D,,1.0,ULD,AKE97675KL,680.0,57.0,4/3/2024 4:35,AFT,43R,L,154740214,162523772,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740214|162523773,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,605,KG,B,F,36.0,ULD,AKE97675KL,680.0,57.0,4/3/2024 4:35,AFT,43R,L,154740214,162523773,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740215|162522927,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,695,KG,B,Y,42.0,ULD,AKE70082KL,752.0,57.0,4/3/2024 4:35,AFT,44L,L,154740215,162522927,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740216|162522928,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,19,KG,B,B,1.0,ULD,AKE97236KL,738.0,57.0,4/3/2024 4:35,AFT,44R,L,154740216,162522928,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740216|162522929,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,662,KG,B,Y,40.0,ULD,AKE97236KL,738.0,57.0,4/3/2024 4:35,AFT,44R,L,154740216,162522929,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740217|162522926,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,314,KG,B,Y,19.0,ULD,AKE96939KL,371.0,57.0,4/3/2024 4:35,AFT,43L,L,154740217,162522926,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740218|162522921,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,629,KG,B,Y,38.0,ULD,AKE94937KL,760.0,57.0,4/3/2024 4:35,AFT,41L,L,154740218,162522921,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740218|162522922,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,74,KG,B,B,4.0,ULD,AKE94937KL,760.0,57.0,4/3/2024 4:35,AFT,41L,L,154740218,162522922,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740219|162499010,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,G,0.0,BLK,,,,4/3/2024 4:35,BLK,51,L,154740219,162499010,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740220|162499011,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,B,0.0,BLK,,,,4/3/2024 4:35,BLK,51,L,154740220,162499011,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740221|162499012,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,T,0.0,BLK,,,,4/3/2024 4:35,BLK,51,L,154740221,162499012,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740222|162499013,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,F,0.0,BLK,,,,4/3/2024 4:35,BLK,51,L,154740222,162499013,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154740223|162499014,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,B,Y,1.0,BLK,,,,4/3/2024 4:35,BLK,51,L,154740223,162499014,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154758320|162517910,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,540,KG,C,,,ULD,PMC32652KL,665.0,125.0,4/3/2024 4:35,FWD,11P,L,154758320,162517910,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154758321|162517911|19316028,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,2480,KG,C,,,ULD,PMC25017KL,2605.0,125.0,4/3/2024 4:35,AFT,31P,L,154758321,162517911,19316028.0,OHG
2024-03-03|AMS|KL|0661||2024-03-03|D|154758322|162517912,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,1795,KG,C,,,ULD,PMC76306AF,1905.0,110.0,4/3/2024 4:35,FWD,21P,L,154758322,162517912,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154758323|162517913,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,1585,KG,C,,,ULD,PMC76415AF,1695.0,110.0,4/3/2024 4:35,FWD,12P,L,154758323,162517913,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154758324|162517914,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,2985,KG,C,,,ULD,PMC21207MP,3110.0,125.0,4/3/2024 4:35,AFT,32P,L,154758324,162517914,,
2024-03-03|AMS|KL|0661||2024-03-03|D|154758325|162517915|19316029,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,1690,KG,C,,,ULD,PAG14153KL,1810.0,120.0,4/3/2024 4:35,FWD,13P,L,154758325,162517915,19316029.0,RFL
2024-03-03|AMS|KL|0661||2024-03-03|D|154758326|162517916|19316030,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,2415,KG,C,,,ULD,PMC75956AF,2525.0,110.0,4/3/2024 4:35,FWD,23P,L,154758326,162517916,19316030.0,RRE
2024-03-03|AMS|KL|0661||2024-03-03|D|154758327|162517917|19316031,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,2140,KG,C,,,ULD,PMC32240KL,2265.0,125.0,4/3/2024 4:35,FWD,22P,L,154758327,162517917,19316031.0,PES
2024-03-03|AMS|KL|0661||2024-03-03|D|154758327|162517917|19316032,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,2140,KG,C,,,ULD,PMC32240KL,2265.0,125.0,4/3/2024 4:35,FWD,22P,L,154758327,162517917,19316032.0,COL
2024-03-03|AMS|KL|0661||2024-03-03|D|154758628|162518233,2024-03-03|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,X,,,ULD,AKE97512KL,57.0,57.0,4/3/2024 4:35,AFT,41R,L,154758628,162518233,,
