ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG14664KL,0,5708275293,1,1.0,M25,1,686.0,"1,16",BOM,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:35,PL12,VG2/3,VG2/3,PAG14664KL,1.0,False,True,False
PMC28523KL,0,5750419084,1,1.0,R21,1,426.0,"0,47",MAA,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 6:36,PL14,VG2/3,VG2/3,PMC28523KL,1.0,False,True,False
PMC28523KL,0,5750784403,1,1.0,M25,1,33.0,"0,04",MAA,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 6:42,PL14,VG2/3,VG2/3,PMC28523KL,1.0,False,True,False
PAG14664KL,0,7401324805,1,1.0,R21,1,54.0,"0,71",WAW,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:32,PL12,VG2/3,VG2/3,PAG14664KL,1.0,False,True,False
PMC67586AF,4,7401329064,1,1.0,R21,1,85.0,"0,32",RTM,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:47,PK12,VG2/3,VG2/3,PMC67586AF,1.0,False,True,False
PAG14858KL,0,7401336554,1,1.0,R21,1,60.0,"1,37",BRU,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 7:15,PM01,VG2/3,VG2/3,PAG14858KL,1.0,False,True,False
PAG14664KL,0,7401337195,1,1.0,R21,1,979.0,"1,62",SVG,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:38,PL12,VG2/3,VG2/3,PAG14664KL,1.0,False,True,False
PAG14664KL,0,7401339564,1,1.0,R21,2,67.0,"1,15",DUS,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:41,PL12,VG2/3,VG2/3,PAG14664KL,1.0,False,True,False
PAG14664KL,0,7401339564,1,2.0,R21,2,67.0,"1,15",DUS,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:41,PL12,VG2/3,VG2/3,PAG14664KL,1.0,False,True,False
PAG14664KL,0,7401344092,1,1.0,R21,2,74.4,"0,88",HAM,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:30,PL12,VG2/3,VG2/3,PAG14664KL,2.0,False,True,False
PMC67586AF,4,7401344280,1,1.0,R21,1,234.0,"0,35",VIE,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:57,PK12,VG2/3,VG2/3,PMC67586AF,1.0,False,True,False
AKE95933KL,0,7401345912,1,1.0,R21,8,381.2,"1,42",AMS,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 0:38,PK14,VG2/3,VG2/3,AKE95933KL,8.0,False,True,False
AKE96249KL,0,7401346715,1,1.0,R21,8,74.6,"0,3",AMS,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 0:26,PK13,VG2/3,VG2/3,AKE96249KL,8.0,False,True,False
PMC23545KL,0,7401346984,1,1.0,R21,2,1030.0,"1,07",BLL,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:21,PK13,VG2/3,VG2/3,PMC23545KL,1.0,False,True,False
PMC23545KL,0,7401346984,1,2.0,R21,2,1030.0,"1,07",BLL,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:21,PK13,VG2/3,VG2/3,PMC23545KL,1.0,False,True,False
PAG14858KL,0,7401348340,1,1.0,M25,1,90.0,"0,5",STR,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 7:15,PM01,VG2/3,VG2/3,PAG14858KL,1.0,False,True,False
PMC28523KL,0,7401352352,1,1.0,R21,1,119.0,"0,34",BER,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 6:34,PL14,VG2/3,VG2/3,PMC28523KL,1.0,False,True,False
PMC67586AF,4,7401354754,1,1.0,R21,2,1023.0,"2,19",AMS,ELP,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:46,PK12,VG2/3,VG2/3,PMC67586AF,2.0,False,True,False
PMC23545KL,0,7401364075,1,1.0,M21,1,0.4,"0,01",AMS,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:22,PK13,VG2/3,VG2/3,PMC23545KL,1.0,False,True,False
PMC23545KL,0,7401364904,1,1.0,M21,1,1.8,"0,05",AMS,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:06,PK13,VG2/3,VG2/3,PMC23545KL,1.0,False,True,False
PMC23545KL,0,7401366120,1,1.0,M21,1,5.0,"0,01",ZRH,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:26,PK13,VG2/3,VG2/3,PMC23545KL,1.0,False,True,False
PMC67586AF,4,7448087410,1,1.0,M21,1,17.2,"0,1",SIN,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:53,PK12,VG2/3,VG2/3,PMC67586AF,1.0,False,True,False
PMC67586AF,4,7458835630,1,1.0,R21,1,280.0,"0,33",SIN,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 23:51,PK12,VG2/3,VG2/3,PMC67586AF,1.0,False,True,False
PAG14664KL,0,7461013422,1,1.0,M21,2,9.0,"0,13",OSL,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,9/3/2024 22:31,PL12,VG2/3,VG2/3,PAG14664KL,2.0,False,True,False
PMC28523KL,0,7462467344,1,3.0,M25,3,289.6,"2,24",BRE,IAH,KL,661,KL0661,2024-03-10,10/3/2024 10:24,10/3/2024 10:05,Aircraft,10/3/2024 6:46,PL14,VG2/3,VG2/3,PMC28523KL,1.0,False,True,False
