BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
29-3-2024 10:20:42,57,47196763,5747196763,AMS,IAH,A,1.62,MC,767.0,K,1.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18578513,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,1.62,767.0,1.0,1.0,1.0,1.62,767.0,1.0,True,True,1.62,767.0,,,,False
29-3-2024 10:20:42,57,47196763,5747196763,AMS,IAH,A,1.62,MC,767.0,K,1.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18578513,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,1.62,767.0,1.0,1.0,2.0,1.62,,1.0,True,True,1.62,767.0,75.0,122.0,177.0,True
29-3-2024 10:20:42,57,50969100,5750969100,BOM,IAH,A,2.63,MC,595.0,K,2.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18572519,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,2.63,595.0,2.0,1.0,1.0,1.32,297.5,2.0,True,True,1.32,297.5,,,,False
29-3-2024 10:20:42,74,515255,7400515255,RTM,IAH,A,0.06,MC,16.0,K,1.0,M21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18594875,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.06,16.0,1.0,1.0,1.0,0.06,16.0,1.0,True,True,0.06,16.0,,,,False
29-3-2024 10:20:42,74,515255,7400515255,RTM,IAH,A,0.06,MC,16.0,K,1.0,M21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18594875,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.06,16.0,1.0,1.0,3.0,0.06,,1.0,True,True,0.06,16.0,41.0,37.0,38.0,True
29-3-2024 10:20:42,74,515255,7400515255,RTM,IAH,A,0.06,MC,16.0,K,1.0,M21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18594875,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.06,16.0,1.0,1.0,2.0,0.03,,1.0,True,True,0.03,16.0,30.0,29.0,35.0,True
29-3-2024 10:20:42,74,577253,7400577253,RTM,IAH,A,0.04,MC,6.0,K,3.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18596572,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.03,6.0,3.0,1.0,3.0,0.01,,1.0,True,True,0.01,,9.0,34.0,36.0,True
29-3-2024 10:20:42,74,577253,7400577253,RTM,IAH,A,0.04,MC,6.0,K,3.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18596572,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.03,6.0,3.0,1.0,2.0,0.01,,1.0,True,True,0.01,,16.0,24.0,29.0,True
29-3-2024 10:20:42,74,577253,7400577253,RTM,IAH,A,0.04,MC,6.0,K,3.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18596572,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.03,6.0,3.0,1.0,4.0,0.01,,1.0,True,True,0.01,,11.0,35.0,37.0,True
29-3-2024 10:20:42,74,577253,7400577253,RTM,IAH,A,0.04,MC,6.0,K,3.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18596572,KL,661,KL0661,,AMS,IAH,28-3-2024,2024-03-29,0.03,6.0,3.0,1.0,1.0,0.01,2.0,3.0,True,True,0.01,2.0,,,,False
