ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE96897KL,0,7400862805,1,1.0,R21,1,227.5,"0,74",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:34:37,PL02,VG2/3,VG2/3,AKE96897KL,1.0,False,True,False
PAG15432KL,0,7401220995,1,1.0,R21,1,111.0,"1,1",FRA,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:22:56,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
AKE96588KL,0,7401229620,1,1.0,R21,1,205.0,"0,67",MAN,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:43:54,PL01,VG2/3,VG2/3,AKE96588KL,1.0,False,True,False
PAG15432KL,0,7401229734,1,1.0,R91,1,256.0,"0,96",DUS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:29:28,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
AKE97817KL,0,7401231241,1,1.0,R21,1,235.0,"0,76",RTM,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 18:17:50,PL02,VG2/3,VG2/3,AKE97817KL,1.0,False,True,False
AKE96588KL,0,7401237471,1,1.0,R21,1,120.0,"0,72",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:45:45,PL01,VG2/3,VG2/3,AKE96588KL,1.0,False,True,False
PAG15432KL,0,7401239851,1,1.0,R21,4,270.2,"1,62",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:37:25,PL01,VG2/3,VG2/3,PAG15432KL,2.0,False,True,False
PAG15432KL,0,7401239851,1,2.0,R21,4,270.2,"1,62",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:37:25,PL01,VG2/3,VG2/3,PAG15432KL,2.0,False,True,False
AKE96897KL,0,7462316181,1,1.0,R21,1,169.5,"0,52",SWK,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:36:50,PL02,VG2/3,VG2/3,AKE96897KL,1.0,False,True,False
PAG15432KL,0,7462318141,1,1.0,R21,2,290.0,"2,2",SWK,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:25:24,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
PAG15432KL,0,7462318141,1,2.0,R21,2,290.0,"2,2",SWK,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:25:24,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
PMC33270KL,1,7462964591,1,,C01,20,2465.0,"16,7",HAJ,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,,,,,PMC33270KL,,True,False,False
PMC95419DL,1,7462964591,1,,C01,20,2465.0,"16,7",HAJ,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,,,,,PMC95419DL,,True,False,False
PAG15432KL,0,7463097300,1,1.0,R21,1,530.0,"1,14",SWK,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:23:46,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
AKE97927KL,0,7463620826,1,4.0,R21,4,321.1,"5,21",HAM,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:52:00,PL01,VG2/3,VG2/3,AKE97927KL,1.0,False,True,False
PMC22066KL,0,7463735276,1,1.0,S51,4,808.0,"4,83",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:16:21,PL01,VG2/3,VG2/3,PMC22066KL,1.0,False,True,False
PMC22066KL,0,7463735276,1,2.0,S51,4,808.0,"4,83",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:16:21,PL01,VG2/3,VG2/3,PMC22066KL,1.0,False,True,False
PMC22066KL,0,7463735276,1,3.0,S51,4,808.0,"4,83",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:16:21,PL01,VG2/3,VG2/3,PMC22066KL,1.0,False,True,False
PMC22066KL,0,7463735276,1,4.0,S51,4,808.0,"4,83",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:16:21,PL01,VG2/3,VG2/3,PMC22066KL,1.0,False,True,False
PAG11778AF,0,7463863730,1,1.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,2.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,3.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,4.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,5.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,6.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,7.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,8.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
AKE70196KL,0,7463863730,1,9.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:31:43,PL01,VG2/3,VG2/3,AKE70196KL,5.0,False,True,False
PAG11778AF,0,7463863730,1,10.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,2.0,False,True,False
PAG11778AF,0,7463863730,1,11.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,2.0,False,True,False
PAG11778AF,0,7463863730,1,12.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,2.0,False,True,False
PAG11778AF,0,7463863730,1,13.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PAG11778AF,0,7463863730,1,14.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,2.0,False,True,False
PMC22066KL,0,7463863730,1,15.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:22:47,PL01,VG2/3,VG2/3,PMC22066KL,4.0,False,True,False
PAG11778AF,0,7463863730,1,16.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,1.0,False,True,False
PMC22066KL,0,7463863730,1,17.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:22:47,PL01,VG2/3,VG2/3,PMC22066KL,4.0,False,True,False
PAG11778AF,0,7463863730,1,18.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 15:27:08,PL02,VG2/3,VG2/3,PAG11778AF,2.0,False,True,False
PMC22066KL,0,7463863730,1,19.0,R21,36,3432.0,"10,78",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:22:47,PL01,VG2/3,VG2/3,PMC22066KL,3.0,False,True,False
PAG15432KL,0,7463885824,1,1.0,R91,2,1.9,"0,01",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:34:09,PL01,VG2/3,VG2/3,PAG15432KL,2.0,False,True,False
PMC22066KL,0,7463912774,1,1.0,M21,1,9.4,"0,1",ZRH,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:29:17,PL01,VG2/3,VG2/3,PMC22066KL,1.0,False,True,False
AKE96897KL,0,7463921270,1,1.0,R21,6,1386.4,"7,36",STR,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 17:35:31,PL02,VG2/3,VG2/3,AKE96897KL,1.0,False,True,False
PAG15432KL,0,7464071652,1,1.0,R21,2,47.0,"0,28",RTM,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:31:24,PL01,VG2/3,VG2/3,PAG15432KL,2.0,False,True,False
AKE95380KL,0,7464172964,1,1.0,R21,1,550.0,"1,38",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 18:10:00,PL01,VG2/3,VG2/3,AKE95380KL,1.0,False,True,False
PAG15432KL,0,7464228533,1,1.0,M21,4,24.2,"0,14",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:31:32,PL01,VG2/3,VG2/3,PAG15432KL,4.0,False,True,False
PAG15432KL,0,7464228570,1,1.0,M21,1,8.0,"0,05",AMS,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:34:03,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
PAG15432KL,0,7464407663,1,1.0,R21,1,158.0,"1,2",BRU,ICN,KL,855,KL0855,2024-02-15,15-2-2024 20:31:00,15-2-2024 20:35:00,Aircraft,15-2-2024 14:28:53,PL01,VG2/3,VG2/3,PAG15432KL,1.0,False,True,False
