FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-15|AMS|KL|0855||2024-02-15|D|154044953|161793218,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,471,KG,B,F,26.0,ULD,AKE98217KL,708.0,57.0,16-2-2024 04:27:44,AFT,42R,L,154044953,161793218,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044953|161793219,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,180,KG,D,,10.0,ULD,AKE98217KL,708.0,57.0,16-2-2024 04:27:44,AFT,42R,L,154044953,161793219,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044954|161793222,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,721,KG,B,Y,40.0,ULD,AKE95717KL,778.0,57.0,16-2-2024 04:27:44,AFT,44L,L,154044954,161793222,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044955|161793216,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,739,KG,B,Y,41.0,ULD,AKE96312KL,796.0,57.0,16-2-2024 04:27:44,AFT,41L,L,154044955,161793216,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044956|161793450,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,622,KG,B,T,32.0,ULD,AKE96207KL,679.0,57.0,16-2-2024 04:27:44,AFT,43L,L,154044956,161793450,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044957|161793220,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,B,B,1.0,ULD,AKE96647KL,742.0,57.0,16-2-2024 04:27:44,AFT,43R,L,154044957,161793220,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044957|161793221,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,667,KG,B,Y,37.0,ULD,AKE96647KL,742.0,57.0,16-2-2024 04:27:44,AFT,43R,L,154044957,161793221,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044958|161793217,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,757,KG,B,Y,42.0,ULD,AKE70257KL,814.0,57.0,16-2-2024 04:27:44,AFT,41R,L,154044958,161793217,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044959|161793223,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,19,KG,B,B,1.0,ULD,AKE95235KL,797.0,57.0,16-2-2024 04:27:44,AFT,44R,L,154044959,161793223,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044959|161793224,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,721,KG,B,Y,40.0,ULD,AKE95235KL,797.0,57.0,16-2-2024 04:27:44,AFT,44R,L,154044959,161793224,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044960|161793448,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,396,KG,B,Y,22.0,ULD,AKE96950KL,707.0,57.0,16-2-2024 04:27:44,AFT,42L,L,154044960,161793448,,
2024-02-15|AMS|KL|0855||2024-02-15|D|154044960|161793449,2024-02-15|KL|0855||AMS,ACTIVE,AMS,ICN,254,KG,B,F,14.0,ULD,AKE96950KL,707.0,57.0,16-2-2024 04:27:44,AFT,42L,L,154044960,161793449,,
