BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
21-2-2024 20:04:50,57,50306686,5750306686,FRA,ICN,A,2.47,MC,117.7,K,2.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18352617,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,2.47,117.7,2.0,1.0,2.0,1.24,,2.0,True,True,1.24,58.85,114.0,86.0,126.0,True
21-2-2024 20:04:50,57,50306686,5750306686,FRA,ICN,A,2.47,MC,117.7,K,2.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18352617,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,2.47,117.7,2.0,1.0,1.0,1.24,58.85,2.0,True,True,1.24,58.85,,,,False
21-2-2024 20:04:50,74,441405,7400441405,BER,ICN,A,18.53,MC,2055.0,K,8.0,C51,PHAR,AMS,FFM,False,True,False,False,False,False,False,False,18381217,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,20.0,2055.0,8.0,1.0,2.0,2.32,,8.0,True,True,2.32,256.88,136.0,112.0,152.0,True
21-2-2024 20:04:50,74,1219363,7401219363,BER,ICN,A,12.73,MC,1264.3,K,11.0,S50,PHAR,AMS,FFM,False,False,False,False,False,False,False,False,18367343,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,12.72,1264.2,11.0,,,,,,,,,,,,,
21-2-2024 20:04:50,74,1241645,7401241645,BER,ICN,A,18.53,MC,2042.9,K,8.0,C51,PHAR,AMS,FFM,False,True,False,False,False,False,False,False,18395612,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,20.0,2042.8,8.0,1.0,2.0,2.32,,8.0,True,True,2.32,255.36,136.0,112.0,152.0,True
21-2-2024 20:04:50,74,1262181,7401262181,AMS,ICN,A,1.18,MC,197.0,K,2.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18422891,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,1.18,197.0,2.0,1.0,2.0,0.07,,1.0,True,True,0.07,,41.0,41.0,41.0,True
21-2-2024 20:04:50,74,1262181,7401262181,AMS,ICN,A,1.18,MC,197.0,K,2.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18422891,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,1.18,197.0,2.0,1.0,1.0,0.59,98.5,2.0,True,True,0.59,98.5,,,,False
21-2-2024 20:04:50,74,1262181,7401262181,AMS,ICN,A,1.18,MC,197.0,K,2.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18422891,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,1.18,197.0,2.0,1.0,3.0,0.7,,1.0,True,True,0.7,,73.0,80.0,120.0,True
21-2-2024 20:04:50,74,61359616,7461359616,CGN,ICN,A,0.03,MC,4.5,K,1.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18407112,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.03,4.5,1.0,1.0,2.0,0.03,,1.0,True,True,0.03,4.5,34.0,22.0,41.0,True
21-2-2024 20:04:50,74,61359616,7461359616,CGN,ICN,A,0.03,MC,4.5,K,1.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18407112,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.03,4.5,1.0,1.0,1.0,0.03,4.5,1.0,True,True,0.03,4.5,,,,False
21-2-2024 20:04:50,74,61454536,7461454536,BSL,ICN,A,0.22,MC,29.0,K,1.0,S51,PHAR,AMS,FFM,False,True,False,False,False,False,False,False,18403503,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.22,29.0,1.0,1.0,1.0,0.22,29.0,1.0,True,True,0.22,29.0,,,,False
21-2-2024 20:04:50,74,61454536,7461454536,BSL,ICN,A,0.22,MC,29.0,K,1.0,S51,PHAR,AMS,FFM,False,True,False,False,False,False,False,False,18403503,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.22,29.0,1.0,1.0,2.0,0.22,,1.0,True,True,0.22,29.0,57.0,52.0,74.0,True
21-2-2024 20:04:50,74,61579346,7461579346,AMS,ICN,A,0.03,MC,2.0,K,2.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18385672,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.03,2.0,2.0,1.0,1.0,0.02,1.0,2.0,True,True,0.02,1.0,,,,False
21-2-2024 20:04:50,74,61579346,7461579346,AMS,ICN,A,0.03,MC,2.0,K,2.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18385672,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.03,2.0,2.0,1.0,2.0,0.02,,2.0,True,True,0.02,1.0,23.0,23.0,31.0,True
21-2-2024 20:04:50,74,62655213,7462655213,HAM,ICN,A,0.09,MC,8.0,K,1.0,M25,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18415951,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.09,8.0,1.0,1.0,1.0,0.09,8.0,1.0,True,True,0.09,8.0,,,,False
21-2-2024 20:04:50,74,62797792,7462797792,OSL,ICN,A,1.51,MC,176.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18390500,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,1.51,176.0,1.0,1.0,2.0,1.51,,1.0,True,True,1.51,176.0,157.0,80.0,120.0,True
21-2-2024 20:04:50,74,62797792,7462797792,OSL,ICN,A,1.51,MC,176.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18390500,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,1.51,176.0,1.0,1.0,1.0,1.51,176.0,1.0,True,True,1.51,176.0,,,,False
21-2-2024 20:04:50,74,62936731,7462936731,AMS,ICN,A,0.51,MC,84.1,K,7.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18422998,KL,855,KL0855,,AMS,ICN,20-2-2024,2024-02-21,0.5,84.1,7.0,1.0,2.0,0.01,,1.0,True,True,0.01,,20.0,22.0,29.0,True
