FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-21|AMS|KL|0855||2024-01-21|D|153069985|160757493,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,636,KG,B,F,38.0,ULD,AKE95534KL,729.0,57.0,16-2-2024 17:02:55,AFT,42R,L,153069985,160757493,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069985|160757494,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,36,KG,D,,2.0,ULD,AKE95534KL,729.0,57.0,16-2-2024 17:02:55,AFT,42R,L,153069985,160757494,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069986|160757482,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,11,KG,B,B,1.0,ULD,AKE97825KL,779.0,57.0,16-2-2024 17:02:55,AFT,32L,L,153069986,160757482,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069986|160757483,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,711,KG,B,Y,39.0,ULD,AKE97825KL,779.0,57.0,16-2-2024 17:02:55,AFT,32L,L,153069986,160757483,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069987|160757484,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,12,KG,B,B,1.0,ULD,AKE98136KL,798.0,57.0,16-2-2024 17:02:55,AFT,32R,L,153069987,160757484,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069987|160757485,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,729,KG,B,Y,40.0,ULD,AKE98136KL,798.0,57.0,16-2-2024 17:02:55,AFT,32R,L,153069987,160757485,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069988|160757489,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,656,KG,B,Y,36.0,ULD,AKE96475KL,713.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153069988,160757489,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069989|160757486,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,674,KG,B,Y,37.0,ULD,AKE96267KL,731.0,57.0,16-2-2024 17:02:55,AFT,33L,L,153069989,160757486,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069990|160757488,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,648,KG,B,T,32.0,ULD,AKE97747KL,705.0,57.0,16-2-2024 17:02:55,AFT,41L,L,153069990,160757488,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069991|160757487,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,583,KG,B,Y,32.0,ULD,AKE95608KL,640.0,57.0,16-2-2024 17:02:55,AFT,33R,L,153069991,160757487,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069992|160725270,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153069992,160725270,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069993|160725271,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153069993,160725271,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069994|160725272,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153069994,160725272,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069995|160725273,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153069995,160725273,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153069996|160725274,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,Y,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153069996,160725274,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153087168|160757490,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,21,KG,B,T,1.0,ULD,AKE96409KL,516.0,57.0,16-2-2024 17:02:55,AFT,42L,L,153087168,160757490,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153087168|160757491,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,422,KG,B,Y,23.0,ULD,AKE96409KL,516.0,57.0,16-2-2024 17:02:55,AFT,42L,L,153087168,160757491,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153087168|160757492,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,16,KG,B,F,1.0,ULD,AKE96409KL,516.0,57.0,16-2-2024 17:02:55,AFT,42L,L,153087168,160757492,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153092956|160750340,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,433,KG,C,,,ULD,AKE97729KL,490.0,57.0,16-2-2024 17:02:55,AFT,31R,L,153092956,160750340,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153092957|160750341,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,353,KG,C,,,ULD,AKE97068KL,410.0,57.0,16-2-2024 17:02:55,AFT,31L,L,153092957,160750341,,
2024-01-21|AMS|KL|0855||2024-01-21|D|153092958|160750342|19124666,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,1510,KG,C,,,ULD,PMC64157AF,1620.0,110.0,16-2-2024 17:02:55,FWD,12P,L,153092958,160750342,19124666.0,CRT
2024-01-21|AMS|KL|0855||2024-01-21|D|153092959|160750343|19124667,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,2985,KG,C,,,ULD,PAG15899KL,3105.0,120.0,16-2-2024 17:02:55,AFT,42P,L,153092959,160750343,19124667.0,CRT
2024-01-21|AMS|KL|0855||2024-01-21|D|153092960|160750344|19124668,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,1776,KG,C,,,ULD,PAG10151AF,1880.0,104.0,16-2-2024 17:02:55,FWD,23P,L,153092960,160750344,19124668.0,COI
2024-01-21|AMS|KL|0855||2024-01-21|D|153092961|160750345|19124669,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,1570,KG,C,,,ULD,PMC32272KL,1695.0,125.0,16-2-2024 17:02:55,FWD,22P,L,153092961,160750345,19124669.0,ERT
2024-01-21|AMS|KL|0855||2024-01-21|D|153092962|160750346|19124670,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,830,KG,C,,,ULD,PMC61295AF,940.0,110.0,16-2-2024 17:02:55,FWD,13P,L,153092962,160750346,19124670.0,OHG
2024-01-21|AMS|KL|0855||2024-01-21|D|153092962|160750346|19124671,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,830,KG,C,,,ULD,PMC61295AF,940.0,110.0,16-2-2024 17:02:55,FWD,13P,L,153092962,160750346,19124671.0,ERT
2024-01-21|AMS|KL|0855||2024-01-21|D|153092963|160750347|19124672,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,810,KG,C,,,ULD,PMC76109AF,920.0,110.0,16-2-2024 17:02:55,FWD,11P,L,153092963,160750347,19124672.0,OHG
2024-01-21|AMS|KL|0855||2024-01-21|D|153092963|160750347|19124673,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,810,KG,C,,,ULD,PMC76109AF,920.0,110.0,16-2-2024 17:02:55,FWD,11P,L,153092963,160750347,19124673.0,ERT
2024-01-21|AMS|KL|0855||2024-01-21|D|153092964|160750348|19124674,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,840,KG,C,,,ULD,PMC70889AF,950.0,110.0,16-2-2024 17:02:55,FWD,21P,L,153092964,160750348,19124674.0,OHG
2024-01-21|AMS|KL|0855||2024-01-21|D|153092964|160750348|19124675,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,840,KG,C,,,ULD,PMC70889AF,950.0,110.0,16-2-2024 17:02:55,FWD,21P,L,153092964,160750348,19124675.0,ERT
2024-01-21|AMS|KL|0855||2024-01-21|D|153099856|160757657,2024-01-21|KL|0855||AMS,ACTIVE,AMS,ICN,162,KG,D,,9.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153099856,160757657,,
