ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC22726KL,0,7400746690,1,1.0,R21,2,710.0,"2,71",ZRH,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:57:29,PL01,VG2/3,VG2/3,PMC22726KL,1.0,False,True,False
PMC22726KL,0,7400746690,1,2.0,R21,2,710.0,"2,71",ZRH,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:06:53,PL01,VG2/3,VG2/3,PMC22726KL,1.0,False,True,False
AKE98142KL,0,7400783193,1,1.0,R21,3,423.3,"3,8",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 14:43:05,PL01,VG2/3,VG2/3,AKE98142KL,1.0,False,True,False
AKE94851KL,0,7400783193,1,2.0,R21,3,423.3,"3,8",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 15:47:11,PL01,VG2/3,VG2/3,AKE94851KL,1.0,False,True,False
AKE96132KL,0,7400783193,1,3.0,R21,3,423.3,"3,8",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 15:52:39,PL02,VG2/3,VG2/3,AKE96132KL,1.0,False,True,False
PMC21302MP,0,7401134254,1,1.0,R21,2,1377.0,"2,62",ARN,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:51:12,PL01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
PMC21302MP,0,7401134254,1,2.0,R21,2,1377.0,"2,62",ARN,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:56:46,PL01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
AKE95329KL,0,7401140532,1,3.0,R21,2,935.0,"1,92",SXB,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:37:38,PL03,VG2/3,VG2/3,AKE95329KL,1.0,False,True,False
AKE96103KL,0,7401140532,1,3.0,R21,2,935.0,"1,92",SXB,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:45:53,PL01,VG2/3,VG2/3,AKE96103KL,1.0,False,True,False
AKE95329KL,0,7401140532,1,4.0,R21,2,935.0,"1,92",SXB,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:37:38,PL03,VG2/3,VG2/3,AKE95329KL,1.0,False,True,False
AKE96103KL,0,7401140532,1,4.0,R21,2,935.0,"1,92",SXB,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:45:53,PL01,VG2/3,VG2/3,AKE96103KL,1.0,False,True,False
PMC23429KL,5,7401145034,1,,R21,8,4103.3,"5,73",STR,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,,,,,PMC23429KL,,True,False,False
PMC22726KL,0,7401145034,1,,R21,8,4103.3,"5,73",STR,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:58:36,PL01,VG2/3,VG2/3,PMC22726KL,,False,True,False
PMC21302MP,0,7401148943,1,1.0,R21,1,242.0,"1,33",FMO,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:50:49,PL01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
AKE98142KL,0,7459521092,1,1.0,R21,12,121.5,"0,82",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 14:44:36,PL01,VG2/3,VG2/3,AKE98142KL,11.0,False,True,False
AKE98142KL,0,7459521092,1,2.0,R21,12,121.5,"0,82",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 14:44:36,PL01,VG2/3,VG2/3,AKE98142KL,1.0,False,True,False
PMC76556AF,1,7460389523,1,,R21,13,4382.3,10,SWK,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,,,,,PMC76556AF,,True,False,False
AKE96132KL,0,7460389560,1,1.0,M25,3,42.0,"0,14",SWK,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 15:56:06,PL02,VG2/3,VG2/3,AKE96132KL,3.0,False,True,False
B00000,0,7461427262,1,,S30,2,4.1,"0,14",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 20:17:00,KLS,VG1,VG1,B00000,,False,False,True
AKE94881KL,0,7461578300,1,1.0,M21,1,22.0,"0,35",AMS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 16:04:50,PL01,VG2/3,VG2/3,AKE94881KL,1.0,False,True,False
PMC21302MP,0,7462910116,1,1.0,R21,2,1087.9,"1,86",MMX,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:56:22,PL01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
PMC21302MP,0,7462910116,1,2.0,R21,2,1087.9,"1,86",MMX,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:56:22,PL01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
AKE94851KL,0,7462964495,1,1.0,R91,14,216.4,"0,73",HAJ,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 15:46:35,PL01,VG2/3,VG2/3,AKE94851KL,10.0,False,True,False
PMC22726KL,0,7462964495,1,1.0,R91,14,216.4,"0,73",HAJ,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:03:15,PL01,VG2/3,VG2/3,PMC22726KL,10.0,False,True,False
AKE94851KL,0,7462964495,1,2.0,R91,14,216.4,"0,73",HAJ,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 15:44:40,PL01,VG2/3,VG2/3,AKE94851KL,4.0,False,True,False
PMC21302MP,0,7463336895,1,1.0,R21,4,80.6,"0,12",DUS,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 17:57:45,PL01,VG2/3,VG2/3,PMC21302MP,4.0,False,True,False
PMC23429KL,5,7463357711,1,1.0,R21,1,290.0,"3,2",HEL,ICN,KL,855,KL0855,2024-01-26,26-1-2024 20:35:00,26-1-2024 20:35:00,Aircraft,26-1-2024 15:07:42,PL01,VG2/3,VG2/3,PMC23429KL,1.0,False,True,False
