FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-04|AMS|KL|0855||2024-03-04|D|154795250|162590700,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,36,KG,D,,2.0,ULD,AKE70197KL,300.0,57.0,5/3/2024 4:31,AFT,41R,L,154795250,162590700,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795250|162590701,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,191,KG,B,F,13.0,ULD,AKE70197KL,300.0,57.0,5/3/2024 4:31,AFT,41R,L,154795250,162590701,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795250|162590702,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,16,KG,B,Y,1.0,ULD,AKE70197KL,300.0,57.0,5/3/2024 4:31,AFT,41R,L,154795250,162590702,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795251|162590699,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,725,KG,B,T,39.0,ULD,AKE96727KL,782.0,57.0,5/3/2024 4:31,AFT,41L,L,154795251,162590699,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795252|162590688,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,676,KG,B,Y,40.0,ULD,AKE98141KL,750.0,57.0,5/3/2024 4:31,AFT,31L,L,154795252,162590688,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795252|162590689,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,17,KG,B,B,1.0,ULD,AKE98141KL,750.0,57.0,5/3/2024 4:31,AFT,31L,L,154795252,162590689,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795253|162590693,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,17,KG,B,B,1.0,ULD,AKE97939KL,818.0,57.0,5/3/2024 4:31,AFT,32R,L,154795253,162590693,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795253|162590694,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,744,KG,B,Y,44.0,ULD,AKE97939KL,818.0,57.0,5/3/2024 4:31,AFT,32R,L,154795253,162590694,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795254|162590690,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,609,KG,B,Y,36.0,ULD,AKE97328KL,768.0,57.0,5/3/2024 4:31,AFT,31R,L,154795254,162590690,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795254|162590691,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,102,KG,B,B,6.0,ULD,AKE97328KL,768.0,57.0,5/3/2024 4:31,AFT,31R,L,154795254,162590691,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795255|162590692,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,710,KG,B,Y,42.0,ULD,AKE97822KL,767.0,57.0,5/3/2024 4:31,AFT,32L,L,154795255,162590692,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795256|162590696,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,180,KG,D,,10.0,ULD,AKE97009KL,531.0,57.0,5/3/2024 4:31,AFT,33R,L,154795256,162590696,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795256|162590697,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,278,KG,B,F,19.0,ULD,AKE97009KL,531.0,57.0,5/3/2024 4:31,AFT,33R,L,154795256,162590697,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795256|162590698,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,16,KG,B,Y,1.0,ULD,AKE97009KL,531.0,57.0,5/3/2024 4:31,AFT,33R,L,154795256,162590698,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795257|162557387,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154795257,162557387,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795258|162557388,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154795258,162557388,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795259|162557389,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,131,KG,B,T,7.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154795259,162557389,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795260|162557390,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,F,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154795260,162557390,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154795261|162557391,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,55,KG,B,Y,3.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154795261,162557391,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154797955|162590695,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,236,KG,B,Y,14.0,ULD,AKE70110KL,293.0,57.0,5/3/2024 4:31,AFT,33L,L,154797955,162590695,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154820624|162584588|19321584,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,493,KG,C,,,ULD,AKE95051KL,550.0,57.0,5/3/2024 4:31,FWD,12R,L,154820624,162584588,19321584.0,ICE
2024-03-04|AMS|KL|0855||2024-03-04|D|154820625|162584589|19321585,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,719,KG,C,,,ULD,PAG11407AF,815.0,96.0,5/3/2024 4:31,FWD,13P,L,154820625,162584589,19321585.0,COI
2024-03-04|AMS|KL|0855||2024-03-04|D|154820625|162584589|19321586,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,719,KG,C,,,ULD,PAG11407AF,815.0,96.0,5/3/2024 4:31,FWD,13P,L,154820625,162584589,19321586.0,RMD
2024-03-04|AMS|KL|0855||2024-03-04|D|154820626|162584590|19321587,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,295,KG,C,,,ULD,PMC32148KL,420.0,125.0,5/3/2024 4:31,FWD,11P,L,154820626,162584590,19321587.0,RCM
2024-03-04|AMS|KL|0855||2024-03-04|D|154820626|162584590|19321588,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,295,KG,C,,,ULD,PMC32148KL,420.0,125.0,5/3/2024 4:31,FWD,11P,L,154820626,162584590,19321588.0,RCM
2024-03-04|AMS|KL|0855||2024-03-04|D|154820626|162584590|19321589,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,295,KG,C,,,ULD,PMC32148KL,420.0,125.0,5/3/2024 4:31,FWD,11P,L,154820626,162584590,19321589.0,RCM
2024-03-04|AMS|KL|0855||2024-03-04|D|154820626|162584590|19321590,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,295,KG,C,,,ULD,PMC32148KL,420.0,125.0,5/3/2024 4:31,FWD,11P,L,154820626,162584590,19321590.0,RCM
2024-03-04|AMS|KL|0855||2024-03-04|D|154820626|162584590|19321591,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,295,KG,C,,,ULD,PMC32148KL,420.0,125.0,5/3/2024 4:31,FWD,11P,L,154820626,162584590,19321591.0,RCM
2024-03-04|AMS|KL|0855||2024-03-04|D|154820627|162584591|19321592,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,756,KG,C,,,ULD,PAG12807AF,860.0,104.0,5/3/2024 4:31,FWD,21P,L,154820627,162584591,19321592.0,COI
2024-03-04|AMS|KL|0855||2024-03-04|D|154820628|162584592,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,2720,KG,C,,,ULD,PMC70787AF,2830.0,110.0,5/3/2024 4:31,AFT,41P,L,154820628,162584592,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154820629|162584593|19321593,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,1695,KG,C,,,ULD,PMC28107KL,1820.0,125.0,5/3/2024 4:31,FWD,22P,L,154820629,162584593,19321593.0,OHG
2024-03-04|AMS|KL|0855||2024-03-04|D|154820630|162584594|19321594,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,1970,KG,C,,,ULD,PMC29217KL,2095.0,125.0,5/3/2024 4:31,AFT,42P,L,154820630,162584594,19321594.0,OHG
2024-03-04|AMS|KL|0855||2024-03-04|D|154820631|162584595|19321595,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,1905,KG,C,,,ULD,PMC31354KL,2030.0,125.0,5/3/2024 4:31,FWD,23P,L,154820631,162584595,19321595.0,OHG
2024-03-04|AMS|KL|0855||2024-03-04|D|154820809|162584773,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,X,,,ULD,AKE97462KL,57.0,57.0,5/3/2024 4:31,FWD,12L,L,154820809,162584773,,
2024-03-04|AMS|KL|0855||2024-03-04|D|154826453|162590706,2024-03-04|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,D,,1.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154826453,162590706,,
