ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG15466KL,0,7401408352,1,1.0,R21,2,150.0,"0,76",LCJ,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:54:13,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PAG15466KL,0,7401408352,1,2.0,R21,2,150.0,"0,76",LCJ,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:54:13,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PMC24690KL,0,7401432163,1,1.0,R21,7,467.9,"1,93",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:04:16,PH04,VG2/3,VG2/3,PMC24690KL,2.0,False,True,False
PMC24690KL,0,7401432163,1,2.0,R21,7,467.9,"1,93",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:04:16,PH04,VG2/3,VG2/3,PMC24690KL,1.0,False,True,False
PAG15466KL,0,7401432163,1,3.0,R21,7,467.9,"1,93",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:50:02,PH05,VG2/3,VG2/3,PAG15466KL,2.0,False,True,False
PAG10438AF,0,7401432163,1,4.0,R21,7,467.9,"1,93",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:04:10,PH03,VG2/3,VG2/3,PAG10438AF,2.0,False,True,False
PMC24690KL,0,7457259882,1,1.0,R21,1,459.0,"2,75",OPO,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:32:05,PH04,VG2/3,VG2/3,PMC24690KL,1.0,False,True,False
PMC25273KL,3,7460313654,1,,S23,57,283.0,"2,14",QFA,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,,,,,PMC25273KL,,True,False,False
PAG10438AF,0,7461583152,1,1.0,M21,1,2.4,"0,05",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:12:56,PH03,VG2/3,VG2/3,PAG10438AF,1.0,False,True,False
PAG15466KL,0,7461922055,1,1.0,R21,9,198.0,"2,81",PTY,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:56:45,PH05,VG2/3,VG2/3,PAG15466KL,4.0,False,True,False
PAG10438AF,0,7461922055,1,2.0,R21,9,198.0,"2,81",PTY,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:11:35,PH03,VG2/3,VG2/3,PAG10438AF,5.0,False,True,False
PMC25273KL,3,7463144130,1,1.0,R21,2,800.0,"2,88",BCN,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 17:13:14,PH01,VG2/3,VG2/3,PMC25273KL,1.0,False,True,False
PMC25273KL,3,7463144130,1,2.0,R21,2,800.0,"2,88",BCN,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 17:13:14,PH01,VG2/3,VG2/3,PMC25273KL,1.0,False,True,False
PAG10438AF,0,7464140646,1,1.0,M21,1,7.2,"0,13",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:12:47,PH03,VG2/3,VG2/3,PAG10438AF,1.0,False,True,False
PMC24690KL,0,7464160644,1,1.0,R21,1,177.0,"0,7",BIO,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 14:59:04,PH04,VG2/3,VG2/3,PMC24690KL,1.0,False,True,False
PAG15466KL,0,7464203473,1,1.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:50:18,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PAG15466KL,0,7464203473,1,2.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:50:18,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PAG15466KL,0,7464203473,1,3.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:50:18,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PAG15466KL,0,7464203473,1,4.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:50:18,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PAG15466KL,0,7464203473,1,5.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 15:50:18,PH05,VG2/3,VG2/3,PAG15466KL,1.0,False,True,False
PAG10438AF,0,7464203473,1,6.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:05:38,PH03,VG2/3,VG2/3,PAG10438AF,1.0,False,True,False
PAG10438AF,0,7464203473,1,7.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:05:38,PH03,VG2/3,VG2/3,PAG10438AF,1.0,False,True,False
PAG10438AF,0,7464203473,1,8.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:05:38,PH03,VG2/3,VG2/3,PAG10438AF,1.0,False,True,False
PAG10438AF,0,7464203473,1,9.0,S53,12,983.3,"11,19",AMS,ICN,KL,855,KL0855,2024-03-25,25-3-2024 20:29:00,25-3-2024 20:35:00,Aircraft,25-3-2024 16:05:38,PH03,VG2/3,VG2/3,PAG10438AF,1.0,False,True,False
