FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-08|AMS|KL|0601||2024-02-08|D|153753161|161475769,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,16,KG,B,F,1.0,ULD,AKE94978KL,333.0,57.0,13-2-2024 04:28:48,AFT,33R,L,153753161,161475769,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753161|161475770,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,116,KG,B,Y,7.0,ULD,AKE94978KL,333.0,57.0,13-2-2024 04:28:48,AFT,33R,L,153753161,161475770,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753161|161475771,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,144,KG,B,T,8.0,ULD,AKE94978KL,333.0,57.0,13-2-2024 04:28:48,AFT,33R,L,153753161,161475771,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753162|161475355,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,354,KG,B,F,22.0,ULD,AKE94929KL,703.0,57.0,13-2-2024 04:28:48,AFT,41R,L,153753162,161475355,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753162|161475356,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,166,KG,B,Y,10.0,ULD,AKE94929KL,703.0,57.0,13-2-2024 04:28:48,AFT,41R,L,153753162,161475356,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753162|161475357,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,T,1.0,ULD,AKE94929KL,703.0,57.0,13-2-2024 04:28:48,AFT,41R,L,153753162,161475357,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753162|161475358,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,108,KG,D,,6.0,ULD,AKE94929KL,703.0,57.0,13-2-2024 04:28:48,AFT,41R,L,153753162,161475358,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753163|161475350,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,664,KG,B,Y,40.0,ULD,AKE94638KL,721.0,57.0,13-2-2024 04:28:48,AFT,31R,L,153753163,161475350,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753164|161475354,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,306,KG,B,T,17.0,ULD,AKE97019KL,363.0,57.0,13-2-2024 04:28:48,AFT,41L,L,153753164,161475354,,
2024-02-08|AMS|KL|0601||2024-02-08|D|153753165|161475768,2024-02-08|KL|0601||AMS,ACTIVE,AMS,LAX,531,KG,B,Y,32.0,ULD,AKE70074KL,588.0,57.0,13-2-2024 04:28:48,AFT,33L,L,153753165,161475768,,
