ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG10843AF,0,5749485833,1,1.0,S23,39,464.0,"1,25",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,21-2-2024 04:42:51,PK01,VG2/3,VG2/3,PAG10843AF,39.0,False,True,False
PMC22936KL,0,5750448893,1,1.0,M25,1,204.0,"1,22",BOM,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,20-2-2024 23:34:36,PK03,VG2/3,VG2/3,PMC22936KL,1.0,False,True,False
PMC25222KL,0,7401250620,1,1.0,R21,1,130.0,"0,78",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,21-2-2024 06:18:00,PK04,VG2/3,VG2/3,PMC25222KL,1.0,False,True,False
PMC22936KL,0,7401257270,1,1.0,M25,2,28.0,"0,17",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,21-2-2024 01:18:14,PK03,VG2/3,VG2/3,PMC22936KL,2.0,False,True,False
PMC25222KL,0,7401258073,1,1.0,R21,9,149.0,"0,89",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,21-2-2024 06:18:30,PK04,VG2/3,VG2/3,PMC25222KL,9.0,False,True,False
PMC22936KL,0,7401258073,1,1.0,R21,9,149.0,"0,89",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,21-2-2024 01:18:06,PK03,VG2/3,VG2/3,PMC22936KL,9.0,False,True,False
PAG10843AF,0,7401258891,1,1.0,M25,1,143.0,"0,71",DUS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,21-2-2024 04:40:00,PK01,VG2/3,VG2/3,PAG10843AF,1.0,False,True,False
PMC21635KL,0,7461614464,1,1.0,R21,2,3200.0,"6,81",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,20-2-2024 22:43:35,PK04,VG2/3,VG2/3,PMC21635KL,1.0,False,True,False
PMC21635KL,0,7461614464,1,2.0,R21,2,3200.0,"6,81",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,20-2-2024 22:43:35,PK04,VG2/3,VG2/3,PMC21635KL,1.0,False,True,False
PMC21635KL,0,7462467510,1,1.0,R21,3,100.0,"0,14",BOM,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,20-2-2024 22:51:46,PK04,VG2/3,VG2/3,PMC21635KL,3.0,False,True,False
PMC22936KL,0,7463204794,1,1.0,C01,1,125.0,"0,75",AMS,LAX,KL,601,KL0601,2024-02-21,21-2-2024 10:01:00,21-2-2024 09:50:00,Aircraft,20-2-2024 23:35:39,PK03,VG2/3,VG2/3,PMC22936KL,1.0,False,True,False
