BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
24-2-2024 10:15:54,57,49664296,5749664296,BKK,LAX,A,7.02,MC,656.0,K,15.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18433939,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,6.99,655.9,15.0,1.0,4.0,2.28,,3.0,True,True,2.28,,158.0,120.0,120.0,True
24-2-2024 10:15:54,57,49664296,5749664296,BKK,LAX,A,7.02,MC,656.0,K,15.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18433939,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,6.99,655.9,15.0,1.0,3.0,0.03,,11.0,True,True,0.03,,23.0,32.0,45.0,True
24-2-2024 10:15:54,57,49664296,5749664296,BKK,LAX,A,7.02,MC,656.0,K,15.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18433939,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,6.99,655.9,15.0,1.0,2.0,0.03,,1.0,True,True,0.03,,32.0,27.0,30.0,True
24-2-2024 10:15:54,74,1251655,7401251655,AMS,LAX,A,0.14,MC,23.0,K,1.0,S23,PLNT,AMS,FFM,False,True,False,False,False,False,False,False,18407570,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.14,23.0,1.0,1.0,1.0,0.14,23.0,1.0,True,True,0.14,23.0,,,,False
24-2-2024 10:15:54,74,1251655,7401251655,AMS,LAX,A,0.14,MC,23.0,K,1.0,S23,PLNT,AMS,FFM,False,True,False,False,False,False,False,False,18407570,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.14,23.0,1.0,1.0,2.0,0.28,,1.0,True,True,0.28,23.0,44.0,80.0,80.0,True
24-2-2024 10:15:54,74,1255973,7401255973,AMS,LAX,A,0.82,MC,137.3,K,14.0,M25,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18416592,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.82,137.3,14.0,1.0,11.0,0.08,,1.0,True,True,0.08,,37.0,37.0,57.0,True
24-2-2024 10:15:54,74,1255973,7401255973,AMS,LAX,A,0.82,MC,137.3,K,14.0,M25,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18416592,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.82,137.3,14.0,1.0,8.0,0.02,,1.0,True,True,0.02,,20.0,30.0,40.0,True
24-2-2024 10:15:54,74,1255973,7401255973,AMS,LAX,A,0.82,MC,137.3,K,14.0,M25,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18416592,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.82,137.3,14.0,1.0,5.0,0.01,,1.0,True,True,0.01,,16.0,15.0,20.0,True
24-2-2024 10:15:54,74,1255973,7401255973,AMS,LAX,A,0.82,MC,137.3,K,14.0,M25,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18416592,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.82,137.3,14.0,1.0,4.0,0.01,,1.0,True,True,0.01,,11.0,19.0,19.0,True
24-2-2024 10:15:54,74,1255973,7401255973,AMS,LAX,A,0.82,MC,137.3,K,14.0,M25,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18416592,KL,601,KL0601,,AMS,LAX,23-2-2024,2024-02-24,0.82,137.3,14.0,1.0,1.0,0.06,9.81,14.0,True,True,0.06,9.81,,,,False
