FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-11|AMS|KL|0601||2024-01-11|D|152649420|160276767|19075594,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,407,KG,B,F,23.0,ULD,AKE95952KL,671.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152649420,160276767,19075594.0,WBD
2024-01-11|AMS|KL|0601||2024-01-11|D|152649420|160276768,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,54,KG,D,,3.0,ULD,AKE95952KL,671.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152649420,160276768,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649420|160301947,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,153,KG,B,T,10.0,ULD,AKE95952KL,671.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152649420,160301947,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649421|160276769,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,491,KG,B,F,28.0,ULD,AKE94465KL,630.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152649421,160276769,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649421|160301948,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,46,KG,B,T,3.0,ULD,AKE94465KL,630.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152649421,160301948,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649421|160301949,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,36,KG,D,,2.0,ULD,AKE94465KL,630.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152649421,160301949,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649422|160276770,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,17,KG,B,Y,1.0,ULD,AKE97468KL,421.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152649422,160276770,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649422|160301950,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,317,KG,B,F,18.0,ULD,AKE97468KL,421.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152649422,160301950,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649422|160301951,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,30,KG,B,T,2.0,ULD,AKE97468KL,421.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152649422,160301951,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649423|160276771,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,449,KG,B,Y,26.0,ULD,AKE70236KL,743.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152649423,160276771,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649423|160301952,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,237,KG,B,B,12.0,ULD,AKE70236KL,743.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152649423,160301952,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649424|160276772,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,588,KG,B,Y,34.0,ULD,AKE95870KL,724.0,57.0,16-2-2024 17:02:55,AFT,45R,L,152649424,160276772,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649424|160301953,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,79,KG,B,B,4.0,ULD,AKE95870KL,724.0,57.0,16-2-2024 17:02:55,AFT,45R,L,152649424,160301953,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649425|160276773,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,380,KG,B,Y,22.0,ULD,AKE70081KL,437.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152649425,160276773,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649426|160301954,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,309,KG,B,T,20.0,ULD,AKE95236KL,366.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152649426,160301954,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649427|160301955,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,588,KG,B,Y,34.0,ULD,AKE97447KL,645.0,57.0,16-2-2024 17:02:55,AFT,45L,L,152649427,160301955,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649428|160276776,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,674,KG,B,Y,39.0,ULD,AKE94927KL,829.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152649428,160276776,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649428|160301956,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,98,KG,B,B,5.0,ULD,AKE94927KL,829.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152649428,160301956,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649429|160276777,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152649429,160276777,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649430|160276778,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152649430,160276778,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649431|160276779,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152649431,160276779,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649432|160276780,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152649432,160276780,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152649433|160276781,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,108,KG,B,Y,6.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152649433,160276781,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152661027|160289026,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,467,KG,B,Y,27.0,ULD,AKE95807KL,840.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152661027,160289026,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152661027|160301957,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,316,KG,B,B,16.0,ULD,AKE95807KL,840.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152661027,160301957,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152661028|160301958,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,100,KG,B,B,5.0,ULD,AKE95891KL,728.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152661028,160301958,,
2024-01-11|AMS|KL|0601||2024-01-11|D|152661028|160301959,2024-01-11|KL|0601||AMS,ACTIVE,AMS,LAX,571,KG,B,Y,33.0,ULD,AKE95891KL,728.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152661028,160301959,,
