ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC22239KL,0,5707070556,1,1.0,R21,2,198.0,"1,75",DEL,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:46:47,PK02,VG2/3,VG2/3,PMC22239KL,1.0,False,True,False
PMC22239KL,0,5707070556,1,2.0,R21,2,198.0,"1,75",DEL,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:46:47,PK02,VG2/3,VG2/3,PMC22239KL,1.0,False,True,False
PMC22239KL,0,7400734882,1,1.0,S20,1,24.0,"0,07",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:50:26,PK02,VG2/3,VG2/3,PMC22239KL,1.0,False,True,False
PMC00760DL,2,7400801054,1,,S23,57,473.0,"2,8",QFA,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,,,,,PMC00760DL,,True,False,False
PMC69053AF,0,7401120910,1,2.0,S23,5,2370.0,"5,93",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 05:53:40,PK01,VG2/3,VG2/3,PMC69053AF,1.0,False,True,False
PMC69053AF,0,7401120910,1,1.0,S23,5,2370.0,"5,93",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 05:53:40,PK01,VG2/3,VG2/3,PMC69053AF,1.0,False,True,False
PMC69053AF,0,7401120910,1,3.0,S23,5,2370.0,"5,93",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 05:53:40,PK01,VG2/3,VG2/3,PMC69053AF,1.0,False,True,False
PMC69053AF,0,7401120910,1,4.0,S23,5,2370.0,"5,93",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 05:53:40,PK01,VG2/3,VG2/3,PMC69053AF,1.0,False,True,False
PMC69053AF,0,7401120910,1,5.0,S23,5,2370.0,"5,93",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 05:53:40,PK01,VG2/3,VG2/3,PMC69053AF,1.0,False,True,False
PMC00760DL,2,7401155593,1,1.0,R21,1,340.0,"0,62",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 07:06:10,PK05,VG2/3,VG2/3,PMC00760DL,1.0,False,True,False
PAG15113KL,0,7401160902,1,4.0,R21,11,177.6,"1,28",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 03:24:19,PK04,VG2/3,VG2/3,PAG15113KL,6.0,False,True,False
PAG15113KL,0,7401160902,1,3.0,R21,11,177.6,"1,28",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 03:24:19,PK04,VG2/3,VG2/3,PAG15113KL,5.0,False,True,False
PAG15113KL,0,7401169254,1,1.0,R21,1,325.6,"1,53",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 01:59:40,PK04,VG2/3,VG2/3,PAG15113KL,1.0,False,True,False
PAG15113KL,0,7401169836,1,1.0,R21,1,347.0,"1,15",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 03:19:06,PK04,VG2/3,VG2/3,PAG15113KL,1.0,False,True,False
PMC69053AF,0,7458034885,1,1.0,S23,3,723.0,"3,62",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 05:55:52,PK01,VG2/3,VG2/3,PMC69053AF,1.0,False,True,False
PMC22239KL,0,7458034885,1,2.0,S23,3,723.0,"3,62",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:40:21,PK02,VG2/3,VG2/3,PMC22239KL,1.0,False,True,False
PMC22239KL,0,7458034885,1,3.0,S23,3,723.0,"3,62",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:40:21,PK02,VG2/3,VG2/3,PMC22239KL,1.0,False,True,False
PMC22239KL,0,7459521114,1,1.0,M21,3,18.9,"0,19",AMS,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:50:17,PK02,VG2/3,VG2/3,PMC22239KL,3.0,False,True,False
PMC22239KL,0,7460370520,1,5.0,R21,22,218.9,"0,83",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:57:56,PK02,VG2/3,VG2/3,PMC22239KL,6.0,False,True,False
PMC22239KL,0,7460370520,1,6.0,R21,22,218.9,"0,83",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:57:56,PK02,VG2/3,VG2/3,PMC22239KL,8.0,False,True,False
PMC22239KL,0,7460370520,1,7.0,R21,22,218.9,"0,83",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:57:56,PK02,VG2/3,VG2/3,PMC22239KL,5.0,False,True,False
PMC22239KL,0,7460370520,1,8.0,R21,22,218.9,"0,83",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:57:56,PK02,VG2/3,VG2/3,PMC22239KL,3.0,False,True,False
PMC02764MP,0,7461061910,1,1.0,R21,1,230.0,"0,96",BOM,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 06:09:20,PK02,VG2/3,VG2/3,PMC02764MP,1.0,False,True,False
PAG15113KL,0,7462318771,1,1.0,R21,1,750.0,"1,47",SWK,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,30-1-2024 03:16:48,PK04,VG2/3,VG2/3,PAG15113KL,1.0,False,True,False
PMC02118DL,1,7463002601,1,,S23,207,1631.0,"16,24",QFA,LAX,KL,601,KL0601,2024-01-30,30-1-2024 09:55:00,30-1-2024 09:50:00,Aircraft,,,,,PMC02118DL,,True,False,False
