ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC61678AF,1,5788901562,1,,R21,1045,2064.0,"25,08",NBO,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC61678AF,,True,False,False
PMC67709AF,1,5788901562,1,,R21,1045,2064.0,"25,08",NBO,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC67709AF,,True,False,False
PMC69000AF,1,5788901562,1,,R21,1045,2064.0,"25,08",NBO,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC69000AF,,True,False,False
PMC75060AF,1,5788901665,1,,R21,1030,2020.0,"24,72",NBO,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC75060AF,,True,False,False
AKE12338AF,1,5788901665,1,,R21,1030,2020.0,"24,72",NBO,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,AKE12338AF,,True,False,False
PAG14317KL,0,7400485516,1,1.0,S23,2,600.0,"3,07",AMS,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:55,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PAG14317KL,0,7400485516,1,2.0,S23,2,600.0,"3,07",AMS,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:55,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PAG14317KL,0,7401311052,1,1.0,R21,2,982.0,2,STR,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:56,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PAG14317KL,0,7401311052,1,2.0,R21,2,982.0,2,STR,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:56,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PAG14317KL,0,7401321876,1,1.0,R21,1,180.0,"1,01",AMS,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:51,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PMC01426MP,1,7448191614,1,,R91,4,649.0,"5,09",BUD,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC01426MP,,True,False,False
PMC75466AF,0,7463406136,1,,S76,5,741.0,"9,48",AMS,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,2/3/2024 16:59,SPD,Unknown,Unknown,PMC75466AF,,False,False,False
PAG14317KL,0,7463573171,1,1.0,R21,2,569.0,"0,85",NUE,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:57,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PAG14317KL,0,7463573171,1,2.0,R21,2,569.0,"0,85",NUE,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,3/3/2024 1:57,PK14,VG2/3,VG2/3,PAG14317KL,1.0,False,True,False
PMC98711DL,1,7464006950,1,,S23,12,4800.0,"19,6",QFA,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC98711DL,,True,False,False
PMC02955DL,1,7464006950,1,,S23,12,4800.0,"19,6",QFA,LAX,KL,601,KL0601,2024-03-03,3/3/2024 9:56,3/3/2024 9:50,Aircraft,,,,,PMC02955DL,,True,False,False
