FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-03|AMS|KL|0601||2024-03-03|D|154739670|162523272,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,386,KG,B,Y,22.0,ULD,AKE96652KL,503.0,57.0,4/3/2024 4:35,FWD,15L,L,154739670,162523272,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739670|162523273,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,60,KG,B,F,4.0,ULD,AKE96652KL,503.0,57.0,4/3/2024 4:35,FWD,15L,L,154739670,162523273,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739671|162522379,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,32,KG,B,T,2.0,ULD,AKE96616KL,671.0,57.0,4/3/2024 4:35,FWD,14R,L,154739671,162522379,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739671|162522380,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,36,KG,D,,2.0,ULD,AKE96616KL,671.0,57.0,4/3/2024 4:35,FWD,14R,L,154739671,162522380,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739671|162522381,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,546,KG,B,F,36.0,ULD,AKE96616KL,671.0,57.0,4/3/2024 4:35,FWD,14R,L,154739671,162522381,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739672|162522382,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,614,KG,B,Y,35.0,ULD,AKE97444KL,671.0,57.0,4/3/2024 4:35,FWD,21R,L,154739672,162522382,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739673|162521890,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,190,KG,B,B,10.0,ULD,AKE96430KL,738.0,57.0,4/3/2024 4:35,FWD,23L,L,154739673,162521890,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739673|162521891,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,491,KG,B,Y,28.0,ULD,AKE96430KL,738.0,57.0,4/3/2024 4:35,FWD,23L,L,154739673,162521891,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739674|162522706,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,193,KG,B,T,12.0,ULD,AKE96734KL,250.0,57.0,4/3/2024 4:35,FWD,21L,L,154739674,162522706,,
2024-03-03|AMS|KL|0601||2024-03-03|D|154739675|162521888,2024-03-03|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,B,1.0,ULD,AKE95818KL,689.0,57.0,4/3/2024 4:35,FWD,22R,L,154739675,162521888,,
