FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-14|AMS|KL|0835||2024-02-14|D|154005030|161719804,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,124,KG,B,T,7.0,ULD,AKE95414KL,256.0,57.0,15-2-2024 04:27:26,AFT,42L,L,154005030,161719804,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005030|161751095,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,75,KG,B,F,4.0,ULD,AKE95414KL,256.0,57.0,15-2-2024 04:27:26,AFT,42L,L,154005030,161751095,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005031|161750646,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,432,KG,B,F,23.0,ULD,AKE94609KL,687.0,57.0,15-2-2024 04:27:26,AFT,33R,L,154005031,161750646,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005031|161750647,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,198,KG,D,,11.0,ULD,AKE94609KL,687.0,57.0,15-2-2024 04:27:26,AFT,33R,L,154005031,161750647,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005032|161750648,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,712,KG,B,T,40.0,ULD,AKE97909KL,769.0,57.0,15-2-2024 04:27:26,AFT,42R,L,154005032,161750648,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005033|161719808,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,623,KG,B,Y,36.0,ULD,AKE96555KL,698.0,57.0,15-2-2024 04:27:26,FWD,13R,L,154005033,161719808,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005033|161750649,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,18,KG,B,B,1.0,ULD,AKE96555KL,698.0,57.0,15-2-2024 04:27:26,FWD,13R,L,154005033,161750649,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005034|161719809,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,721,KG,B,Y,44.0,ULD,AKE95500KL,778.0,57.0,15-2-2024 04:27:26,AFT,31L,L,154005034,161719809,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005036|161719811,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,737,KG,B,Y,45.0,ULD,AKE96924KL,794.0,57.0,15-2-2024 04:27:26,AFT,32L,L,154005036,161719811,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005038|161719813,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,590,KG,B,Y,36.0,ULD,AKE98020KL,647.0,57.0,15-2-2024 04:27:26,AFT,33L,L,154005038,161719813,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005040|161719815,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005040,161719815,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005041|161719816,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005041,161719816,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005043|161719818,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,B,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005043,161719818,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005044|161719819,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005044,161719819,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005046|161719821,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,T,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005046,161719821,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005048|161719823,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,F,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005048,161719823,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005050|161719825,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,Y,0.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005050,161719825,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005051|161719826,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,145,KG,B,T,8.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005051,161719826,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005052|161719827,2024-02-14|KL|0835||AMS,ACTIVE,AMS,DPS,33,KG,B,Y,2.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005052,161719827,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154005054|161719829,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,20,KG,B,F,1.0,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154005054,161719829,,
2024-02-14|AMS|KL|0835||2024-02-14|D|154028843|161745210|19233590,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,45,KG,C,,,BLK,,,,15-2-2024 04:27:26,BLK,52,L,154028843,161745210,19233590.0,AVG
2024-02-14|AMS|KL|0835||2024-02-14|D|154028844|161745211|19233591,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,30,KG,C,,,ULD,RKN251283D,680.0,650.0,15-2-2024 04:27:26,FWD,13L,L,154028844,161745211,19233591.0,RMD
2024-02-14|AMS|KL|0835||2024-02-14|D|154028844|161745211|19233592,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,30,KG,C,,,ULD,RKN251283D,680.0,650.0,15-2-2024 04:27:26,FWD,13L,L,154028844,161745211,19233592.0,ACE
2024-02-14|AMS|KL|0835||2024-02-14|D|154028844|161745211|19233593,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,30,KG,C,,,ULD,RKN251283D,680.0,650.0,15-2-2024 04:27:26,FWD,13L,L,154028844,161745211,19233593.0,PIL
2024-02-14|AMS|KL|0835||2024-02-14|D|154028845|161745212|19233594,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,288,KG,C,,,ULD,AKE96591KL,345.0,57.0,15-2-2024 04:27:26,AFT,31R,L,154028845,161745212,19233594.0,CRT
2024-02-14|AMS|KL|0835||2024-02-14|D|154028846|161745213|19233595,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,368,KG,C,,,ULD,AKE96622KL,425.0,57.0,15-2-2024 04:27:26,AFT,32R,L,154028846,161745213,19233595.0,CRT
2024-02-14|AMS|KL|0835||2024-02-14|D|154028846|161745213|19233596,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,368,KG,C,,,ULD,AKE96622KL,425.0,57.0,15-2-2024 04:27:26,AFT,32R,L,154028846,161745213,19233596.0,ERT
2024-02-14|AMS|KL|0835||2024-02-14|D|154028847|161745214|19233597,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1050,KG,C,,,ULD,AKE70230KL,1115.0,65.0,15-2-2024 04:27:26,FWD,14L,L,154028847,161745214,19233597.0,RMD
2024-02-14|AMS|KL|0835||2024-02-14|D|154028847|161745214|19233598,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1050,KG,C,,,ULD,AKE70230KL,1115.0,65.0,15-2-2024 04:27:26,FWD,14L,L,154028847,161745214,19233598.0,RFL
2024-02-14|AMS|KL|0835||2024-02-14|D|154028847|161745214|19233599,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1050,KG,C,,,ULD,AKE70230KL,1115.0,65.0,15-2-2024 04:27:26,FWD,14L,L,154028847,161745214,19233599.0,RFL
2024-02-14|AMS|KL|0835||2024-02-14|D|154028847|161745214|19233600,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1050,KG,C,,,ULD,AKE70230KL,1115.0,65.0,15-2-2024 04:27:26,FWD,14L,L,154028847,161745214,19233600.0,RFL
2024-02-14|AMS|KL|0835||2024-02-14|D|154028848|161745215|19233601,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,823,KG,C,,,ULD,AKE95708KL,880.0,57.0,15-2-2024 04:27:26,FWD,14R,L,154028848,161745215,19233601.0,RNG
2024-02-14|AMS|KL|0835||2024-02-14|D|154028849|161745216|19233602,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1915,KG,C,,,ULD,PMC76299AF,2025.0,110.0,15-2-2024 04:27:26,FWD,23P,L,154028849,161745216,19233602.0,ICE
2024-02-14|AMS|KL|0835||2024-02-14|D|154028849|161745216|19233603,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1915,KG,C,,,ULD,PMC76299AF,2025.0,110.0,15-2-2024 04:27:26,FWD,23P,L,154028849,161745216,19233603.0,COL
2024-02-14|AMS|KL|0835||2024-02-14|D|154028849|161745216|19233604,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1915,KG,C,,,ULD,PMC76299AF,2025.0,110.0,15-2-2024 04:27:26,FWD,23P,L,154028849,161745216,19233604.0,PIL
2024-02-14|AMS|KL|0835||2024-02-14|D|154028849|161745216|19233605,2024-02-14|KL|0835||AMS,ACTIVE,AMS,SIN,1915,KG,C,,,ULD,PMC76299AF,2025.0,110.0,15-2-2024 04:27:26,FWD,23P,L,154028849,161745216,19233605.0,ICE
