ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG12397AF,0,7400889033,1,1.0,M25,2,1107.0,"2,48",HAJ,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:22:42,PM01,VG2/3,VG2/3,PAG12397AF,2.0,False,True,False
PMC75020AF,1,7400889033,1,1.0,M25,2,1107.0,"2,48",HAJ,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:04:38,PL02,VG2/3,VG2/3,PMC75020AF,2.0,False,True,False
PAG15899KL,0,7401230401,1,1.0,M21,1,4.0,"0,01",YYC,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:41:08,PM01,VG2/3,VG2/3,PAG15899KL,1.0,False,True,False
PAG12397AF,0,7401253453,1,1.0,S53,3,106.1,"1,58",BER,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:16:40,PM01,VG2/3,VG2/3,PAG12397AF,1.0,False,True,False
PAG12397AF,0,7401253453,1,2.0,S53,3,106.1,"1,58",BER,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:16:40,PM01,VG2/3,VG2/3,PAG12397AF,1.0,False,True,False
PAG12397AF,0,7401253453,1,3.0,S53,3,106.1,"1,58",BER,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:16:40,PM01,VG2/3,VG2/3,PAG12397AF,1.0,False,True,False
PMC69771AF,3,7401255682,1,,R21,2,360.0,"0,34",HAM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,,,,,PMC69771AF,,True,False,False
PMC96296DL,1,7401258364,1,,R21,13,986.5,"10,45",HAM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,,,,,PMC96296DL,,True,False,False
PMC69710AF,6,7401258364,1,,R21,13,986.5,"10,45",HAM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,,,,,PMC69710AF,,True,False,False
PMC75020AF,1,7401260980,1,1.0,M21,2,14.6,"0,09",AMS,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:03:04,PL02,VG2/3,VG2/3,PMC75020AF,2.0,False,True,False
PMC69710AF,6,7401261735,1,,R21,5,173.2,"0,77",HAM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,,,,,PMC69710AF,,True,False,False
PMC69771AF,3,7401263684,1,1.0,R21,1,105.0,"0,63",RTM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 16:15:03,PL02,VG2/3,VG2/3,PMC69771AF,1.0,False,True,False
PMC69771AF,3,7401264830,1,1.0,R21,1,310.0,"1,86",AMS,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 16:13:37,PL02,VG2/3,VG2/3,PMC69771AF,1.0,False,True,False
PAG15899KL,0,7401267626,1,1.0,M25,1,51.0,"0,31",AMS,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:46:05,PM01,VG2/3,VG2/3,PAG15899KL,1.0,False,True,False
PMC75020AF,1,7401267663,1,1.0,M21,1,3.0,"0,02",AMS,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:06:41,PL02,VG2/3,VG2/3,PMC75020AF,1.0,False,True,False
PMC69771AF,3,7401268665,1,1.0,M21,1,9.5,"0,05",RTM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 16:32:11,PL02,VG2/3,VG2/3,PMC69771AF,1.0,False,True,False
PAG15899KL,0,7401269936,1,1.0,M21,3,14.8,"0,09",AMS,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 17:41:18,PM01,VG2/3,VG2/3,PAG15899KL,3.0,False,True,False
PMC69771AF,3,7401270651,1,1.0,M25,3,3.0,"0,02",AMS,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 16:31:56,PL02,VG2/3,VG2/3,PMC69771AF,3.0,False,True,False
PMC69771AF,3,7401271185,1,1.0,M21,1,14.7,"0,08",RTM,SIN,KL,835,KL0835,2024-02-22,22-2-2024 21:57:00,22-2-2024 21:10:00,Aircraft,22-2-2024 16:32:05,PL02,VG2/3,VG2/3,PMC69771AF,1.0,False,True,False
