BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
22-2-2024 22:10:51,74,889033,7400889033,HAJ,SIN,A,2.48,MC,1107.0,K,2.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18415810,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,2.48,1107.0,2.0,1.0,1.0,1.24,553.5,2.0,True,True,1.24,553.5,,,,False
22-2-2024 22:10:51,74,889033,7400889033,HAJ,SIN,A,2.48,MC,1107.0,K,2.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18415810,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,2.48,1107.0,2.0,1.0,3.0,2.06,,1.0,True,True,2.06,,96.0,97.0,221.0,True
22-2-2024 22:10:51,74,889033,7400889033,HAJ,SIN,A,2.48,MC,1107.0,K,2.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18415810,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,2.48,1107.0,2.0,1.0,2.0,0.42,,1.0,True,True,0.42,,70.0,68.0,88.0,True
22-2-2024 22:10:51,74,1230401,7401230401,YYC,SIN,A,0.01,MC,4.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18426519,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,0.01,4.0,1.0,1.0,1.0,0.01,4.0,1.0,True,True,0.01,4.0,,,,False
22-2-2024 22:10:51,74,1230401,7401230401,YYC,SIN,A,0.01,MC,4.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18426519,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,0.01,4.0,1.0,1.0,2.0,0.04,,1.0,True,True,0.04,4.0,25.0,41.0,41.0,True
22-2-2024 22:10:51,74,1253453,7401253453,BER,SIN,A,1.58,MC,95.0,K,3.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18409140,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,1.58,95.0,3.0,1.0,3.0,0.72,,1.0,True,True,0.72,,75.0,80.0,120.0,True
22-2-2024 22:10:51,74,1253453,7401253453,BER,SIN,A,1.58,MC,95.0,K,3.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18409140,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,1.58,95.0,3.0,1.0,1.0,0.53,31.67,3.0,True,True,0.53,31.67,,,,False
22-2-2024 22:10:51,74,1253453,7401253453,BER,SIN,A,1.58,MC,95.0,K,3.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18409140,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,1.58,95.0,3.0,1.0,2.0,0.43,,2.0,True,True,0.43,,45.0,80.0,120.0,True
22-2-2024 22:10:51,74,1255682,7401255682,HAM,SIN,A,0.34,MC,360.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18416292,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,0.34,360.0,2.0,1.0,1.0,0.17,180.0,2.0,True,True,0.17,180.0,,,,False
22-2-2024 22:10:51,74,1258364,7401258364,HAM,SIN,A,10.45,MC,986.5,K,13.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18418535,KL,835,KL0835,,AMS,SIN,21-2-2024,2024-02-22,10.44,986.4,13.0,1.0,9.0,0.41,,1.0,True,True,1.02,,106.0,80.0,120.0,True
