FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-12|AMS|KL|0835||2024-01-12|D|152705485|160368479,2024-01-12|KL|0835||AMS,ACTIVE,AMS,SIN,693,KG,B,T,39.0,ULD,AKE97420KL,750.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152705485,160368479,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705486|160368475,2024-01-12|KL|0835||AMS,ACTIVE,AMS,DPS,703,KG,B,T,37.0,ULD,AKE96487KL,760.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152705486,160368475,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705488|160368491,2024-01-12|KL|0835||AMS,ACTIVE,AMS,SIN,162,KG,D,,9.0,ULD,AKE95384KL,737.0,57.0,16-2-2024 17:02:55,AFT,36R,L,152705488,160368491,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705488|160368492,2024-01-12|KL|0835||AMS,ACTIVE,AMS,SIN,518,KG,B,F,28.0,ULD,AKE95384KL,737.0,57.0,16-2-2024 17:02:55,AFT,36R,L,152705488,160368492,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705489|160368487,2024-01-12|KL|0835||AMS,ACTIVE,AMS,SIN,662,KG,B,Y,37.0,ULD,AKE95828KL,719.0,57.0,16-2-2024 17:02:55,AFT,35R,L,152705489,160368487,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705490|160370392,2024-01-12|KL|0835||AMS,ACTIVE,AMS,SIN,662,KG,B,Y,37.0,ULD,AKE98167KL,719.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152705490,160370392,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705491|160368480,2024-01-12|KL|0835||AMS,ACTIVE,AMS,DPS,607,KG,B,Y,35.0,ULD,AKE94942KL,664.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152705491,160368480,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705493|160368482,2024-01-12|KL|0835||AMS,ACTIVE,AMS,DPS,434,KG,B,Y,25.0,ULD,AKE96741KL,491.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152705493,160368482,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705495|160336355,2024-01-12|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152705495,160336355,,
2024-01-12|AMS|KL|0835||2024-01-12|D|152705496|160336356,2024-01-12|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152705496,160336356,,
