ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC65687AF,0,5745404236,1,1.0,R21,1,269.0,"0,67",BLL,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 16:35:39,PL02,VG2/3,VG2/3,PMC65687AF,1.0,False,True,False
PMC22120MP,1,5776557051,1,,R21,1,1630.0,"2,33",GIG,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,,,,,PMC22120MP,,True,False,False
AKE97344KL,0,7400716041,1,1.0,M21,1,1.9,"0,02",AMS,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 14:41:42,PM04,VG2/3,VG2/3,AKE97344KL,1.0,False,True,False
AKE70204KL,0,7400727915,1,1.0,R21,4,714.0,"2,36",WAW,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 15:01:33,PL04,VG2/3,VG2/3,AKE70204KL,1.0,False,True,False
AKE70204KL,0,7400727915,1,2.0,R21,4,714.0,"2,36",WAW,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 15:01:33,PL04,VG2/3,VG2/3,AKE70204KL,1.0,False,True,False
AKE97941KL,0,7400727915,1,3.0,R21,4,714.0,"2,36",WAW,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 15:36:37,PM04,VG2/3,VG2/3,AKE97941KL,1.0,False,True,False
AKE97941KL,0,7400727915,1,4.0,R21,4,714.0,"2,36",WAW,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 15:36:37,PM04,VG2/3,VG2/3,AKE97941KL,1.0,False,True,False
PMC22120MP,1,7400739594,1,1.0,M25,2,158.4,"0,83",AMS,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 16:16:53,PM03,VG2/3,VG2/3,PMC22120MP,2.0,False,True,False
PMC22120MP,1,7401078685,1,2.0,R21,2,314.0,1,SWK,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,15-1-2024 16:23:43,PM03,VG2/3,VG2/3,PMC22120MP,1.0,False,True,False
PMC23392KL,1,7401090401,1,,S23,3,1722.0,"5,78",LIM,SIN,KL,835,KL0835,2024-01-15,15-1-2024 21:20:00,15-1-2024 21:10:00,Aircraft,,,,,PMC23392KL,,True,False,False
