ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC70835AF,0,5772237583,1,1.0,M21,2,4.5,"0,05",ATL,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 16:53:30,PM12,VG2/3,VG2/3,PMC70835AF,2.0,False,True,False
PMC75563AF,0,7401367763,1,1.0,S23,3,968.0,"4,96",AMS,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 17:19:20,PM02,VG2/3,VG2/3,PMC75563AF,1.0,False,True,False
PMC75563AF,0,7401367763,1,2.0,S23,3,968.0,"4,96",AMS,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 17:19:20,PM02,VG2/3,VG2/3,PMC75563AF,1.0,False,True,False
PMC75563AF,0,7401367763,1,3.0,S23,3,968.0,"4,96",AMS,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 17:19:20,PM02,VG2/3,VG2/3,PMC75563AF,1.0,False,True,False
AKE95907KL,0,7401392705,1,1.0,R21,1,142.0,"0,6",DUS,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 15:41:40,PM11,VG2/3,VG2/3,AKE95907KL,1.0,False,True,False
AKE95907KL,0,7401392705,1,2.0,R21,1,142.0,"0,6",DUS,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 15:41:40,PM11,VG2/3,VG2/3,AKE95907KL,1.0,False,True,False
AKE97131KL,0,7401398891,1,1.0,R21,1,371.0,"0,52",SCL,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 15:44:11,PM11,VG2/3,VG2/3,AKE97131KL,1.0,False,True,False
PAG12661AF,0,7401403555,1,1.0,R21,1,253.0,"0,84",HAM,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 15:59:32,PL02,VG2/3,VG2/3,PAG12661AF,1.0,False,True,False
PAG12661AF,0,7401403555,1,2.0,R21,1,253.0,"0,84",HAM,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 15:59:32,PL02,VG2/3,VG2/3,PAG12661AF,1.0,False,True,False
AKE97924KL,0,7401407416,1,1.0,R21,9,201.7,"0,71",FRA,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 15:07:51,PL01,VG2/3,VG2/3,AKE97924KL,6.0,False,True,False
AKE96412KL,0,7401407416,1,2.0,R21,9,201.7,"0,71",FRA,SIN,KL,835,KL0835,2024-03-22,22-3-2024 21:19:00,22-3-2024 21:10:00,Aircraft,22-3-2024 14:43:32,PL01,VG2/3,VG2/3,AKE96412KL,3.0,False,True,False
