FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-23|AMS|KL|0835||2024-03-23|D|155558819|163398384,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,138,KG,B,T,8.0,ULD,AKE70048KL,195.0,57.0,24-3-2024 04:27:17,AFT,34R,L,155558819,163398384,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558820|163398391,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,162,KG,D,,9.0,ULD,AKE98029KL,719.0,57.0,24-3-2024 04:27:17,AFT,36R,L,155558820,163398391,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558820|163398392,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,500,KG,B,F,28.0,ULD,AKE98029KL,719.0,57.0,24-3-2024 04:27:17,AFT,36R,L,155558820,163398392,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558821|163398388,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,348,KG,B,Y,20.0,ULD,AKE96081KL,637.0,57.0,24-3-2024 04:27:17,AFT,36L,L,155558821,163398388,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558821|163398389,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,214,KG,B,F,12.0,ULD,AKE96081KL,637.0,57.0,24-3-2024 04:27:17,AFT,36L,L,155558821,163398389,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558821|163398390,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,18,KG,D,,1.0,ULD,AKE96081KL,637.0,57.0,24-3-2024 04:27:17,AFT,36L,L,155558821,163398390,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558822|163398387,2024-03-23|KL|0835||AMS,ACTIVE,AMS,SIN,680,KG,B,Y,39.0,ULD,AKE97954KL,737.0,57.0,24-3-2024 04:27:17,AFT,35R,L,155558822,163398387,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558823|163398380,2024-03-23|KL|0835||AMS,ACTIVE,AMS,DPS,416,KG,B,Y,25.0,ULD,AKE97396KL,488.0,57.0,24-3-2024 04:27:17,AFT,34L,L,155558823,163398380,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558823|163398382,2024-03-23|KL|0835||AMS,ACTIVE,AMS,DPS,15,KG,B,B,1.0,ULD,AKE97396KL,488.0,57.0,24-3-2024 04:27:17,AFT,34L,L,155558823,163398382,,
2024-03-23|AMS|KL|0835||2024-03-23|D|155558825|163398374,2024-03-23|KL|0835||AMS,ACTIVE,AMS,DPS,699,KG,B,Y,42.0,ULD,AKE97635KL,769.0,57.0,24-3-2024 04:27:17,AFT,33L,L,155558825,163398374,,
