BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
24-3-2024 21:37:22,57,50746124,5750746124,MAN,SIN,A,0.35,MC,210.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18543850,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,0.35,210.0,3.0,1.0,1.0,0.12,70.0,3.0,True,True,0.12,70.0,,,,False
24-3-2024 21:37:22,57,50746124,5750746124,MAN,SIN,A,0.35,MC,210.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18543850,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,0.35,210.0,3.0,1.0,2.0,0.04,,1.0,True,True,0.04,,21.0,35.0,57.0,True
24-3-2024 21:37:22,57,50746124,5750746124,MAN,SIN,A,0.35,MC,210.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18543850,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,0.35,210.0,3.0,1.0,4.0,0.17,,1.0,True,True,0.17,,60.0,42.0,66.0,True
24-3-2024 21:37:22,57,50746124,5750746124,MAN,SIN,A,0.35,MC,210.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18543850,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,0.35,210.0,3.0,1.0,3.0,0.15,,1.0,True,True,0.15,,51.0,47.0,63.0,True
24-3-2024 21:37:22,74,1403360,7401403360,HAM,SIN,A,2.35,MC,92.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18536789,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,2.35,92.0,2.0,1.0,1.0,1.18,46.0,2.0,True,True,1.18,46.0,,,,False
24-3-2024 21:37:22,74,1403894,7401403894,AMS,SIN,A,4.18,MC,435.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18537286,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,4.17,435.0,3.0,1.0,2.0,1.15,,3.0,True,True,1.15,145.0,120.0,80.0,120.0,True
24-3-2024 21:37:22,74,1403894,7401403894,AMS,SIN,A,4.18,MC,435.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18537286,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,4.17,435.0,3.0,1.0,1.0,1.39,145.0,3.0,True,True,1.39,145.0,,,,False
24-3-2024 21:37:22,74,1407781,7401407781,LCJ,SIN,A,2.69,MC,501.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18571559,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,1.34,250.5,1.0,,,,,,,,,,,,,
24-3-2024 21:37:22,74,1411432,7401411432,AMS,SIN,A,2.47,MC,263.5,K,6.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18573375,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,0.4,43.0,1.0,,,,,,,,,,,,,
24-3-2024 21:37:22,74,1414932,7401414932,HAM,SIN,A,2.08,MC,423.7,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18549219,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,2.08,423.7,6.0,1.0,1.0,0.35,70.62,6.0,True,True,0.35,70.62,,,,False
24-3-2024 21:37:22,74,1414976,7401414976,HAM,SIN,A,1.39,MC,388.0,K,1.0,S23,FOOD,AMS,FFM,False,True,False,False,False,False,False,False,18549253,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,1.39,388.0,1.0,1.0,2.0,0.86,,1.0,True,True,0.86,388.0,90.0,80.0,120.0,True
24-3-2024 21:37:22,74,1414976,7401414976,HAM,SIN,A,1.39,MC,388.0,K,1.0,S23,FOOD,AMS,FFM,False,True,False,False,False,False,False,False,18549253,KL,835,KL0835,,AMS,SIN,23-3-2024,2024-03-24,1.39,388.0,1.0,1.0,1.0,1.39,388.0,1.0,True,True,1.39,388.0,,,,False
