ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG15649KL,0,5707542533,1,1.0,R21,12,564.3,"1,1",ORD,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 01:14:26,PG01,VG2/3,VG2/3,PAG15649KL,9.0,False,True,False
PAG15649KL,0,5707542533,1,2.0,R21,12,564.3,"1,1",ORD,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 01:14:26,PG01,VG2/3,VG2/3,PAG15649KL,3.0,False,True,False
PMC75873AF,0,7400845412,1,1.0,R21,1,128.0,"2,26",ARN,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 06:18:29,PL02,VG2/3,VG2/3,PMC75873AF,1.0,False,True,False
PMC70939AF,0,7401195950,1,3.0,R21,3,1449.0,"2,95",LNZ,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:48:00,PG11,VG2/3,VG2/3,PMC70939AF,1.0,False,True,False
PMC70939AF,0,7401195950,1,1.0,R21,3,1449.0,"2,95",LNZ,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:48:00,PG11,VG2/3,VG2/3,PMC70939AF,1.0,False,True,False
PMC70939AF,0,7401195950,1,2.0,R21,3,1449.0,"2,95",LNZ,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:48:00,PG11,VG2/3,VG2/3,PMC70939AF,1.0,False,True,False
PAG15649KL,0,7401213940,1,1.0,R21,1,462.0,"2,63",BRE,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 01:21:11,PG01,VG2/3,VG2/3,PAG15649KL,1.0,False,True,False
PMC75873AF,0,7401215955,1,1.0,R21,2,325.0,"3,09",GOT,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 06:19:36,PL02,VG2/3,VG2/3,PMC75873AF,1.0,False,True,False
PMC75873AF,0,7401215955,1,2.0,R21,2,325.0,"3,09",GOT,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 06:19:36,PL02,VG2/3,VG2/3,PMC75873AF,1.0,False,True,False
AKE96242KL,0,7401221662,1,1.0,R21,1,178.0,"1,19",DUS,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 00:30:03,PG01,VG2/3,VG2/3,AKE96242KL,1.0,False,True,False
PMC70939AF,0,7401229093,1,1.0,R21,1,347.0,"0,17",LYS,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:54:15,PG11,VG2/3,VG2/3,PMC70939AF,1.0,False,True,False
PMC75873AF,0,7401239615,1,1.0,R21,2,592.8,"0,95",STR,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 06:25:45,PL02,VG2/3,VG2/3,PMC75873AF,2.0,False,True,False
PMC23634KL,0,7401242006,1,1.0,M25,3,39.2,"0,23",AMS,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:11:46,PG03,VG2/3,VG2/3,PMC23634KL,3.0,False,True,False
PMC74834KL,1,7447313173,1,,R21,4,4850.0,10,VIE,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,,,,,PMC74834KL,,True,False,False
PAG08195MP,0,7447314131,1,1.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 03:47:45,PG02,VG2/3,VG2/3,PAG08195MP,3.0,False,True,False
PMC23634KL,0,7447314131,1,2.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:06:30,PG03,VG2/3,VG2/3,PMC23634KL,3.0,False,True,False
PMC23634KL,0,7447314131,1,3.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:06:30,PG03,VG2/3,VG2/3,PMC23634KL,3.0,False,True,False
PMC23634KL,0,7447314131,1,4.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:06:30,PG03,VG2/3,VG2/3,PMC23634KL,3.0,False,True,False
PMC70939AF,0,7447314131,1,5.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:49:31,PG11,VG2/3,VG2/3,PMC70939AF,3.0,False,True,False
PMC70939AF,0,7447314131,1,6.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:49:31,PG11,VG2/3,VG2/3,PMC70939AF,3.0,False,True,False
PMC70939AF,0,7447314131,1,7.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 04:49:31,PG11,VG2/3,VG2/3,PMC70939AF,3.0,False,True,False
PAG08195MP,0,7447314131,1,8.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 03:47:45,PG02,VG2/3,VG2/3,PAG08195MP,2.0,False,True,False
PAG08195MP,0,7447314131,1,9.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 03:47:45,PG02,VG2/3,VG2/3,PAG08195MP,2.0,False,True,False
PAG08195MP,0,7447314131,1,10.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 03:47:45,PG02,VG2/3,VG2/3,PAG08195MP,2.0,False,True,False
PAG08195MP,0,7447314131,1,11.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 03:47:45,PG02,VG2/3,VG2/3,PAG08195MP,1.0,False,True,False
PAG08195MP,0,7447314131,1,12.0,R21,29,7418.0,"28,66",CDG,BLR,KL,879,KL0879,2024-02-17,17-2-2024 11:16:00,17-2-2024 10:55:00,Aircraft,17-2-2024 03:47:45,PG02,VG2/3,VG2/3,PAG08195MP,1.0,False,True,False
