FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-18|AMS|KL|0879||2024-02-18|D|154172706|161909470,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,188,KG,B,T,10.0,ULD,AKE94768KL,245.0,57.0,19-2-2024 04:29:20,FWD,14L,L,154172706,161909470,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172707|161909471,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,346,KG,B,Y,19.0,ULD,AKE94638KL,403.0,57.0,19-2-2024 04:29:20,FWD,14R,L,154172707,161909471,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172708|161909467,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,520,KG,B,F,29.0,ULD,AKE96463KL,613.0,57.0,19-2-2024 04:29:20,FWD,13L,L,154172708,161909467,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172708|161909468,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,36,KG,D,,2.0,ULD,AKE96463KL,613.0,57.0,19-2-2024 04:29:20,FWD,13L,L,154172708,161909468,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172709|161909478,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,54,KG,B,Y,3.0,ULD,AKE96709KL,713.0,57.0,19-2-2024 04:29:20,FWD,21R,L,154172709,161909478,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172709|161909479,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,602,KG,B,T,32.0,ULD,AKE96709KL,713.0,57.0,19-2-2024 04:29:20,FWD,21R,L,154172709,161909479,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172710|161909477,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,692,KG,B,Y,38.0,ULD,AKE97114KL,749.0,57.0,19-2-2024 04:29:20,FWD,21L,L,154172710,161909477,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172711|161909481,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,875,KG,B,Y,48.0,ULD,AKE96761KL,932.0,57.0,19-2-2024 04:29:20,FWD,22R,L,154172711,161909481,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172712|161909480,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,619,KG,B,Y,34.0,ULD,AKE98198KL,676.0,57.0,19-2-2024 04:29:20,FWD,22L,L,154172712,161909480,,
2024-02-18|AMS|KL|0879||2024-02-18|D|154172713|161909482,2024-02-18|KL|0879||AMS,ACTIVE,AMS,BLR,474,KG,B,Y,26.0,ULD,AKE95994KL,681.0,57.0,19-2-2024 04:29:20,FWD,23R,L,154172713,161909482,,
