FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-01|AMS|KL|0879||2024-01-01|D|152232288|159856532,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,36,KG,D,,2.0,ULD,AKE95659KL,713.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152232288,159856532,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232288|159856533,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,603,KG,B,T,32.0,ULD,AKE95659KL,713.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152232288,159856533,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232288|159856534,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,17,KG,B,F,1.0,ULD,AKE95659KL,713.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152232288,159856534,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232289|159856523,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,169,KG,B,T,9.0,ULD,AKE95367KL,333.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152232289,159856523,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232289|159856524,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,107,KG,B,F,6.0,ULD,AKE95367KL,333.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152232289,159856524,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232290|159856527,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,594,KG,B,Y,33.0,ULD,AKE97103KL,676.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152232290,159856527,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232290|159856528,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,25,KG,B,B,1.0,ULD,AKE97103KL,676.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152232290,159856528,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232291|159856521,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,275,KG,B,B,11.0,ULD,AKE96322KL,854.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152232291,159856521,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232291|159856522,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,522,KG,B,Y,29.0,ULD,AKE96322KL,854.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152232291,159856522,,
2024-01-01|AMS|KL|0879||2024-01-01|D|152232292|159856529,2024-01-01|KL|0879||AMS,ACTIVE,AMS,BLR,288,KG,B,Y,16.0,ULD,AKE95904KL,345.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152232292,159856529,,
