FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-15|AMS|KL|0879||2024-01-15|D|152815574|160478608,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,38,KG,B,T,2.0,ULD,AKE94736KL,95.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152815574,160478608,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815575|160477980,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,714,KG,B,Y,39.0,ULD,AKE70054KL,790.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152815575,160477980,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815575|160477981,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,19,KG,B,B,1.0,ULD,AKE70054KL,790.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152815575,160477981,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815576|160479609,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,435,KG,B,F,23.0,ULD,AKE70106KL,600.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152815576,160479609,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815576|160479610,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,108,KG,D,,6.0,ULD,AKE70106KL,600.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152815576,160479610,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815577|160477973,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,220,KG,B,B,12.0,ULD,AKE98081KL,716.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152815577,160477973,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815577|160477974,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,439,KG,B,Y,24.0,ULD,AKE98081KL,716.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152815577,160477974,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815578|160477982,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,624,KG,B,T,34.0,ULD,AKE96445KL,681.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152815578,160477982,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815579|160478607,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,531,KG,B,Y,29.0,ULD,AKE70262KL,588.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152815579,160478607,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152815580|160477975,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,75,KG,B,F,4.0,ULD,AKE96686KL,644.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152815580,160477975,,
