BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
26-1-2024 11:21:34,57,72143621,5772143621,ORD,BLR,A,1.59,MC,358.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18262871,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,1.59,358.0,1.0,1.0,2.0,1.59,,1.0,True,True,1.59,358.0,114.0,114.0,122.0,True
26-1-2024 11:21:34,57,72143621,5772143621,ORD,BLR,A,1.59,MC,358.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18262871,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,1.59,358.0,1.0,1.0,1.0,1.59,358.0,1.0,True,True,1.59,358.0,,,,False
26-1-2024 11:21:34,74,761994,7400761994,DUS,BLR,A,0.22,MC,92.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18273121,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,0.22,92.0,1.0,1.0,1.0,0.22,92.0,1.0,True,True,0.22,92.0,,,,False
26-1-2024 11:21:34,74,1114816,7401114816,ATL,BLR,A,0.68,MC,299.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18235997,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,0.68,299.0,1.0,1.0,2.0,0.04,,1.0,True,True,0.04,299.0,25.0,34.0,49.0,True
26-1-2024 11:21:34,74,1114816,7401114816,ATL,BLR,A,0.68,MC,299.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18235997,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,0.68,299.0,1.0,1.0,1.0,0.68,299.0,1.0,True,True,0.68,299.0,,,,False
26-1-2024 11:21:34,74,1136063,7401136063,NUE,BLR,A,2.29,MC,402.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263148,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,2.28,402.0,3.0,1.0,3.0,0.89,,2.0,True,True,0.89,,93.0,80.0,120.0,True
26-1-2024 11:21:34,74,1136063,7401136063,NUE,BLR,A,2.29,MC,402.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263148,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,2.28,402.0,3.0,1.0,2.0,0.5,,1.0,True,True,0.5,,52.0,80.0,120.0,True
26-1-2024 11:21:34,74,1136063,7401136063,NUE,BLR,A,2.29,MC,402.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263148,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,2.28,402.0,3.0,1.0,1.0,0.76,134.0,3.0,True,True,0.76,134.0,,,,False
26-1-2024 11:21:34,74,1140952,7401140952,JFK,BLR,A,0.09,MC,19.0,K,1.0,S51,PHAR,AMS,FFM,False,True,False,False,True,False,False,True,18268874,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,0.08,19.0,1.0,1.0,1.0,0.09,19.0,1.0,True,True,0.09,19.0,,,,False
26-1-2024 11:21:34,74,1142142,7401142142,OSL,BLR,A,0.27,MC,113.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18275976,KL,879,KL0879,,AMS,BLR,25-1-2024,2024-01-26,0.27,113.0,2.0,1.0,1.0,0.14,56.5,2.0,True,True,0.14,56.5,,,,False
