ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC73785AF,2,5749798022,1,,R21,9,6094.0,"15,59",FRA,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC73785AF,,True,False,False
PMC32610KL,2,5749798022,1,,R21,9,6094.0,"15,59",FRA,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC32610KL,,True,False,False
PMC22010MP,0,7401128212,1,1.0,R21,3,311.6,"1,31",STR,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:52:45,PG01,VG2/3,VG2/3,PMC22010MP,1.0,False,True,False
AKE97340KL,0,7401128212,1,2.0,R21,3,311.6,"1,31",STR,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:11:47,PG02,VG2/3,VG2/3,AKE97340KL,2.0,False,True,False
PMC22010MP,0,7401155630,1,1.0,R21,1,200.0,"0,58",FMO,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:53:48,PG01,VG2/3,VG2/3,PMC22010MP,1.0,False,True,False
PMC73785AF,2,7455596225,1,,R21,2,177.6,"1,07",FRA,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC73785AF,,True,False,False
PMC65281AF,1,7462326880,1,1.0,R21,9,1607.0,"2,11",SWK,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:40:55,PG01,VG2/3,VG2/3,PMC65281AF,2.0,False,True,False
PMC65281AF,1,7462326880,1,2.0,R21,9,1607.0,"2,11",SWK,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:40:55,PG01,VG2/3,VG2/3,PMC65281AF,2.0,False,True,False
PMC22010MP,0,7462326880,1,3.0,R21,9,1607.0,"2,11",SWK,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:00:00,PG01,VG2/3,VG2/3,PMC22010MP,1.0,False,True,False
PMC65281AF,1,7462326880,1,4.0,R21,9,1607.0,"2,11",SWK,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:40:55,PG01,VG2/3,VG2/3,PMC65281AF,2.0,False,True,False
PMC65281AF,1,7462326880,1,5.0,R21,9,1607.0,"2,11",SWK,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:40:55,PG01,VG2/3,VG2/3,PMC65281AF,2.0,False,True,False
PMC65281AF,1,7462334031,1,1.0,M21,2,28.2,"0,05",MXP,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 07:48:58,PG01,VG2/3,VG2/3,PMC65281AF,2.0,False,True,False
PMC32610KL,2,7463265311,1,,R21,9,325.5,"2,36",FRA,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC32610KL,,True,False,False
PMC22010MP,0,7463543196,1,1.0,R21,22,873.5,"5,79",AMS,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:55:19,PG01,VG2/3,VG2/3,PMC22010MP,11.0,False,True,False
PMC22010MP,0,7463543196,1,2.0,R21,22,873.5,"5,79",AMS,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:47:30,PG01,VG2/3,VG2/3,PMC22010MP,2.0,False,True,False
PMC22010MP,0,7463543196,1,3.0,R21,22,873.5,"5,79",AMS,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:48:47,PG01,VG2/3,VG2/3,PMC22010MP,3.0,False,True,False
PMC22010MP,0,7463543196,1,4.0,R21,22,873.5,"5,79",AMS,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:49:38,PG01,VG2/3,VG2/3,PMC22010MP,3.0,False,True,False
PMC22010MP,0,7463543196,1,5.0,R21,22,873.5,"5,79",AMS,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 06:50:44,PG01,VG2/3,VG2/3,PMC22010MP,3.0,False,True,False
PMC65281AF,1,7463753023,1,,R21,29,5379.0,"21,6",LCJ,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC65281AF,,True,False,False
PMC66441AF,1,7463753023,1,,R21,29,5379.0,"21,6",LCJ,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC66441AF,,True,False,False
AKE04353AF,0,7463753023,1,,R21,29,5379.0,"21,6",LCJ,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,27-1-2024 08:19:13,PH02,VG2/3,VG2/3,AKE04353AF,,False,True,False
PMC66208AF,1,7463753023,1,,R21,29,5379.0,"21,6",LCJ,BLR,KL,879,KL0879,2024-01-27,27-1-2024 11:26:00,27-1-2024 10:55:00,Aircraft,,,,,PMC66208AF,,True,False,False
