BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
2/3/2024 11:15,57,50183873,5750183873,STR,BLR,A,10.0,MC,1506.6,K,16.0,C01,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18414444,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,10.0,1506.6,16.0,1.0,1.0,0.63,94.16,16.0,True,True,0.63,94.16,,,,False
2/3/2024 11:15,74,503834,7400503834,FRA,BLR,A,0.82,MC,674.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18434483,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.82,674.0,3.0,1.0,2.0,0.27,,3.0,True,True,0.27,224.67,57.0,60.0,80.0,True
2/3/2024 11:15,74,503834,7400503834,FRA,BLR,A,0.82,MC,674.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18434483,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.82,674.0,3.0,1.0,1.0,0.27,224.67,3.0,True,True,0.27,224.67,,,,False
2/3/2024 11:15,74,891041,7400891041,AMS,BLR,A,0.02,MC,3.0,K,1.0,S20,PLNT,AMS,FFM,False,False,False,False,False,False,False,False,18416036,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.02,3.0,1.0,1.0,2.0,0.08,,1.0,True,True,0.08,3.0,35.0,40.0,60.0,True
2/3/2024 11:15,74,891041,7400891041,AMS,BLR,A,0.02,MC,3.0,K,1.0,S20,PLNT,AMS,FFM,False,False,False,False,False,False,False,False,18416036,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.02,3.0,1.0,1.0,1.0,0.02,3.0,1.0,True,True,0.02,3.0,,,,False
2/3/2024 11:15,74,1264616,7401264616,LNZ,BLR,A,3.64,MC,1873.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18424965,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,3.64,1873.0,3.0,1.0,1.0,1.21,624.33,3.0,True,True,1.21,624.33,,,,False
2/3/2024 11:15,74,1264616,7401264616,LNZ,BLR,A,3.64,MC,1873.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18424965,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,3.64,1873.0,3.0,1.0,2.0,1.31,,3.0,True,True,1.31,624.33,108.0,110.0,110.0,True
2/3/2024 11:15,74,1283623,7401283623,FRA,BLR,A,7.91,MC,593.0,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18443075,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,7.9,593.0,5.0,1.0,2.0,1.58,,5.0,True,True,1.58,118.6,155.0,83.0,123.0,True
2/3/2024 11:15,74,1283623,7401283623,FRA,BLR,A,7.91,MC,593.0,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18443075,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,7.9,593.0,5.0,1.0,1.0,1.58,118.6,5.0,True,True,1.58,118.6,,,,False
2/3/2024 11:15,74,1288906,7401288906,DUS,BLR,A,0.81,MC,347.5,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18450018,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.81,347.5,2.0,1.0,2.0,0.72,,1.0,True,True,0.72,,75.0,80.0,120.0,True
2/3/2024 11:15,74,1288906,7401288906,DUS,BLR,A,0.81,MC,347.5,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18450018,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.81,347.5,2.0,1.0,1.0,0.41,173.75,2.0,True,True,0.41,173.75,,,,False
2/3/2024 11:15,74,1288906,7401288906,DUS,BLR,A,0.81,MC,347.5,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18450018,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.81,347.5,2.0,1.0,3.0,0.09,,1.0,True,True,0.09,,24.0,24.0,160.0,True
2/3/2024 11:15,74,1290682,7401290682,BCN,BLR,A,1.04,MC,354.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451552,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,1.04,354.0,4.0,1.0,1.0,0.26,88.5,4.0,True,True,0.26,88.5,,,,False
2/3/2024 11:15,74,1290682,7401290682,BCN,BLR,A,1.04,MC,354.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451552,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,1.04,354.0,4.0,1.0,3.0,0.48,,2.0,True,True,0.48,,50.0,80.0,120.0,True
2/3/2024 11:15,74,1290682,7401290682,BCN,BLR,A,1.04,MC,354.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451552,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,1.04,354.0,4.0,1.0,4.0,0.03,,1.0,True,True,0.03,,15.0,15.0,134.0,True
2/3/2024 11:15,74,1290682,7401290682,BCN,BLR,A,1.04,MC,354.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451552,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,1.04,354.0,4.0,1.0,2.0,0.05,,1.0,True,True,0.05,,24.0,25.0,85.0,True
2/3/2024 11:15,74,1293294,7401293294,FRA,BLR,A,1.25,MC,210.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18453685,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,1.25,210.0,1.0,1.0,2.0,1.25,,1.0,True,True,1.25,210.0,130.0,80.0,120.0,True
2/3/2024 11:15,74,1293294,7401293294,FRA,BLR,A,1.25,MC,210.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18453685,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,1.25,210.0,1.0,1.0,1.0,1.25,210.0,1.0,True,True,1.25,210.0,,,,False
2/3/2024 11:15,74,1299443,7401299443,BSL,BLR,A,0.43,MC,93.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18459340,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.43,93.0,1.0,1.0,1.0,0.43,93.0,1.0,True,True,0.43,93.0,,,,False
2/3/2024 11:15,74,1299443,7401299443,BSL,BLR,A,0.43,MC,93.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18459340,KL,879,KL0879,,AMS,BLR,1/3/2024,2024-03-02,0.43,93.0,1.0,1.0,2.0,0.43,,1.0,True,True,0.43,93.0,90.0,60.0,80.0,True
