ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG15832KL,0,640548351,1,1.0,R21,4,39.0,"0,32",MSP,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 6:43,PG01,VG2/3,VG2/3,PAG15832KL,4.0,False,True,False
PMC70429AF,3,5772041126,1,,R21,3,822.0,"3,7",SWK,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,,,,,PMC70429AF,,True,False,False
PMC70429AF,3,5772107932,1,,R21,1,176.0,"0,38",SWK,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,,,,,PMC70429AF,,True,False,False
AKE95729KL,0,7401288803,1,1.0,R21,7,4360.0,12,LNZ,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 3:55,PK01,VG2/3,VG2/3,AKE95729KL,1.0,False,True,False
PMC68774AF,1,7401288803,1,,R21,7,4360.0,12,LNZ,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,,,,,PMC68774AF,,True,False,False
AKE94609KL,0,7401326846,1,1.0,R21,1,387.0,"1,43",FMO,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 4:24,PK01,VG2/3,VG2/3,AKE94609KL,1.0,False,True,False
AKE98047KL,0,7401346531,1,1.0,R21,2,340.0,"0,87",DUS,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 4:04,PK01,VG2/3,VG2/3,AKE98047KL,1.0,False,True,False
AKE98047KL,0,7401346531,1,2.0,R21,2,340.0,"0,87",DUS,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 4:04,PK01,VG2/3,VG2/3,AKE98047KL,1.0,False,True,False
AKE98047KL,0,7401355826,1,1.0,R21,3,202.0,"1,91",HAJ,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 4:05,PK01,VG2/3,VG2/3,AKE98047KL,1.0,False,True,False
AKE96874KL,0,7401355826,1,2.0,R21,3,202.0,"1,91",HAJ,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 4:24,PK01,VG2/3,VG2/3,AKE96874KL,1.0,False,True,False
AKE96874KL,0,7401355826,1,3.0,R21,3,202.0,"1,91",HAJ,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 4:24,PK01,VG2/3,VG2/3,AKE96874KL,1.0,False,True,False
AKE70153KL,0,7449867941,1,1.0,R21,3,1056.0,"2,5",BSL,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 6:55,PG02,VG2/3,VG2/3,AKE70153KL,1.0,False,True,False
AKE96285KL,0,7449867941,1,2.0,R21,3,1056.0,"2,5",BSL,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 7:03,PH01,VG2/3,VG2/3,AKE96285KL,1.0,False,True,False
AKE70051KL,0,7449867941,1,3.0,R21,3,1056.0,"2,5",BSL,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 7:17,PH03,VG2/3,VG2/3,AKE70051KL,1.0,False,True,False
PAG15832KL,0,7452237872,1,1.0,R21,1,253.0,"1,36",FRA,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 6:40,PG01,VG2/3,VG2/3,PAG15832KL,1.0,False,True,False
AKE96285KL,0,7462000794,1,1.0,M25,2,400.0,"0,68",STR,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 7:04,PH01,VG2/3,VG2/3,AKE96285KL,1.0,False,True,False
AKE96285KL,0,7462000794,1,2.0,M25,2,400.0,"0,68",STR,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 7:04,PH01,VG2/3,VG2/3,AKE96285KL,1.0,False,True,False
PAG15832KL,0,7463097952,1,1.0,R21,1,70.0,"0,3",SWK,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 6:41,PG01,VG2/3,VG2/3,PAG15832KL,1.0,False,True,False
PMC70429AF,3,7463101150,1,,R21,4,880.0,3,SWK,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,,,,,PMC70429AF,,True,False,False
AKE96079KL,0,7463561783,1,1.0,M25,1,1.3,"0,01",NUE,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 3:44,PK01,VG2/3,VG2/3,AKE96079KL,1.0,False,True,False
PMC00085DL,1,7464172021,1,,R21,22,2681.3,12,HEL,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,,,,,PMC00085DL,,True,False,False
PAG15832KL,0,7464172021,1,1.0,R21,22,2681.3,12,HEL,BLR,KL,879,KL0879,2024-03-11,11/3/2024 11:06,11/3/2024 10:55,Aircraft,11/3/2024 7:54,PG01,VG2/3,VG2/3,PAG15832KL,1.0,False,True,False
