FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-13|AMS|KL|0879||2024-03-13|D|155143921|162950713,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,508,KG,B,T,29.0,ULD,AKE98028KL,565.0,57.0,14-3-2024 04:27:57,AFT,41L,L,155143921,162950713,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143922|162950714,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,97,KG,B,Y,6.0,ULD,AKE97905KL,800.0,57.0,14-3-2024 04:27:57,AFT,41R,L,155143922,162950714,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143922|162950715,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,574,KG,B,F,32.0,ULD,AKE97905KL,800.0,57.0,14-3-2024 04:27:57,AFT,41R,L,155143922,162950715,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143922|162950716,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,72,KG,D,,4.0,ULD,AKE97905KL,800.0,57.0,14-3-2024 04:27:57,AFT,41R,L,155143922,162950716,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143923|162950710,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,520,KG,B,Y,32.0,ULD,AKE97282KL,577.0,57.0,14-3-2024 04:27:57,AFT,33L,L,155143923,162950710,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143924|162950711,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,650,KG,B,Y,40.0,ULD,AKE96915KL,772.0,57.0,14-3-2024 04:27:57,AFT,33R,L,155143924,162950711,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143924|162950712,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,65,KG,B,B,4.0,ULD,AKE96915KL,772.0,57.0,14-3-2024 04:27:57,AFT,33R,L,155143924,162950712,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143925|162927676,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,54,KG,B,G,3.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155143925,162927676,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143926|162927677,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,B,0.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155143926,162927677,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143927|162927678,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,F,0.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155143927,162927678,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143928|162927679,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,T,0.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155143928,162927679,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155143929|162927680,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,66,KG,B,Y,4.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155143929,162927680,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162084|162946547|19352237,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,3,KG,C,,,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155162084,162946547,19352237.0,AOG
2024-03-13|AMS|KL|0879||2024-03-13|D|155162085|162946548,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,133,KG,C,,,ULD,AKE97405KL,190.0,57.0,14-3-2024 04:27:57,FWD,12L,L,155162085,162946548,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162086|162946549,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,163,KG,C,,,ULD,AKE96961KL,220.0,57.0,14-3-2024 04:27:57,FWD,12R,L,155162086,162946549,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162087|162946550,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,263,KG,C,,,ULD,AKE95372KL,320.0,57.0,14-3-2024 04:27:57,FWD,13L,L,155162087,162946550,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162088|162946551,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,203,KG,C,,,ULD,AKE97742KL,260.0,57.0,14-3-2024 04:27:57,FWD,13R,L,155162088,162946551,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162089|162946552|19352238,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,153,KG,C,,,ULD,AKE97552KL,210.0,57.0,14-3-2024 04:27:57,FWD,11L,L,155162089,162946552,19352238.0,COL
2024-03-13|AMS|KL|0879||2024-03-13|D|155162090|162946553,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,278,KG,C,,,ULD,AKE96638KL,335.0,57.0,14-3-2024 04:27:57,FWD,14R,L,155162090,162946553,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162091|162946554,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,278,KG,C,,,ULD,AKE95923KL,335.0,57.0,14-3-2024 04:27:57,FWD,14L,L,155162091,162946554,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162092|162946555,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,600,KG,C,,,ULD,AKE70133KL,665.0,65.0,14-3-2024 04:27:57,AFT,32L,L,155162092,162946555,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162093|162946556,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,143,KG,C,,,ULD,AKE97509KL,200.0,57.0,14-3-2024 04:27:57,FWD,11R,L,155162093,162946556,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162095|162946558,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,378,KG,C,,,ULD,AKE97974KL,435.0,57.0,14-3-2024 04:27:57,AFT,31L,L,155162095,162946558,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162096|162946559,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,448,KG,C,,,ULD,AKE96012KL,505.0,57.0,14-3-2024 04:27:57,AFT,31R,L,155162096,162946559,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162097|162946560,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,448,KG,C,,,ULD,AKE94908KL,505.0,57.0,14-3-2024 04:27:57,AFT,32R,L,155162097,162946560,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162098|162946561,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,4455,KG,C,,,ULD,PMC23280KL,4580.0,125.0,14-3-2024 04:27:57,AFT,42P,L,155162098,162946561,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162099|162946562,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,2500,KG,C,,,ULD,PMC71365AF,2610.0,110.0,14-3-2024 04:27:57,FWD,21P,L,155162099,162946562,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162100|162946563,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,2650,KG,C,,,ULD,PMC75746AF,2760.0,110.0,14-3-2024 04:27:57,FWD,23P,L,155162100,162946563,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162101|162946564,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,2985,KG,C,,,ULD,PMC24818KL,3110.0,125.0,14-3-2024 04:27:57,AFT,41P,L,155162101,162946564,,
2024-03-13|AMS|KL|0879||2024-03-13|D|155162102|162946565,2024-03-13|KL|0879||AMS,ACTIVE,AMS,BLR,2510,KG,C,,,ULD,PMC73062AF,2620.0,110.0,14-3-2024 04:27:57,FWD,22P,L,155162102,162946565,,
