FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-04-01|AMS|KL|0871||2024-04-01|D|155917635|163775718,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,496,KG,B,Y,27.0,ULD,AKE95319KL,631.0,57.0,2/4/2024 4:30,AFT,41R,L,155917635,163775718,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917635|163775719,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,78,KG,B,T,5.0,ULD,AKE95319KL,631.0,57.0,2/4/2024 4:30,AFT,41R,L,155917635,163775719,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917636|163775720,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,663,KG,B,F,33.0,ULD,AKE97567KL,774.0,57.0,2/4/2024 4:30,AFT,42L,L,155917636,163775720,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917636|163775721,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,54,KG,D,,3.0,ULD,AKE97567KL,774.0,57.0,2/4/2024 4:30,AFT,42L,L,155917636,163775721,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917638|163775713,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,52,KG,B,B,3.0,ULD,AKE98151KL,752.0,57.0,2/4/2024 4:30,AFT,36L,L,155917638,163775713,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917638|163775714,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,643,KG,B,Y,35.0,ULD,AKE98151KL,752.0,57.0,2/4/2024 4:30,AFT,36L,L,155917638,163775714,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917639|163775715,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,643,KG,B,Y,35.0,ULD,AKE98093KL,700.0,57.0,2/4/2024 4:30,AFT,36R,L,155917639,163775715,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917640|163775724,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,41,KG,B,F,2.0,ULD,AKE97641KL,204.0,57.0,2/4/2024 4:30,AFT,43L,L,155917640,163775724,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917640|163775725,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,91,KG,B,Y,5.0,ULD,AKE97641KL,204.0,57.0,2/4/2024 4:30,AFT,43L,L,155917640,163775725,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917640|163775726,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,15,KG,B,T,1.0,ULD,AKE97641KL,204.0,57.0,2/4/2024 4:30,AFT,43L,L,155917640,163775726,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917641|163775730,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,698,KG,B,Y,38.0,ULD,AKE95913KL,755.0,57.0,2/4/2024 4:30,AFT,44R,L,155917641,163775730,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917642|163775711,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,735,KG,B,Y,40.0,ULD,AKE70210KL,792.0,57.0,2/4/2024 4:30,FWD,12L,L,155917642,163775711,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917643|163775727,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,641,KG,B,T,41.0,ULD,AKE70103KL,698.0,57.0,2/4/2024 4:30,AFT,43R,L,155917643,163775727,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917644|163775728,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,141,KG,B,B,8.0,ULD,AKE95384KL,565.0,57.0,2/4/2024 4:30,AFT,44L,L,155917644,163775728,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917644|163775729,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,367,KG,B,Y,20.0,ULD,AKE95384KL,565.0,57.0,2/4/2024 4:30,AFT,44L,L,155917644,163775729,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917645|163775716,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,31,KG,B,T,2.0,ULD,AKE96639KL,731.0,57.0,2/4/2024 4:30,AFT,41L,L,155917645,163775716,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917645|163775717,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,643,KG,B,Y,35.0,ULD,AKE96639KL,731.0,57.0,2/4/2024 4:30,AFT,41L,L,155917645,163775717,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917646|163775712,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,754,KG,B,Y,41.0,ULD,AKE96863KL,811.0,57.0,2/4/2024 4:30,FWD,12R,L,155917646,163775712,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917648|163748953,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,G,0.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155917648,163748953,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917649|163748954,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,B,0.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155917649,163748954,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917650|163748955,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,F,0.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155917650,163748955,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917651|163748956,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,T,1.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155917651,163748956,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155917652|163748957,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,81,KG,B,Y,4.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155917652,163748957,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155927914|163775722,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,93,KG,B,T,6.0,ULD,AKE97596KL,536.0,57.0,2/4/2024 4:30,AFT,42R,L,155927914,163775722,,
2024-04-01|AMS|KL|0871||2024-04-01|D|155927914|163775723,2024-04-01|KL|0871||AMS,ACTIVE,AMS,DEL,386,KG,B,Y,21.0,ULD,AKE97596KL,536.0,57.0,2/4/2024 4:30,AFT,42R,L,155927914,163775723,,
