ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG15738KL,0,7401145686,1,1.0,R21,1,1706.0,"2,68",MAD,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,7/2/2024 4:56,PG12,VG2/3,VG2/3,PAG15738KL,1.0,False,True,False
PAG15738KL,0,7401186533,1,1.0,R21,1,544.0,"0,86",HEL,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 4:42,PG12,VG2/3,VG2/3,PAG15738KL,1.0,False,True,False
PAG15738KL,0,7401186533,1,2.0,R21,1,544.0,"0,86",HEL,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 4:42,PG12,VG2/3,VG2/3,PAG15738KL,1.0,False,True,False
PMC28750KL,1,7401193640,1,,S23,2,1411.2,"3,84",EZE,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,,,,,PMC28750KL,,True,False,False
PAG15738KL,0,7401201550,1,1.0,R21,1,138.0,"0,85",LYS,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 4:42,PG12,VG2/3,VG2/3,PAG15738KL,1.0,False,True,False
PMC73993AF,0,7401210285,1,1.0,R21,5,871.0,"10,99",AMS,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 9:44,PG12,VG2/3,VG2/3,PMC73993AF,2.0,False,True,False
PMC71140AF,3,7401210285,1,2.0,R21,5,871.0,"10,99",AMS,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 8:09,PG12,VG2/3,VG2/3,PMC71140AF,1.0,False,True,False
PMC31995KL,0,7401210285,1,3.0,R21,5,871.0,"10,99",AMS,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 9:11,PG12,VG2/3,VG2/3,PMC31995KL,1.0,False,True,False
PMC31995KL,0,7401210285,1,4.0,R21,5,871.0,"10,99",AMS,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,8/2/2024 9:37,PG12,VG2/3,VG2/3,PMC31995KL,1.0,False,True,False
PAG12679AF,1,7453377435,1,,R21,2,2108.0,"2,8",BRU,DEL,KL,871,KL0871,2024-02-08,8/2/2024 12:34,8/2/2024 12:20,Aircraft,,,,,PAG12679AF,,True,False,False
