FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-18|AMS|KL|0871||2024-02-18|D|154172857|161912590,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,739,KG,B,Y,39.0,ULD,AKE97235KL,813.0,57.0,19-2-2024 04:29:20,AFT,42R,L,154172857,161912590,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172857|161912591,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,17,KG,B,B,1.0,ULD,AKE97235KL,813.0,57.0,19-2-2024 04:29:20,AFT,42R,L,154172857,161912591,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172858|161912589,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,512,KG,B,Y,27.0,ULD,AKE70268KL,569.0,57.0,19-2-2024 04:29:20,AFT,42L,L,154172858,161912589,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172859|161912571,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,59,KG,B,F,3.0,ULD,AKE98142KL,684.0,57.0,19-2-2024 04:29:20,AFT,31R,L,154172859,161912571,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172859|161912572,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,550,KG,B,Y,29.0,ULD,AKE98142KL,684.0,57.0,19-2-2024 04:29:20,AFT,31R,L,154172859,161912572,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172859|161912573,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,T,1.0,ULD,AKE98142KL,684.0,57.0,19-2-2024 04:29:20,AFT,31R,L,154172859,161912573,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172860|161897727,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,758,KG,B,Y,40.0,ULD,AKE97558KL,815.0,57.0,19-2-2024 04:29:20,AFT,31L,L,154172860,161897727,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172861|161912581,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,671,KG,B,F,34.0,ULD,AKE95476KL,728.0,57.0,19-2-2024 04:29:20,AFT,34L,L,154172861,161912581,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172862|161912582,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,15,KG,B,B,1.0,ULD,AKE95178KL,679.0,57.0,19-2-2024 04:29:20,AFT,34R,L,154172862,161912582,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172862|161912583,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,607,KG,B,Y,32.0,ULD,AKE95178KL,679.0,57.0,19-2-2024 04:29:20,AFT,34R,L,154172862,161912583,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172863|161912577,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,682,KG,B,Y,36.0,ULD,AKE98219KL,739.0,57.0,19-2-2024 04:29:20,AFT,33L,L,154172863,161912577,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172864|161912578,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,360,KG,B,Y,19.0,ULD,AKE97891KL,533.0,57.0,19-2-2024 04:29:20,AFT,33R,L,154172864,161912578,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172864|161912579,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,79,KG,B,F,4.0,ULD,AKE97891KL,533.0,57.0,19-2-2024 04:29:20,AFT,33R,L,154172864,161912579,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172864|161912580,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,37,KG,B,T,2.0,ULD,AKE97891KL,533.0,57.0,19-2-2024 04:29:20,AFT,33R,L,154172864,161912580,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172865|161912574,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,645,KG,B,Y,34.0,ULD,AKE97909KL,748.0,57.0,19-2-2024 04:29:20,AFT,32L,L,154172865,161912574,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172865|161912575,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,46,KG,B,B,3.0,ULD,AKE97909KL,748.0,57.0,19-2-2024 04:29:20,AFT,32L,L,154172865,161912575,,
2024-02-18|AMS|KL|0871||2024-02-18|D|154172866|161912576,2024-02-18|KL|0871||AMS,ACTIVE,AMS,DEL,569,KG,B,Y,30.0,ULD,AKE95017KL,626.0,57.0,19-2-2024 04:29:20,AFT,32R,L,154172866,161912576,,
