ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC67695AF,0,7458351882,1,1.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC67695AF,0,7458351882,1,2.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC67695AF,0,7458351882,1,3.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC67695AF,0,7458351882,1,4.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC67695AF,0,7458351882,1,5.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC67695AF,0,7458351882,1,6.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC67695AF,0,7458351882,1,7.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:29,PG01,VG2/3,VG2/3,PMC67695AF,1.0,False,True,False
PMC22294MP,0,7458351882,1,8.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:51,PM02,VG2/3,VG2/3,PMC22294MP,1.0,False,True,False
PMC22294MP,0,7458351882,1,9.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:51,PM02,VG2/3,VG2/3,PMC22294MP,1.0,False,True,False
PMC22294MP,0,7458351882,1,10.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:51,PM02,VG2/3,VG2/3,PMC22294MP,1.0,False,True,False
PMC22294MP,0,7458351882,1,11.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:51,PM02,VG2/3,VG2/3,PMC22294MP,1.0,False,True,False
PMC22294MP,0,7458351882,1,12.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:51,PM02,VG2/3,VG2/3,PMC22294MP,1.0,False,True,False
PMC23944KL,0,7458351882,1,13.0,R21,14,2411.7,"15,42",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 8:31,PM02,VG2/3,VG2/3,PMC23944KL,2.0,False,True,False
PMC02340MP,0,7461573444,1,1.0,R21,7,612.6,"2,99",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 9:46,PM02,VG2/3,VG2/3,PMC02340MP,4.0,False,True,False
PMC02340MP,0,7461573444,1,2.0,R21,7,612.6,"2,99",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 9:46,PM02,VG2/3,VG2/3,PMC02340MP,3.0,False,True,False
PMC22294MP,0,7461575415,1,1.0,R21,1,0.3,"0,01",AMS,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 7:52,PM02,VG2/3,VG2/3,PMC22294MP,1.0,False,True,False
PMC02340MP,0,7462166274,1,1.0,R21,7,236.2,"2,3",BLL,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 9:47,PM02,VG2/3,VG2/3,PMC02340MP,5.0,False,True,False
PMC23944KL,0,7462166274,1,2.0,R21,7,236.2,"2,3",BLL,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 9:36,PM02,VG2/3,VG2/3,PMC23944KL,1.0,False,True,False
PMC23944KL,0,7462166274,1,3.0,R21,7,236.2,"2,3",BLL,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,4/1/2024 9:36,PM02,VG2/3,VG2/3,PMC23944KL,1.0,False,True,False
PMC65120AF,1,7462387231,1,,R21,10,2062.5,10,HAJ,DEL,KL,871,KL0871,2024-01-04,4/1/2024 12:51,4/1/2024 12:20,Aircraft,,,,,PMC65120AF,,True,False,False
