FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-12|AMS|KL|0871||2024-01-12|D|152694901|160325218,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,581,KG,B,B,32.0,ULD,AKE95958KL,716.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152694901,160325218,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694901|160349679,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,78,KG,B,Y,4.0,ULD,AKE95958KL,716.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152694901,160349679,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694902|160325219,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,113,KG,B,T,6.0,ULD,AKE97571KL,659.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152694902,160325219,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694902|160351100,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,21,KG,B,F,1.0,ULD,AKE97571KL,659.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152694902,160351100,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694902|160351101,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,468,KG,B,Y,24.0,ULD,AKE97571KL,659.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152694902,160351101,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694903|160349680,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,487,KG,B,Y,25.0,ULD,AKE97073KL,544.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152694903,160349680,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694904|160325221,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,473,KG,B,F,22.0,ULD,AKE97086KL,698.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152694904,160325221,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694904|160349681,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,132,KG,B,T,7.0,ULD,AKE97086KL,698.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152694904,160349681,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694904|160349682,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,36,KG,D,,2.0,ULD,AKE97086KL,698.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152694904,160349682,,
2024-01-12|AMS|KL|0871||2024-01-12|D|152694905|160325222,2024-01-12|KL|0871||AMS,ACTIVE,AMS,DEL,39,KG,B,Y,2.0,ULD,AKE94715KL,641.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152694905,160325222,,
