FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-10|AMS|KL|0871||2024-03-10|D|155027990|162829453,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,54,KG,D,,3.0,ULD,AKE95830KL,715.0,57.0,11/3/2024 4:29,AFT,42L,L,155027990,162829453,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027990|162829454,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,604,KG,B,F,33.0,ULD,AKE95830KL,715.0,57.0,11/3/2024 4:29,AFT,42L,L,155027990,162829454,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027991|162829446,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,252,KG,B,T,12.0,ULD,AKE96875KL,564.0,57.0,11/3/2024 4:29,AFT,34L,L,155027991,162829446,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027991|162829447,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,219,KG,B,F,12.0,ULD,AKE96875KL,564.0,57.0,11/3/2024 4:29,AFT,34L,L,155027991,162829447,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027991|162829448,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,36,KG,B,Y,2.0,ULD,AKE96875KL,564.0,57.0,11/3/2024 4:29,AFT,34L,L,155027991,162829448,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027992|162829445,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,564,KG,B,Y,31.0,ULD,AKE95958KL,621.0,57.0,11/3/2024 4:29,AFT,33R,L,155027992,162829445,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027993|162829452,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,656,KG,B,Y,36.0,ULD,AKE70150KL,713.0,57.0,11/3/2024 4:29,AFT,41R,L,155027993,162829452,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027994|162829439,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,34,KG,B,B,2.0,ULD,AKE95418KL,783.0,57.0,11/3/2024 4:29,AFT,31L,L,155027994,162829439,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027994|162829440,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,692,KG,B,Y,38.0,ULD,AKE95418KL,783.0,57.0,11/3/2024 4:29,AFT,31L,L,155027994,162829440,,
2024-03-10|AMS|KL|0871||2024-03-10|D|155027995|162829444,2024-03-10|KL|0871||AMS,ACTIVE,AMS,DEL,309,KG,B,Y,17.0,ULD,AKE95141KL,366.0,57.0,11/3/2024 4:29,AFT,33L,L,155027995,162829444,,
