ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG15353KL,0,7401366024,1,1.0,R21,1,127.0,"0,42",LYS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:43:10,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7401369012,1,1.0,R21,1,121.0,"0,15",KRK,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:42:03,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7401376572,1,1.0,R21,1,135.0,"0,72",HEL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:39:02,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7401378005,1,1.0,R21,1,214.0,"1,05",MUC,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:51:44,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PMC32216KL,1,7401378101,1,,S51,12,1835.6,"14,26",OSL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,,,,,PMC32216KL,,True,False,False
PAG15353KL,0,7401379280,1,1.0,R21,1,171.0,"1,13",PRG,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:36:00,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG14871KL,0,7401382706,1,1.0,R21,2,160.0,"2,16",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:33:47,PG13,VG2/3,VG2/3,PAG14871KL,1.0,False,True,False
PMC20481MP,0,7401382706,1,2.0,R21,2,160.0,"2,16",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:46:16,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PMC31352KL,5,7401390023,1,1.0,R21,6,105.0,"0,63",FRA,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:13:29,PG12,VG2/3,VG2/3,PMC31352KL,6.0,False,True,False
PMC31352KL,5,7401390454,1,1.0,R21,8,930.0,"8,89",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:12:46,PG12,VG2/3,VG2/3,PMC31352KL,1.0,False,True,False
PMC31352KL,5,7401390454,1,2.0,R21,8,930.0,"8,89",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:15:15,PG12,VG2/3,VG2/3,PMC31352KL,1.0,False,True,False
PAG14871KL,0,7401390454,1,3.0,R21,8,930.0,"8,89",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:20:04,PG13,VG2/3,VG2/3,PAG14871KL,2.0,False,True,False
PAG14871KL,0,7401390454,1,4.0,R21,8,930.0,"8,89",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:20:04,PG13,VG2/3,VG2/3,PAG14871KL,2.0,False,True,False
PAG14871KL,0,7401390454,1,5.0,R21,8,930.0,"8,89",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:20:04,PG13,VG2/3,VG2/3,PAG14871KL,2.0,False,True,False
PMC20481MP,0,7401400055,1,1.0,S50,11,333.7,"1,62",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:44:18,PG12,VG2/3,VG2/3,PMC20481MP,10.0,False,True,False
PMC20481MP,0,7401400055,1,2.0,S50,11,333.7,"1,62",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:44:18,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PMC20481MP,0,7401400055,1,3.0,S50,11,333.7,"1,62",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:44:18,PG12,VG2/3,VG2/3,PMC20481MP,10.0,False,True,False
PMC20481MP,0,7401400055,1,4.0,S50,11,333.7,"1,62",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:44:18,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PMC31352KL,5,7462107791,1,,R91,6,1416.4,"1,78",GRZ,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,,,,,PMC31352KL,,True,False,False
PMC20481MP,0,7462252691,1,1.0,R21,4,1834.0,"3,51",BIO,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:55:13,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PMC20481MP,0,7462252691,1,2.0,R21,4,1834.0,"3,51",BIO,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:55:13,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PMC20481MP,0,7462252691,1,3.0,R21,4,1834.0,"3,51",BIO,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:55:13,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PMC20481MP,0,7462252691,1,4.0,R21,4,1834.0,"3,51",BIO,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:55:13,PG12,VG2/3,VG2/3,PMC20481MP,1.0,False,True,False
PAG14871KL,0,7463105416,1,1.0,R21,2,216.0,"0,47",SWK,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:38:00,PG13,VG2/3,VG2/3,PAG14871KL,1.0,False,True,False
PAG14871KL,0,7463105416,1,2.0,R21,2,216.0,"0,47",SWK,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:38:00,PG13,VG2/3,VG2/3,PAG14871KL,1.0,False,True,False
PMC31352KL,5,7463106956,1,1.0,C01,20,200.0,"0,72",SWK,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:08:49,PG12,VG2/3,VG2/3,PMC31352KL,20.0,False,True,False
PMC31352KL,5,7463940052,1,5.0,R21,5,689.5,"4,23",BLL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:06:51,PG12,VG2/3,VG2/3,PMC31352KL,1.0,False,True,False
PAG15353KL,0,7464109990,1,1.0,R21,4,232.7,"0,77",HEL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:47:19,PG13,VG2/3,VG2/3,PAG15353KL,2.0,False,True,False
PAG15353KL,0,7464109990,1,2.0,R21,4,232.7,"0,77",HEL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:47:19,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7464109990,1,3.0,R21,4,232.7,"0,77",HEL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:47:19,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7464160611,1,1.0,R21,1,200.0,"1,25",MAD,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:37:18,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7464326006,1,1.0,M25,4,12.6,"0,17",MUC,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:57:52,PG13,VG2/3,VG2/3,PAG15353KL,4.0,False,True,False
PAG15353KL,0,7464327970,1,1.0,R21,1,32.0,"0,48",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:37:46,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7464485610,1,1.0,R21,1,47.0,"0,63",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:48:41,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
PAG15353KL,0,7464527923,1,,R21,12,1340.4,10,HAJ,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:52:25,PG13,VG2/3,VG2/3,PAG15353KL,,False,True,False
PMC22319KL,1,7464527923,1,,R21,12,1340.4,10,HAJ,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,,,,,PMC22319KL,,True,False,False
PAG14871KL,0,7464561711,1,1.0,R21,2,527.0,"2,16",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:29:36,PG13,VG2/3,VG2/3,PAG14871KL,1.0,False,True,False
PAG14871KL,0,7464561711,1,2.0,R21,2,527.0,"2,16",AMS,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 09:29:36,PG13,VG2/3,VG2/3,PAG14871KL,1.0,False,True,False
PMC65727AF,1,7464801844,1,,R21,16,1000.8,6,STR,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,,,,,PMC65727AF,,True,False,False
PAG15353KL,0,7464843284,1,1.0,R21,20,136.0,"0,54",BLL,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:55:53,PG13,VG2/3,VG2/3,PAG15353KL,20.0,False,True,False
PAG15353KL,0,7464889635,1,1.0,R21,1,182.0,"0,09",MMX,DEL,KL,871,KL0871,2024-03-18,18-3-2024 12:46:00,18-3-2024 12:20:00,Aircraft,18-3-2024 07:50:03,PG13,VG2/3,VG2/3,PAG15353KL,1.0,False,True,False
