BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
26-3-2024 12:45:27,57,11001001,5711001001,BSL,DEL,A,2.63,MC,1014.3,K,4.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18511837,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,4.0,1014.3,4.0,1.0,2.0,1.01,,1.0,True,True,0.07,,33.0,40.0,55.0,True
26-3-2024 12:45:27,57,11001001,5711001001,BSL,DEL,A,2.63,MC,1014.3,K,4.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18511837,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,4.0,1014.3,4.0,1.0,1.0,0.8,,1.0,True,True,,,,,,
26-3-2024 12:45:27,57,11001001,5711001001,BSL,DEL,A,2.63,MC,1014.3,K,4.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18511837,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,4.0,1014.3,4.0,1.0,4.0,0.07,,1.0,True,True,0.8,,83.0,80.0,120.0,True
26-3-2024 12:45:27,57,11001001,5711001001,BSL,DEL,A,2.63,MC,1014.3,K,4.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18511837,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,4.0,1014.3,4.0,1.0,5.0,0.75,,1.0,True,True,1.01,,105.0,80.0,120.0,True
26-3-2024 12:45:27,74,1402973,7401402973,BCN,DEL,A,6.34,MC,555.0,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18536517,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,6.3,555.0,5.0,1.0,3.0,1.32,,1.0,True,True,1.32,,110.0,100.0,120.0,True
26-3-2024 12:45:27,74,1402973,7401402973,BCN,DEL,A,6.34,MC,555.0,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18536517,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,6.3,555.0,5.0,1.0,2.0,1.15,,3.0,True,True,1.15,,120.0,80.0,120.0,True
26-3-2024 12:45:27,74,1402973,7401402973,BCN,DEL,A,6.34,MC,555.0,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18536517,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,6.3,555.0,5.0,1.0,4.0,1.56,,1.0,True,True,1.56,,130.0,100.0,120.0,True
26-3-2024 12:45:27,74,1414291,7401414291,MMX,DEL,A,1.24,MC,209.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18548668,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,1.24,209.0,1.0,1.0,2.0,1.25,,1.0,True,True,1.25,209.0,130.0,80.0,120.0,True
26-3-2024 12:45:27,74,1414291,7401414291,MMX,DEL,A,1.24,MC,209.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18548668,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,1.24,209.0,1.0,1.0,1.0,1.24,209.0,1.0,True,True,1.24,209.0,,,,False
26-3-2024 12:45:27,74,1416936,7401416936,GOT,DEL,A,0.9,MC,400.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18550643,KL,871,KL0871,,AMS,DEL,25-3-2024,2024-03-26,0.9,400.0,1.0,1.0,1.0,0.9,400.0,1.0,True,True,0.9,400.0,,,,False
