ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC69568AF,0,5747681410,1,1.0,R21,2,817.0,"2,57",BLR,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,6/2/2024 3:10,PK12,VG2/3,VG2/3,PMC69568AF,1.0,False,True,False
PMC69568AF,0,5747681410,1,2.0,R21,2,817.0,"2,57",BLR,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,6/2/2024 3:10,PK12,VG2/3,VG2/3,PMC69568AF,1.0,False,True,False
PAG11375AF,0,5749784044,1,3.0,C01,3,1643.0,"3,3",MAA,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,5/2/2024 23:05,PL11,VG2/3,VG2/3,PAG11375AF,1.0,False,True,False
PMC67098AF,0,5749784044,1,1.0,C01,3,1643.0,"3,3",MAA,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,5/2/2024 17:49,,,,PMC67098AF,1.0,False,False,False
PMC67098AF,0,5749784044,1,2.0,C01,3,1643.0,"3,3",MAA,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,5/2/2024 17:49,,,,PMC67098AF,1.0,False,False,False
PMC22606MP,1,5750255660,1,1.0,R21,1,222.0,"0,3",LNZ,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,6/2/2024 3:49,PL04,VG2/3,VG2/3,PMC22606MP,1.0,False,True,False
PMC22606MP,1,7400822356,1,1.0,M21,2,60.0,"0,11",AMS,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,6/2/2024 3:50,PL04,VG2/3,VG2/3,PMC22606MP,2.0,False,True,False
PAG11375AF,0,7400823502,1,1.0,C01,1,591.0,"1,68",GOT,IAH,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,5/2/2024 22:54,PL11,VG2/3,VG2/3,PAG11375AF,1.0,False,True,False
PMC69568AF,0,7401158640,1,1.0,R21,1,413.2,"4,96",FRA,ELP,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,6/2/2024 3:06,PK12,VG2/3,VG2/3,PMC69568AF,1.0,False,True,False
PMC69568AF,0,7401158640,1,2.0,R21,1,413.2,"4,96",FRA,ELP,KL,661,KL0661,2024-02-06,6/2/2024 10:25,6/2/2024 10:05,Aircraft,6/2/2024 3:06,PK12,VG2/3,VG2/3,PMC69568AF,1.0,False,True,False
