FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-15|AMS|KL|0661||2024-02-15|D|154030626|161747035,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,358,KG,B,F,20.0,ULD,AKE96131KL,707.0,57.0,16-2-2024 04:27:44,FWD,13L,L,154030626,161747035,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030626|161747037,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,D,,1.0,ULD,AKE96131KL,707.0,57.0,16-2-2024 04:27:44,FWD,13L,L,154030626,161747037,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030626|161771519,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,274,KG,B,Y,16.0,ULD,AKE96131KL,707.0,57.0,16-2-2024 04:27:44,FWD,13L,L,154030626,161771519,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030629|161747039,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,102,KG,B,Y,6.0,ULD,AKE95737KL,428.0,57.0,16-2-2024 04:27:44,FWD,12R,L,154030629,161747039,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030629|161771520,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,269,KG,B,F,15.0,ULD,AKE95737KL,428.0,57.0,16-2-2024 04:27:44,FWD,12R,L,154030629,161771520,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030630|161747040,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,531,KG,B,Y,31.0,ULD,AKE95597KL,588.0,57.0,16-2-2024 04:27:44,FWD,12L,L,154030630,161747040,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030631|161747041,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,617,KG,B,Y,36.0,ULD,AKE97866KL,834.0,57.0,16-2-2024 04:27:44,FWD,11R,L,154030631,161747041,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030631|161771521,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,160,KG,B,B,9.0,ULD,AKE97866KL,834.0,57.0,16-2-2024 04:27:44,FWD,11R,L,154030631,161771521,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030632|161747042,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,737,KG,B,Y,43.0,ULD,AKE95065KL,794.0,57.0,16-2-2024 04:27:44,FWD,11L,L,154030632,161747042,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030633|161747043,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,G,0.0,BLK,,,,16-2-2024 04:27:44,BLK,51,L,154030633,161747043,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030634|161747044,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,B,0.0,BLK,,,,16-2-2024 04:27:44,BLK,51,L,154030634,161747044,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030635|161747045,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,72,KG,B,Y,4.0,BLK,,,,16-2-2024 04:27:44,BLK,51,L,154030635,161747045,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154030636|161747046,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,F,0.0,BLK,,,,16-2-2024 04:27:44,BLK,51,L,154030636,161747046,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154048270|161765551,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,73,KG,C,,,ULD,AKE96976KL,130.0,57.0,16-2-2024 04:27:44,FWD,14L,L,154048270,161765551,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154048271|161765552|19235922,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,378,KG,C,,,ULD,AKE94947KL,435.0,57.0,16-2-2024 04:27:44,FWD,14R,L,154048271,161765552,19235922.0,ELI
2024-02-15|AMS|KL|0661||2024-02-15|D|154048271|161765552|19235923,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,378,KG,C,,,ULD,AKE94947KL,435.0,57.0,16-2-2024 04:27:44,FWD,14R,L,154048271,161765552,19235923.0,RDS
2024-02-15|AMS|KL|0661||2024-02-15|D|154048272|161765553,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,1944,KG,C,,,ULD,PLA70813AF,2000.0,56.0,16-2-2024 04:27:44,FWD,15,L,154048272,161765553,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154048273|161765554|19235924,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,1535,KG,C,,,ULD,PMC32559KL,1660.0,125.0,16-2-2024 04:27:44,AFT,31P,L,154048273,161765554,19235924.0,PES
2024-02-15|AMS|KL|0661||2024-02-15|D|154048274|161765555|19235925,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,527,KG,C,,,ULD,PMC20137KL,652.0,125.0,16-2-2024 04:27:44,FWD,21P,L,154048274,161765555,19235925.0,AVG
2024-02-15|AMS|KL|0661||2024-02-15|D|154048274|161765555|19235926,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,527,KG,C,,,ULD,PMC20137KL,652.0,125.0,16-2-2024 04:27:44,FWD,21P,L,154048274,161765555,19235926.0,AVG
2024-02-15|AMS|KL|0661||2024-02-15|D|154048275|161765556,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,710,KG,C,,,ULD,PMC73185AF,820.0,110.0,16-2-2024 04:27:44,FWD,22P,L,154048275,161765556,,
2024-02-15|AMS|KL|0661||2024-02-15|D|154048276|161765557|19235927,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,4305,KG,C,,,ULD,PMC20086MP,4430.0,125.0,16-2-2024 04:27:44,AFT,33P,L,154048276,161765557,19235927.0,OHG
2024-02-15|AMS|KL|0661||2024-02-15|D|154048277|161765558|19235928,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,1214,KG,C,,,ULD,PAG11935AF,1310.0,96.0,16-2-2024 04:27:44,FWD,23P,L,154048277,161765558,19235928.0,ELI
2024-02-15|AMS|KL|0661||2024-02-15|D|154048278|161765559,2024-02-15|KL|0661||AMS,ACTIVE,AMS,IAH,4310,KG,C,,,ULD,PMC61468AF,4420.0,110.0,16-2-2024 04:27:44,AFT,42P,L,154048278,161765559,,
