ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC22568MP,0,7400673805,1,1.0,R21,1,168.0,"1,2",FRA,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:42,PL03,VG2/3,VG2/3,PMC22568MP,1.0,False,True,False
PMC73128AF,0,7400708772,1,1.0,R21,2,491.0,"1,22",DUS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:47,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
PMC73128AF,0,7400708772,1,2.0,R21,2,491.0,"1,22",DUS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:47,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
PMC76038AF,0,7401081102,1,1.0,R21,1,86.0,"0,27",FMO,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:49,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
PAG01403AF,0,7401088780,1,1.0,R21,3,243.0,"0,72",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:10,PL03,VG2/3,VG2/3,PAG01403AF,3.0,False,True,False
PMC76038AF,0,7401091171,1,1.0,M21,1,3.2,"0,02",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:50,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
PMC73128AF,0,7401094844,1,1.0,R21,1,144.0,"0,07",DUS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:49,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
AKE98194KL,0,7401096815,1,1.0,R21,10,125.0,"0,35",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:27,PL04,VG2/3,VG2/3,AKE98194KL,10.0,False,True,False
PMC76038AF,0,7401097375,1,1.0,R21,1,75.0,"0,15",RTM,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:46,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
PMC76038AF,0,7401100341,1,1.0,R21,1,215.0,"0,62",AMS,LRD,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:36,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
PMC73128AF,0,7446135106,1,1.0,R21,1,300.0,"0,96",ABZ,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:41,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
AKE98194KL,0,7458483423,1,1.0,M21,1,3.0,"0,02",BGO,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:44,PL04,VG2/3,VG2/3,AKE98194KL,1.0,False,True,False
PMC76038AF,0,7461350225,1,1.0,R21,1,1000.0,"1,42",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:43,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
AKE98194KL,0,7461395740,1,1.0,M21,2,10.0,"0,06",ICN,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:44,PL04,VG2/3,VG2/3,AKE98194KL,2.0,False,True,False
AKE98194KL,0,7462454593,1,1.0,M21,4,40.0,"0,27",ATH,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:33,PL04,VG2/3,VG2/3,AKE98194KL,4.0,False,True,False
AKE98194KL,0,7462455363,1,1.0,M21,1,8.0,"0,05",LHR,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:26,PL04,VG2/3,VG2/3,AKE98194KL,1.0,False,True,False
PMC73128AF,0,7462706092,1,1.0,M25,1,143.0,"0,45",BUD,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:49,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
PMC76038AF,0,7462710944,1,1.0,R21,2,138.0,"0,42",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:48,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
PMC76038AF,0,7462710944,1,2.0,R21,2,138.0,"0,42",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:48,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
PMC22568MP,0,7462710966,1,1.0,M25,1,50.0,"0,12",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:55,PL03,VG2/3,VG2/3,PMC22568MP,1.0,False,True,False
PAG01403AF,0,7462756256,1,1.0,R21,2,581.8,"1,17",FMO,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:05,PL03,VG2/3,VG2/3,PAG01403AF,1.0,False,True,False
PAG01403AF,0,7462756256,1,2.0,R21,2,581.8,"1,17",FMO,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:05,PL03,VG2/3,VG2/3,PAG01403AF,1.0,False,True,False
PMC73128AF,0,7462799553,1,1.0,R21,1,254.0,"1,33",ABZ,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:38,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
PMC73128AF,0,7462919345,1,1.0,R21,2,644.0,"0,96",BRU,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:43,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
PMC73128AF,0,7462919345,1,2.0,R21,2,644.0,"0,96",BRU,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:43,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
PMC22568MP,0,7463203722,1,1.0,R21,3,108.0,1,RTM,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:48,PL03,VG2/3,VG2/3,PMC22568MP,2.0,False,True,False
PMC22568MP,0,7463203722,1,2.0,R21,3,108.0,1,RTM,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:48,PL03,VG2/3,VG2/3,PMC22568MP,1.0,False,True,False
PMC72226AF,1,7463231733,1,,R21,35,4725.0,"12,82",BOM,LRD,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,,,,,PMC72226AF,,True,False,False
PAG01403AF,0,7463231733,1,1.0,R21,35,4725.0,"12,82",BOM,LRD,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:01,PL03,VG2/3,VG2/3,PAG01403AF,1.0,False,True,False
PAG01403AF,0,7463231733,1,2.0,R21,35,4725.0,"12,82",BOM,LRD,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:01,PL03,VG2/3,VG2/3,PAG01403AF,1.0,False,True,False
PMC22568MP,0,7463231733,1,3.0,R21,35,4725.0,"12,82",BOM,LRD,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:55,PL03,VG2/3,VG2/3,PMC22568MP,1.0,False,True,False
PMC76038AF,0,7463231733,1,4.0,R21,35,4725.0,"12,82",BOM,LRD,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:37,PL03,VG2/3,VG2/3,PMC76038AF,2.0,False,True,False
PMC22568MP,0,7463232326,1,1.0,R21,2,171.0,"1,02",GOT,MSY,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 1:53,PL03,VG2/3,VG2/3,PMC22568MP,1.0,False,True,False
PMC76038AF,0,7463232326,1,2.0,R21,2,171.0,"1,02",GOT,MSY,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:44,PL03,VG2/3,VG2/3,PMC76038AF,1.0,False,True,False
AKE98194KL,0,7463271482,1,1.0,M25,26,171.0,"0,94",ATH,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:40,PL04,VG2/3,VG2/3,AKE98194KL,16.0,False,True,False
AKE98194KL,0,7463271482,1,2.0,M25,26,171.0,"0,94",ATH,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,10/1/2024 23:40,PL04,VG2/3,VG2/3,AKE98194KL,10.0,False,True,False
PMC76038AF,0,7463288153,1,1.0,S23,199,1070.0,"3,21",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:32,PL03,VG2/3,VG2/3,PMC76038AF,39.0,False,True,False
PMC76038AF,0,7463288153,1,2.0,S23,199,1070.0,"3,21",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:32,PL03,VG2/3,VG2/3,PMC76038AF,30.0,False,True,False
PMC76038AF,0,7463288153,1,3.0,S23,199,1070.0,"3,21",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:32,PL03,VG2/3,VG2/3,PMC76038AF,70.0,False,True,False
PMC76038AF,0,7463288153,1,4.0,S23,199,1070.0,"3,21",AMS,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 3:32,PL03,VG2/3,VG2/3,PMC76038AF,60.0,False,True,False
PMC73128AF,0,7463436973,1,1.0,R21,1,130.0,"1,11",FMO,IAH,KL,661,KL0661,2024-01-11,11/1/2024 10:39,11/1/2024 10:05,Aircraft,11/1/2024 6:43,PM01,VG2/3,VG2/3,PMC73128AF,1.0,False,True,False
