FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-22|AMS|KL|0661||2024-01-22|D|153095217|160777825,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,562,KG,B,Y,32.0,ULD,AKE95021KL,765.0,57.0,16-2-2024 17:02:55,FWD,14R,L,153095217,160777825,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095217|160777826,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,146,KG,B,B,8.0,ULD,AKE95021KL,765.0,57.0,16-2-2024 17:02:55,FWD,14R,L,153095217,160777826,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095218|160777821,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,716,KG,B,F,38.0,ULD,AKE95955KL,791.0,57.0,16-2-2024 17:02:55,FWD,13L,L,153095218,160777821,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095218|160777822,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,D,,1.0,ULD,AKE95955KL,791.0,57.0,16-2-2024 17:02:55,FWD,13L,L,153095218,160777822,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095219|160777818,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,245,KG,B,Y,14.0,ULD,AKE70252KL,753.0,57.0,16-2-2024 17:02:55,FWD,12L,L,153095219,160777818,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095219|160777819,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,451,KG,B,B,25.0,ULD,AKE70252KL,753.0,57.0,16-2-2024 17:02:55,FWD,12L,L,153095219,160777819,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095220|160777820,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,368,KG,B,Y,21.0,ULD,AKE97844KL,425.0,57.0,16-2-2024 17:02:55,FWD,12R,L,153095220,160777820,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095221|160777816,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,216,KG,B,B,12.0,ULD,AKE96242KL,712.0,57.0,16-2-2024 17:02:55,FWD,11R,L,153095221,160777816,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095221|160777817,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,439,KG,B,Y,25.0,ULD,AKE96242KL,712.0,57.0,16-2-2024 17:02:55,FWD,11R,L,153095221,160777817,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095222|160752699,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153095222,160752699,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095223|160752700,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153095223,160752700,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095224|160752701,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153095224,160752701,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095225|160752702,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153095225,160752702,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153095226|160752703,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,73,KG,B,Y,4.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153095226,160752703,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153105313|160777823,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,378,KG,B,F,20.0,ULD,AKE98094KL,495.0,57.0,16-2-2024 17:02:55,FWD,13R,L,153105313,160777823,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153105313|160777824,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,60,KG,B,T,4.0,ULD,AKE98094KL,495.0,57.0,16-2-2024 17:02:55,FWD,13R,L,153105313,160777824,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153105314|160777814,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,B,B,1.0,ULD,AKE94680KL,566.0,57.0,16-2-2024 17:02:55,FWD,11L,L,153105314,160777814,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153105314|160777815,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,491,KG,B,Y,28.0,ULD,AKE94680KL,566.0,57.0,16-2-2024 17:02:55,FWD,11L,L,153105314,160777815,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153112901|160771244,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,280,KG,C,,,ULD,AKE70045KL,345.0,65.0,16-2-2024 17:02:55,FWD,15L,L,153112901,160771244,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153112902|160771245,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,283,KG,C,,,ULD,AKE97826KL,340.0,57.0,16-2-2024 17:02:55,FWD,14L,L,153112902,160771245,,
2024-01-22|AMS|KL|0661||2024-01-22|D|153112903|160771246|19126566,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,683,KG,C,,,ULD,AKE97722KL,740.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153112903,160771246,19126566.0,RMD
2024-01-22|AMS|KL|0661||2024-01-22|D|153112903|160771246|19126567,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,683,KG,C,,,ULD,AKE97722KL,740.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153112903,160771246,19126567.0,RLI
2024-01-22|AMS|KL|0661||2024-01-22|D|153112903|160771246|19126568,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,683,KG,C,,,ULD,AKE97722KL,740.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153112903,160771246,19126568.0,RNG
2024-01-22|AMS|KL|0661||2024-01-22|D|153112903|160771246|19126569,2024-01-22|KL|0661||AMS,ACTIVE,AMS,IAH,683,KG,C,,,ULD,AKE97722KL,740.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153112903,160771246,19126569.0,RNG
