BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
31-1-2024 11:06:36,57,46946034,5746946034,SIN,IAH,A,7.95,MC,3898.0,K,6.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18274634,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,7.95,3897.9,6.0,,,,,,,,,,,,,
31-1-2024 11:06:36,57,49267341,5749267341,SIN,IAH,A,0.56,MC,441.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18292278,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.01,441.0,1.0,1.0,2.0,0.56,,1.0,True,True,0.56,441.0,83.0,61.0,110.0,True
31-1-2024 11:06:36,57,49377484,5749377484,DEL,IAH,A,1.4,MC,1349.0,K,5.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18316060,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.54,269.8,1.0,,,,,,,,,,,,,
31-1-2024 11:06:36,57,49642040,5749642040,FRA,IAH,A,0.58,MC,127.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18283924,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.58,127.0,1.0,1.0,1.0,0.58,127.0,1.0,True,True,0.58,127.0,,,,False
31-1-2024 11:06:36,57,49642040,5749642040,FRA,IAH,A,0.58,MC,127.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18283924,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.58,127.0,1.0,1.0,2.0,0.58,,1.0,True,True,0.58,127.0,60.0,80.0,120.0,True
31-1-2024 11:06:36,57,50220354,5750220354,BOM,IAH,A,0.13,MC,110.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18286562,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.13,110.0,1.0,1.0,1.0,0.13,110.0,1.0,True,True,0.13,110.0,,,,False
31-1-2024 11:06:36,57,50220354,5750220354,BOM,IAH,A,0.13,MC,110.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18286562,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.13,110.0,1.0,1.0,2.0,0.13,,1.0,True,True,0.13,110.0,37.0,32.0,107.0,True
31-1-2024 11:06:36,74,757186,7400757186,SIN,IAH,A,0.04,MC,5.0,K,2.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18308173,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.04,5.0,2.0,1.0,3.0,0.04,,1.0,True,True,0.04,,29.0,36.0,36.0,True
31-1-2024 11:06:36,74,757186,7400757186,SIN,IAH,A,0.04,MC,5.0,K,2.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18308173,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.04,5.0,2.0,1.0,1.0,0.02,2.5,2.0,True,True,0.02,2.5,,,,False
31-1-2024 11:06:36,74,757186,7400757186,SIN,IAH,A,0.04,MC,5.0,K,2.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18308173,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.04,5.0,2.0,1.0,2.0,0.01,,1.0,True,True,0.01,,4.0,34.0,35.0,True
2/2/2024 11:10,74,782095,7400782095,RTM,IAH,A,0.57,MC,146.6,K,14.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18311340,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.05,10.0,1.0,,,,,,,,,,,,,
31-1-2024 11:06:36,74,809815,7400809815,AMS,IAH,A,0.83,MC,215.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18311136,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.83,215.0,1.0,1.0,1.0,0.83,215.0,1.0,True,True,0.83,215.0,,,,False
31-1-2024 11:06:36,74,809815,7400809815,AMS,IAH,A,0.83,MC,215.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18311136,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.83,215.0,1.0,1.0,2.0,0.77,,1.0,True,True,0.77,215.0,80.0,80.0,120.0,True
31-1-2024 11:06:36,74,911503,7400911503,CPH,IAH,A,11.9,MC,976.0,K,8.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18306884,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,1.49,122.0,1.0,,,,,,,,,,,,,
1/2/2024 19:27,74,1149853,7401149853,FRA,LRD,A,0.63,MC,483.0,K,1.0,R21,GENE,IAH,FFM,False,False,False,False,False,False,False,False,18283640,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.63,483.0,1.0,1.0,1.0,0.63,483.0,1.0,True,True,0.63,483.0,,,,False
1/2/2024 19:27,74,1149853,7401149853,FRA,LRD,A,0.63,MC,483.0,K,1.0,R21,GENE,IAH,FFM,False,False,False,False,False,False,False,False,18283640,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.63,483.0,1.0,1.0,2.0,0.63,,1.0,True,True,0.63,483.0,50.0,50.0,250.0,True
4/2/2024 9:43,74,1155394,7401155394,FRA,IAH,A,0.95,MC,312.0,K,1.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18288699,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.95,312.0,1.0,1.0,2.0,0.95,,1.0,True,True,0.95,312.0,55.0,80.0,215.0,True
4/2/2024 9:43,74,1155394,7401155394,FRA,IAH,A,0.95,MC,312.0,K,1.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18288699,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.95,312.0,1.0,1.0,1.0,0.95,312.0,1.0,True,True,0.95,312.0,,,,False
2/2/2024 11:10,74,1156982,7401156982,AMS,IAH,A,11.27,MC,4910.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18316061,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,2.05,892.7,2.0,,,,,,,,,,,,,
31-1-2024 11:06:36,74,1159841,7401159841,VIE,IAH,A,1.09,MC,448.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18294082,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,1.09,448.0,2.0,1.0,1.0,0.55,224.0,2.0,True,True,0.55,224.0,,,,False
31-1-2024 11:06:36,74,1159841,7401159841,VIE,IAH,A,1.09,MC,448.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18294082,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,1.09,448.0,2.0,1.0,2.0,0.55,,2.0,True,True,0.55,224.0,57.0,80.0,120.0,True
31-1-2024 11:06:36,74,1162033,7401162033,FRA,IAH,A,0.72,MC,148.8,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18295777,KL,661,KL0661,,AMS,IAH,30-1-2024,2024-01-31,0.72,148.8,2.0,1.0,2.0,0.04,,1.0,True,True,0.04,,12.0,12.0,240.0,True
