ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG11745AF,0,5750798812,1,1.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 03:24:01,PL13,VG2/3,VG2/3,PAG11745AF,14.0,False,True,False
PAG11526KL,0,5750798812,1,1.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:42:46,PL04,VG2/3,VG2/3,PAG11526KL,14.0,False,True,False
AKE97348KL,0,5750798812,1,1.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 03:24:22,PL14,VG2/3,VG2/3,AKE97348KL,14.0,False,True,False
PAG11745AF,0,5750798812,1,4.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 03:24:01,PL13,VG2/3,VG2/3,PAG11745AF,10.0,False,True,False
AKE97348KL,0,5750798812,1,4.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 03:24:22,PL14,VG2/3,VG2/3,AKE97348KL,10.0,False,True,False
PAG11526KL,0,5750798812,1,4.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:42:46,PL04,VG2/3,VG2/3,PAG11526KL,10.0,False,True,False
PAG11526KL,0,5750798812,1,5.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:42:46,PL04,VG2/3,VG2/3,PAG11526KL,7.0,False,True,False
PAG11745AF,0,5750798812,1,5.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 03:24:01,PL13,VG2/3,VG2/3,PAG11745AF,7.0,False,True,False
AKE97348KL,0,5750798812,1,5.0,R21,31,281.0,"2,39",DEL,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 03:24:22,PL14,VG2/3,VG2/3,AKE97348KL,7.0,False,True,False
PMC62348AF,2,7401180900,1,,R21,4,561.0,"5,76",CPH,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,,,,,PMC62348AF,,True,False,False
PAG11526KL,0,7401414825,1,1.0,C01,8,351.0,"1,13",RTM,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:24:58,PL04,VG2/3,VG2/3,PAG11526KL,1.0,False,True,False
PAG11526KL,0,7401414825,1,2.0,C01,8,351.0,"1,13",RTM,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:24:58,PL04,VG2/3,VG2/3,PAG11526KL,7.0,False,True,False
PAG11526KL,0,7401416984,1,1.0,R21,2,1372.0,"2,66",AMS,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:14:40,PL04,VG2/3,VG2/3,PAG11526KL,1.0,False,True,False
PAG11526KL,0,7401416984,1,2.0,R21,2,1372.0,"2,66",AMS,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 06:14:40,PL04,VG2/3,VG2/3,PAG11526KL,1.0,False,True,False
PMC29102KL,6,7401430273,1,,R21,2,2620.0,"6,91",FRA,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,,,,,PMC29102KL,,True,False,False
PMC25225KL,8,7401430273,1,,R21,2,2620.0,"6,91",FRA,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,,,,,PMC25225KL,,True,False,False
PAG11745AF,0,7401430273,1,,R21,2,2620.0,"6,91",FRA,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 01:43:54,PL13,VG2/3,VG2/3,PAG11745AF,,False,True,False
PMC25225KL,8,7401433950,1,1.0,R21,8,104.3,"1,01",RTM,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 00:55:17,PL14,VG2/3,VG2/3,PMC25225KL,8.0,False,True,False
PMC25225KL,8,7401433950,1,2.0,R21,8,104.3,"1,01",RTM,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 00:55:17,PL14,VG2/3,VG2/3,PMC25225KL,8.0,False,True,False
PMC29102KL,6,7401434230,1,1.0,R21,1,80.0,"1,25",MUC,IAH,KL,661,KL0661,2024-03-27,27-3-2024 10:08:00,27-3-2024 10:05:00,Aircraft,27-3-2024 01:21:52,PL13,VG2/3,VG2/3,PMC29102KL,1.0,False,True,False
