BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
27-3-2024 10:16:00,57,50798812,5750798812,DEL,IAH,A,2.4,MC,281.0,K,31.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18542021,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,2.38,280.8,31.0,,,,,,,,,,,,,
27-3-2024 10:16:00,74,1180900,7401180900,CPH,IAH,A,5.76,MC,561.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18520772,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,2.88,280.6,2.0,,,,,,,,,,,,,
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,8.0,0.05,,1.0,True,True,0.29,,30.0,98.0,98.0,True
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,5.0,0.01,,1.0,True,True,0.05,,30.0,40.0,40.0,True
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,1.0,0.05,,1.0,True,True,,,,,,
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,7.0,0.01,,1.0,True,True,0.05,,26.0,33.0,52.0,True
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,9.0,0.01,,1.0,True,True,0.48,,50.0,80.0,120.0,True
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,2.0,0.29,,1.0,True,True,0.01,,15.0,20.0,20.0,True
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,3.0,0.48,,1.0,True,True,0.01,,17.0,17.0,22.0,True
27-3-2024 10:16:00,74,1414825,7401414825,RTM,IAH,A,1.13,MC,351.0,K,8.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18549152,KL,661,KL0661,,AMS,IAH,26-3-2024,2024-03-27,1.13,351.0,8.0,1.0,6.0,0.01,,1.0,True,True,0.01,,16.0,16.0,43.0,True
