FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-29|AMS|KL|0661||2024-03-29|D|155787069|163634244,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,17,KG,B,T,1.0,ULD,AKE94862KL,756.0,57.0,30-3-2024 04:27:14,AFT,42R,L,155787069,163634244,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787069|163634245,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,18,KG,D,,1.0,ULD,AKE94862KL,756.0,57.0,30-3-2024 04:27:14,AFT,42R,L,155787069,163634245,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787069|163634246,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,664,KG,B,F,38.0,ULD,AKE94862KL,756.0,57.0,30-3-2024 04:27:14,AFT,42R,L,155787069,163634246,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787070|163634238,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,605,KG,B,Y,36.0,ULD,AKE96730KL,662.0,57.0,30-3-2024 04:27:14,AFT,31R,L,155787070,163634238,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787071|163634240,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,198,KG,B,B,11.0,ULD,AKE95601KL,793.0,57.0,30-3-2024 04:27:14,AFT,32R,L,155787071,163634240,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787071|163634241,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,538,KG,B,Y,32.0,ULD,AKE95601KL,793.0,57.0,30-3-2024 04:27:14,AFT,32R,L,155787071,163634241,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787072|163634889,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,120,KG,B,T,7.0,ULD,AKE70087KL,262.0,57.0,30-3-2024 04:27:14,AFT,41L,L,155787072,163634889,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787072|163634890,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,16,KG,B,Y,1.0,ULD,AKE70087KL,262.0,57.0,30-3-2024 04:27:14,AFT,41L,L,155787072,163634890,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787072|163634891,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,69,KG,B,F,4.0,ULD,AKE70087KL,262.0,57.0,30-3-2024 04:27:14,AFT,41L,L,155787072,163634891,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787073|163634239,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,386,KG,B,Y,23.0,ULD,AKE97169KL,443.0,57.0,30-3-2024 04:27:14,AFT,32L,L,155787073,163634239,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787074|163634888,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,471,KG,B,Y,28.0,ULD,AKE96330KL,528.0,57.0,30-3-2024 04:27:14,AFT,33L,L,155787074,163634888,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787075|163635085,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,740,KG,B,Y,44.0,ULD,AKE95414KL,797.0,57.0,30-3-2024 04:27:14,AFT,33R,L,155787075,163635085,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787076|163634893,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,117,KG,B,Y,7.0,ULD,AKE96595KL,174.0,57.0,30-3-2024 04:27:14,AFT,41R,L,155787076,163634893,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787077|163634243,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,221,KG,B,T,13.0,ULD,AKE95989KL,278.0,57.0,30-3-2024 04:27:14,AFT,42L,L,155787077,163634243,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787078|163610268,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,G,0.0,BLK,,,,29-3-2024 04:28:19,BLK,52,L,155787078,163610268,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787079|163610269,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,B,0.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155787079,163610269,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787080|163610270,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,172,KG,B,Y,10.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155787080,163610270,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787081|163610271,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,19,KG,B,F,1.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155787081,163610271,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155787082|163610272,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,T,0.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155787082,163610272,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155806303|163630344|19418248,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,13,KG,C,,,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155806303,163630344,19418248.0,AVG
2024-03-29|AMS|KL|0661||2024-03-29|D|155806304|163630345,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,213,KG,C,,,ULD,AKE97595KL,270.0,57.0,30-3-2024 04:27:14,AFT,31L,L,155806304,163630345,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155806305|163630346|19418249,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,3025,KG,C,,,ULD,PMC23083KL,3150.0,125.0,30-3-2024 04:27:14,AFT,42P,L,155806305,163630346,19418249.0,RFL
2024-03-29|AMS|KL|0661||2024-03-29|D|155806306|163630347,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,1085,KG,C,,,ULD,PMC24710KL,1210.0,125.0,30-3-2024 04:27:14,FWD,12P,L,155806306,163630347,,
2024-03-29|AMS|KL|0661||2024-03-29|D|155806307|163630348,2024-03-29|KL|0661||AMS,ACTIVE,AMS,IAH,3005,KG,C,,,ULD,PMC22664KL,3130.0,125.0,30-3-2024 04:27:14,FWD,23P,L,155806307,163630348,,
