BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
1/4/2024 21:25,57,50282131,5750282131,BTS,ICN,A,0.2,MC,117.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18582796,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.23,117.0,2.0,1.0,3.0,0.16,,1.0,True,True,0.16,,50.0,40.0,80.0,True
1/4/2024 21:25,57,50282131,5750282131,BTS,ICN,A,0.2,MC,117.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18582796,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.23,117.0,2.0,1.0,2.0,0.02,,1.0,True,True,0.02,,21.0,25.0,29.0,True
1/4/2024 21:25,74,1448031,7401448031,KRK,ICN,A,1.14,MC,365.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18578638,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,1.14,365.0,1.0,1.0,1.0,1.14,365.0,1.0,True,True,1.14,365.0,,,,False
1/4/2024 21:25,74,1448031,7401448031,KRK,ICN,A,1.14,MC,365.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18578638,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,1.14,365.0,1.0,1.0,2.0,1.15,,1.0,True,True,1.15,365.0,100.0,107.0,107.0,True
1/4/2024 21:25,74,1459732,7401459732,AMS,ICN,A,0.77,MC,70.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18588437,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.77,70.0,1.0,1.0,1.0,0.77,70.0,1.0,True,True,0.77,70.0,,,,False
1/4/2024 21:25,74,1459732,7401459732,AMS,ICN,A,0.77,MC,70.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18588437,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.77,70.0,1.0,1.0,2.0,0.77,,1.0,True,True,0.77,70.0,30.0,80.0,320.0,True
1/4/2024 21:25,74,1463545,7401463545,DUB,ICN,A,0.94,MC,140.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590946,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.94,140.0,1.0,1.0,1.0,0.94,140.0,1.0,True,True,0.94,140.0,,,,False
1/4/2024 21:25,74,1463545,7401463545,DUB,ICN,A,0.94,MC,140.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590946,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.94,140.0,1.0,1.0,2.0,0.95,,1.0,True,True,0.95,140.0,94.0,84.0,120.0,True
1/4/2024 21:25,74,58906676,7458906676,ICN,ATH,A,0.64,MC,116.0,K,1.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18553919,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.64,116.0,1.0,1.0,1.0,0.64,116.0,1.0,True,True,0.64,116.0,,,,False
1/4/2024 21:25,74,58906676,7458906676,ICN,ATH,A,0.64,MC,116.0,K,1.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18553919,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,0.64,116.0,1.0,1.0,2.0,0.64,,1.0,True,True,0.64,116.0,111.0,76.0,76.0,True
1/4/2024 21:25,74,62746666,7462746666,AMS,ICN,A,30.0,MC,5297.0,K,323.0,C01,VARI,AMS,FFM,False,False,False,False,False,False,False,False,18590066,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,30.0,5296.9,323.0,1.0,1.0,0.09,16.4,323.0,True,True,0.09,16.4,,,,False
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,2.0,0.35,,1.0,True,True,0.35,,36.0,80.0,120.0,True
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,3.0,0.39,,1.0,True,True,0.39,,41.0,80.0,120.0,True
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,4.0,0.55,,1.0,True,True,0.55,,57.0,80.0,120.0,True
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,5.0,0.87,,2.0,True,True,0.87,,91.0,80.0,120.0,True
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,6.0,1.09,,4.0,True,True,1.09,,114.0,80.0,120.0,True
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,7.0,1.1,,2.0,True,True,1.1,,115.0,80.0,120.0,True
1/4/2024 21:25,74,63966151,7463966151,STR,ICN,A,11.85,MC,1964.0,K,13.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18583057,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,11.83,1963.7,13.0,1.0,8.0,1.11,,2.0,True,True,1.11,,116.0,80.0,120.0,True
1/4/2024 21:25,74,64278701,7464278701,ATH,ICN,A,1.0,MC,169.0,K,25.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18594961,KL,855,KL0855,,AMS,ICN,31-3-2024,2024-04-01,1.0,169.0,25.0,1.0,1.0,0.04,6.76,25.0,True,True,0.04,6.76,,,,False
