ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC67923AF,4,5755935681,1,1.0,M21,4,62.0,"0,47",LIM,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:39,PG01,VG2/3,VG2/3,PMC67923AF,4.0,False,True,False
PMC67923AF,4,7400811285,1,1.0,R21,4,520.0,"3,07",PRG,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:39,PG01,VG2/3,VG2/3,PMC67923AF,1.0,False,True,False
PMC67923AF,4,7400811285,1,2.0,R21,4,520.0,"3,07",PRG,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:39,PG01,VG2/3,VG2/3,PMC67923AF,1.0,False,True,False
PMC67923AF,4,7400811285,1,3.0,R21,4,520.0,"3,07",PRG,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:39,PG01,VG2/3,VG2/3,PMC67923AF,1.0,False,True,False
PMC70085AF,0,7400811285,1,4.0,R21,4,520.0,"3,07",PRG,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 17:04,PG02,VG2/3,VG2/3,PMC70085AF,1.0,False,True,False
PMC23334KL,1,7400811646,1,,S23,93,2145.0,"5,76",OSL,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,PMC23334KL,,True,False,False
PMC67923AF,4,7401170606,1,1.0,R21,1,282.0,"0,78",DUS,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:40,PG01,VG2/3,VG2/3,PMC67923AF,1.0,False,True,False
PMC03552DL,1,7401172581,1,,R21,5,1358.0,"6,9",BLL,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,PMC03552DL,,True,False,False
PMC70085AF,0,7455002426,1,1.0,R21,2,1458.6,"2,8",SWK,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 17:17,PG02,VG2/3,VG2/3,PMC70085AF,1.0,False,True,False
PMC70085AF,0,7455002426,1,2.0,R21,2,1458.6,"2,8",SWK,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 17:17,PG02,VG2/3,VG2/3,PMC70085AF,1.0,False,True,False
PMC70085AF,0,7460390116,1,1.0,R21,2,1270.0,"3,15",SWK,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 17:15,PG02,VG2/3,VG2/3,PMC70085AF,2.0,False,True,False
PMC70085AF,0,7462332911,1,1.0,R21,3,59.0,"0,21",FLR,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 17:27,PG02,VG2/3,VG2/3,PMC70085AF,3.0,False,True,False
PMC67923AF,4,7463379492,1,1.0,S53,1,89.0,"0,84",VIE,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:40,PG01,VG2/3,VG2/3,PMC67923AF,1.0,False,True,False
PMC67923AF,4,7463516515,1,,R21,1,173.5,"1,34",BRU,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,PMC67923AF,,True,False,False
PMC70085AF,0,7463658420,1,1.0,R21,1,114.0,"0,66",DUS,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 17:16,PG02,VG2/3,VG2/3,PMC70085AF,1.0,False,True,False
PMC20304MP,0,7463892290,1,,C01,3,5164.8,"34,43",AMS,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,PMC20304MP,,True,False,False
PMC09971MP,0,7463892290,1,,C01,3,5164.8,"34,43",AMS,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,PMC09971MP,,True,False,False
PMC21346MP,0,7463892290,1,,C01,3,5164.8,"34,43",AMS,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,PMC21346MP,,True,False,False
AKE70026KL,1,7463996472,1,,S23,29,155.0,"0,93",QFA,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,,,,,AKE70026KL,,True,False,False
PMC67923AF,4,7464146062,1,1.0,S53,1,100.5,"1,01",WAW,ICN,KL,855,KL0855,2024-02-05,5/2/2024 20:43,5/2/2024 20:35,Aircraft,5/2/2024 16:40,PG01,VG2/3,VG2/3,PMC67923AF,1.0,False,True,False
