FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-28|AMS|KL|0855||2024-02-28|D|154587733|162369426,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,567,KG,B,F,30.0,ULD,AKE97816KL,714.0,57.0,29-2-2024 04:34:28,AFT,42R,L,154587733,162369426,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587733|162369427,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,90,KG,D,,5.0,ULD,AKE97816KL,714.0,57.0,29-2-2024 04:34:28,AFT,42R,L,154587733,162369427,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587734|162369428,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,505,KG,B,Y,28.0,ULD,AKE94687KL,562.0,57.0,29-2-2024 04:34:28,AFT,43L,L,154587734,162369428,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587735|162369422,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,55,KG,B,B,3.0,ULD,AKE95331KL,780.0,57.0,29-2-2024 04:34:28,AFT,41R,L,154587735,162369422,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587735|162369423,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,668,KG,B,Y,37.0,ULD,AKE95331KL,780.0,57.0,29-2-2024 04:34:28,AFT,41R,L,154587735,162369423,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587736|162369416,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,110,KG,B,B,6.0,ULD,AKE96934KL,690.0,57.0,29-2-2024 04:34:28,FWD,12R,L,154587736,162369416,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587736|162369417,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,523,KG,B,Y,29.0,ULD,AKE96934KL,690.0,57.0,29-2-2024 04:34:28,FWD,12R,L,154587736,162369417,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587737|162369420,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,722,KG,B,Y,40.0,ULD,AKE96834KL,797.0,57.0,29-2-2024 04:34:28,AFT,41L,L,154587737,162369420,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587737|162369421,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,B,B,1.0,ULD,AKE96834KL,797.0,57.0,29-2-2024 04:34:28,AFT,41L,L,154587737,162369421,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587738|162369431,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,631,KG,B,Y,35.0,ULD,AKE95288KL,688.0,57.0,29-2-2024 04:34:28,AFT,44L,L,154587738,162369431,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587739|162369429,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,631,KG,B,Y,35.0,ULD,AKE97643KL,727.0,57.0,29-2-2024 04:34:28,AFT,43R,L,154587739,162369429,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587739|162369430,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,39,KG,B,B,2.0,ULD,AKE97643KL,727.0,57.0,29-2-2024 04:34:28,AFT,43R,L,154587739,162369430,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587740|162369432,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,B,F,1.0,ULD,AKE95432KL,706.0,57.0,29-2-2024 04:34:28,AFT,44R,L,154587740,162369432,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587740|162369433,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,631,KG,B,Y,35.0,ULD,AKE95432KL,706.0,57.0,29-2-2024 04:34:28,AFT,44R,L,154587740,162369433,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587741|162369424,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,302,KG,B,F,16.0,ULD,AKE70215KL,503.0,57.0,29-2-2024 04:34:28,AFT,42L,L,154587741,162369424,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587741|162369425,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,144,KG,D,,8.0,ULD,AKE70215KL,503.0,57.0,29-2-2024 04:34:28,AFT,42L,L,154587741,162369425,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587742|162337235,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,29-2-2024 04:34:28,BLK,52,L,154587742,162337235,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587743|162337236,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,29-2-2024 04:34:28,BLK,52,L,154587743,162337236,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587744|162337237,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,172,KG,B,T,10.0,BLK,,,,29-2-2024 04:34:28,BLK,52,L,154587744,162337237,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587745|162337238,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,113,KG,B,Y,6.0,BLK,,,,29-2-2024 04:34:28,BLK,52,L,154587745,162337238,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154587746|162337239,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,116,KG,B,F,6.0,BLK,,,,29-2-2024 04:34:28,BLK,52,L,154587746,162337239,,
2024-02-28|AMS|KL|0855||2024-02-28|D|154614167|162365218|19299611,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,30,KG,C,,,ULD,AKE70065KL,95.0,65.0,29-2-2024 04:34:28,FWD,13R,L,154614167,162365218,19299611.0,VAL
2024-02-28|AMS|KL|0855||2024-02-28|D|154614168|162365219|19299612,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,1395,KG,C,,,ULD,PAG15379KL,1515.0,120.0,29-2-2024 04:34:28,AFT,31P,L,154614168,162365219,19299612.0,CRT
2024-02-28|AMS|KL|0855||2024-02-28|D|154614169|162365220|19299613,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,1846,KG,C,,,ULD,PAG1174AF,1950.0,104.0,29-2-2024 04:34:28,AFT,32P,L,154614169,162365220,19299613.0,OHG
2024-02-28|AMS|KL|0855||2024-02-28|D|154614170|162365221|19299614,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,2010,KG,C,,,ULD,PMC01770MP,2135.0,125.0,29-2-2024 04:34:28,FWD,22P,L,154614170,162365221,19299614.0,RLM
2024-02-28|AMS|KL|0855||2024-02-28|D|154614170|162365221|19299615,2024-02-28|KL|0855||AMS,ACTIVE,AMS,ICN,2010,KG,C,,,ULD,PMC01770MP,2135.0,125.0,29-2-2024 04:34:28,FWD,22P,L,154614170,162365221,19299615.0,RCM
