FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-08|AMS|KL|0855||2024-01-08|D|152540958|160193642,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,216,KG,D,,12.0,ULD,AKE97649KL,694.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152540958,160193642,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540958|160193643,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,421,KG,B,F,23.0,ULD,AKE97649KL,694.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152540958,160193643,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540959|160193641,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,735,KG,B,Y,41.0,ULD,AKE97959KL,792.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152540959,160193641,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540960|160194009,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,412,KG,B,Y,23.0,ULD,AKE96825KL,469.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152540960,160194009,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540961|160193638,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,19,KG,B,B,1.0,ULD,AKE70065KL,811.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152540961,160193638,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540961|160193639,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,735,KG,B,Y,41.0,ULD,AKE70065KL,811.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152540961,160193639,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540962|160193640,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,579,KG,B,T,37.0,ULD,AKE97050KL,636.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152540962,160193640,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540963|160194010,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,664,KG,B,Y,37.0,ULD,AKE97165KL,741.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152540963,160194010,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540963|160194011,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,20,KG,B,B,1.0,ULD,AKE97165KL,741.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152540963,160194011,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540964|160160999,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152540964,160160999,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540965|160161000,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,38,KG,B,F,2.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152540965,160161000,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540966|160161001,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,111,KG,B,Y,6.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152540966,160161001,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540967|160161002,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152540967,160161002,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152540968|160161003,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,16,KG,B,T,1.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152540968,160161003,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152542398|160194012,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,35,KG,B,Y,2.0,ULD,AKE97196KL,110.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152542398,160194012,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152542398|160194013,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,B,F,1.0,ULD,AKE97196KL,110.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152542398,160194013,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152566686|160188665,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,53,KG,M,,,ULD,AKE70206KL,118.0,65.0,16-2-2024 17:02:55,AFT,31L,L,152566686,160188665,,
2024-01-08|AMS|KL|0855||2024-01-08|D|152566687|160188666|19066529,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,1865,KG,C,,,ULD,PMC73775AF,1975.0,110.0,16-2-2024 17:02:55,AFT,42P,L,152566687,160188666,19066529.0,CRI
2024-01-08|AMS|KL|0855||2024-01-08|D|152566688|160188667|19066530,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,715,KG,C,,,ULD,PMC67428AF,825.0,110.0,16-2-2024 17:02:55,FWD,12P,L,152566688,160188667,19066530.0,CRT
2024-01-08|AMS|KL|0855||2024-01-08|D|152566689|160188668|19066531,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,705,KG,C,,,ULD,PMC66373AF,815.0,110.0,16-2-2024 17:02:55,FWD,11P,L,152566689,160188668,19066531.0,CRT
2024-01-08|AMS|KL|0855||2024-01-08|D|152566690|160188669|19066532,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,850,KG,C,,,ULD,PMC62073AF,960.0,110.0,16-2-2024 17:02:55,FWD,21P,L,152566690,160188669,19066532.0,CRT
2024-01-08|AMS|KL|0855||2024-01-08|D|152566691|160188670|19066533,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,930,KG,C,,,ULD,PMC70594AF,1040.0,110.0,16-2-2024 17:02:55,FWD,23P,L,152566691,160188670,19066533.0,CRT
2024-01-08|AMS|KL|0855||2024-01-08|D|152566692|160188671|19066534,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,1225,KG,C,,,ULD,PMC75626AF,1335.0,110.0,16-2-2024 17:02:55,AFT,41P,L,152566692,160188671,19066534.0,CRT
2024-01-08|AMS|KL|0855||2024-01-08|D|152566693|160188672,2024-01-08|KL|0855||AMS,ACTIVE,AMS,ICN,800,KG,C,,,ULD,PMC73592AF,910.0,110.0,16-2-2024 17:02:55,FWD,13P,L,152566693,160188672,,
