ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE95692KL,0,5750222885,1,1.0,M21,1,27.0,"0,2",SCL,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 14:29:13,PG11,VG2/3,VG2/3,AKE95692KL,1.0,False,True,False
PAG15760KL,0,7401108660,1,,R21,10,294.0,"0,88",BCN,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:20:54,PG11,VG2/3,VG2/3,PAG15760KL,,False,True,False
PMC67650AF,9,7401108660,1,,R21,10,294.0,"0,88",BCN,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,,,,,PMC67650AF,,True,False,False
PAG12060AF,0,7401163444,1,1.0,R21,1,54.0,"0,67",AMS,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:17:43,PG03,VG2/3,VG2/3,PAG12060AF,1.0,False,True,False
PAG12060AF,0,7455278274,1,1.0,R21,3,727.9,"2,3",LIL,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:20:57,PG03,VG2/3,VG2/3,PAG12060AF,1.0,False,True,False
PAG15760KL,0,7455278274,1,2.0,R21,3,727.9,"2,3",LIL,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:20:25,PG11,VG2/3,VG2/3,PAG15760KL,1.0,False,True,False
PAG15760KL,0,7455278274,1,3.0,R21,3,727.9,"2,3",LIL,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:20:25,PG11,VG2/3,VG2/3,PAG15760KL,1.0,False,True,False
PAG15002KL,0,7461287811,1,1.0,R21,2,511.0,"2,3",MUC,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:08:17,PG03,VG2/3,VG2/3,PAG15002KL,1.0,False,True,False
PAG15002KL,0,7461287811,1,2.0,R21,2,511.0,"2,3",MUC,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:08:17,PG03,VG2/3,VG2/3,PAG15002KL,1.0,False,True,False
PAG15002KL,0,7461578241,1,3.0,R21,2,278.0,"2,94",AMS,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:09:37,PG03,VG2/3,VG2/3,PAG15002KL,1.0,False,True,False
PAG15002KL,0,7461578241,1,4.0,R21,2,278.0,"2,94",AMS,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:09:37,PG03,VG2/3,VG2/3,PAG15002KL,1.0,False,True,False
PMC00355DL,1,7461644450,1,,S53,15,3101.0,20,STR,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,,,,,PMC00355DL,,True,False,False
PMC02531DL,1,7461644450,1,,S53,15,3101.0,20,STR,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,,,,,PMC02531DL,,True,False,False
PAG15760KL,0,7462066981,1,1.0,R21,1,335.0,"1,85",BLL,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 17:19:46,PG11,VG2/3,VG2/3,PAG15760KL,1.0,False,True,False
AKE95692KL,0,7462153766,1,1.0,M21,1,1.0,"0,01",YYC,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 14:30:33,PG11,VG2/3,VG2/3,AKE95692KL,1.0,False,True,False
PAG12621AF,0,7462183785,1,1.0,R21,2,131.4,"0,47",STR,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 14:57:31,PG04,VG2/3,VG2/3,PAG12621AF,1.0,False,True,False
PAG12621AF,0,7462183785,1,2.0,R21,2,131.4,"0,47",STR,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:00:13,PG04,VG2/3,VG2/3,PAG12621AF,1.0,False,True,False
PAG12060AF,0,7462191124,1,5.0,R21,4,1440.0,"2,57",CDG,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:07:20,PG03,VG2/3,VG2/3,PAG12060AF,1.0,False,True,False
PAG12621AF,0,7462191124,1,5.0,R21,4,1440.0,"2,57",CDG,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:03:21,PG04,VG2/3,VG2/3,PAG12621AF,1.0,False,True,False
PAG12621AF,0,7462191124,1,6.0,R21,4,1440.0,"2,57",CDG,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:03:21,PG04,VG2/3,VG2/3,PAG12621AF,1.0,False,True,False
PAG12060AF,0,7462191124,1,6.0,R21,4,1440.0,"2,57",CDG,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:07:20,PG03,VG2/3,VG2/3,PAG12060AF,1.0,False,True,False
PAG12060AF,0,7462191124,1,7.0,R21,4,1440.0,"2,57",CDG,ICN,KL,855,KL0855,2024-01-28,28-1-2024 22:20:00,28-1-2024 20:35:00,Aircraft,28-1-2024 15:07:20,PG03,VG2/3,VG2/3,PAG12060AF,1.0,False,True,False
