ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE97577KL,0,5750953921,1,1.0,M21,1,17.0,"0,06",SCL,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:35:33,PG02,VG2/3,VG2/3,AKE97577KL,1.0,False,True,False
AKE97344KL,0,7401423704,1,1.0,R21,2,438.0,"1,86",BIO,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:23:16,PG02,VG2/3,VG2/3,AKE97344KL,1.0,False,True,False
AKE97344KL,0,7401423704,1,2.0,R21,2,438.0,"1,86",BIO,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:23:16,PG02,VG2/3,VG2/3,AKE97344KL,1.0,False,True,False
AKE97577KL,0,7401423704,1,2.0,R21,2,438.0,"1,86",BIO,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:34:19,PG02,VG2/3,VG2/3,AKE97577KL,1.0,False,True,False
AKE96677KL,0,7459222015,1,1.0,R21,1,235.0,"0,7",SWK,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 15:16:10,PG01,VG2/3,VG2/3,AKE96677KL,1.0,False,True,False
PMC67099AF,0,7461582964,1,1.0,M21,1,32.0,"0,35",AMS,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:33:49,PG03,VG2/3,VG2/3,PMC67099AF,1.0,False,True,False
PMC67099AF,0,7461663630,1,1.0,S23,1,1.3,"0,02",FRA,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:37:31,PG03,VG2/3,VG2/3,PMC67099AF,1.0,False,True,False
PAG14153KL,0,7462107625,1,1.0,R91,4,111.2,"0,16",GRZ,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 17:21:38,PG01,VG2/3,VG2/3,PAG14153KL,4.0,False,True,False
PMC22231KL,5,7462191150,1,1.0,R21,3,1185.0,"1,93",CDG,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 17:14:00,PG02,VG2/3,VG2/3,PMC22231KL,2.0,False,True,False
PMC22231KL,5,7462191150,1,2.0,R21,3,1185.0,"1,93",CDG,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 17:08:33,PG02,VG2/3,VG2/3,PMC22231KL,1.0,False,True,False
PMC22231KL,5,7463322766,1,1.0,R21,1,565.0,"1,13",MAD,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 17:14:50,PG02,VG2/3,VG2/3,PMC22231KL,1.0,False,True,False
PMC67099AF,0,7463544176,1,1.0,R21,1,905.0,"1,8",AMS,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 14:21:45,PG03,VG2/3,VG2/3,PMC67099AF,1.0,False,True,False
PAG14153KL,0,7463636366,1,1.0,R21,2,127.0,"0,58",AMS,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 17:21:41,PG01,VG2/3,VG2/3,PAG14153KL,2.0,False,True,False
PMC67099AF,0,7463752496,1,1.0,R21,4,189.0,"0,79",BRU,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:23:16,PG03,VG2/3,VG2/3,PMC67099AF,2.0,False,True,False
PMC67099AF,0,7463752496,1,2.0,R21,4,189.0,"0,79",BRU,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:32:06,PG03,VG2/3,VG2/3,PMC67099AF,2.0,False,True,False
AKE96258KL,0,7463867856,1,32.0,S23,51,10842.8,"34,84",AMS,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 17:36:15,PG04,VG2/3,VG2/3,AKE96258KL,1.0,False,True,False
AKE97344KL,0,7463867856,1,26.0,S23,51,10842.8,"34,84",AMS,ICN,KL,855,KL0855,2024-03-24,24-3-2024 20:50:00,24-3-2024 20:35:00,Aircraft,24-3-2024 16:22:06,PG02,VG2/3,VG2/3,AKE97344KL,1.0,False,True,False
