FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-29|AMS|KL|0855||2024-03-29|D|155801110|163658153,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,312,KG,B,F,17.0,ULD,AKE94830KL,405.0,57.0,30-3-2024 04:27:14,FWD,13R,L,155801110,163658153,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801110|163658154,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,36,KG,D,,2.0,ULD,AKE94830KL,405.0,57.0,30-3-2024 04:27:14,FWD,13R,L,155801110,163658154,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801113|163657372,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,567,KG,B,Y,35.0,ULD,AKE97303KL,624.0,57.0,30-3-2024 04:27:14,FWD,22L,L,155801113,163657372,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801114|163625038,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,599,KG,B,Y,37.0,ULD,AKE94836KL,656.0,57.0,30-3-2024 04:27:14,FWD,21R,L,155801114,163625038,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801115|163657370,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,631,KG,B,Y,39.0,ULD,AKE70214KL,688.0,57.0,30-3-2024 04:27:14,FWD,21L,L,155801115,163657370,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801116|163657371,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,355,KG,B,T,19.0,ULD,AKE95058KL,412.0,57.0,30-3-2024 04:27:14,FWD,22R,L,155801116,163657371,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801117|163657373,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,664,KG,B,Y,41.0,ULD,AKE98218KL,721.0,57.0,30-3-2024 04:27:14,FWD,23R,L,155801117,163657373,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801118|163658155,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,664,KG,B,Y,41.0,ULD,AKE95636KL,721.0,57.0,30-3-2024 04:27:14,FWD,14L,L,155801118,163658155,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801119|163658149,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,226,KG,B,Y,14.0,ULD,AKE96399KL,430.0,57.0,30-3-2024 04:27:14,FWD,12L,L,155801119,163658149,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801119|163658150,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,147,KG,B,F,8.0,ULD,AKE96399KL,430.0,57.0,30-3-2024 04:27:14,FWD,12L,L,155801119,163658150,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801120|163625044,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155801120,163625044,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801121|163625045,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155801121,163625045,,
2024-03-29|AMS|KL|0855||2024-03-29|D|155801122|163625046,2024-03-29|KL|0855||AMS,ACTIVE,AMS,ICN,75,KG,B,T,4.0,BLK,,,,30-3-2024 04:27:14,BLK,52,L,155801122,163625046,,
