ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE97105KL,1,5750638151,1,,R91,5,56.0,"0,18",NBO,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,,,,,AKE97105KL,,True,False,False
AKE96536KL,0,5761487823,1,1.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 1:04,PL01,VG2/3,VG2/3,AKE96536KL,2.0,False,True,False
AAP60364KL,0,5761487823,1,2.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:23:03,PL01,VG2/3,VG2/3,AAP60364KL,1.0,False,True,False
AAP60364KL,0,5761487823,1,3.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:23:03,PL01,VG2/3,VG2/3,AAP60364KL,1.0,False,True,False
AAP60364KL,0,5761487823,1,4.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:30:33,PL01,VG2/3,VG2/3,AAP60364KL,1.0,False,True,False
AAP60364KL,0,5761487823,1,5.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:30:33,PL01,VG2/3,VG2/3,AAP60364KL,1.0,False,True,False
PMC72892AF,0,5761487823,1,6.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:29:51,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
PMC72892AF,0,5761487823,1,7.0,M25,8,855.0,"8,8",BLR,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:29:51,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
PMC24179KL,2,7401417850,1,,R21,4,1950.0,5,NTE,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,,,,,PMC24179KL,,True,False,False
PMC72892AF,0,7401424592,1,1.0,R21,3,407.0,"1,1",PRG,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:21:41,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
AAP60038KL,0,7401424592,1,2.0,R21,3,407.0,"1,1",PRG,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:49,PL01,VG2/3,VG2/3,AAP60038KL,1.0,False,True,False
AAP60038KL,0,7401424592,1,3.0,R21,3,407.0,"1,1",PRG,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:49,PL01,VG2/3,VG2/3,AAP60038KL,1.0,False,True,False
PMC72892AF,0,7401424592,1,3.0,R21,3,407.0,"1,1",PRG,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:21:41,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
AAP60364KL,0,7401452205,1,1.0,R21,1,190.0,"1,26",NTE,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:28:45,PL01,VG2/3,VG2/3,AAP60364KL,1.0,False,True,False
AAP60038KL,0,7401460281,1,1.0,R21,1,271.0,"0,86",PRG,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:41,PL01,VG2/3,VG2/3,AAP60038KL,1.0,False,True,False
AKE96401KL,0,7401463302,1,1.0,R21,1,120.0,"0,84",STR,PHX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 10:06:18,PM15,VG2/3,VG2/3,AKE96401KL,1.0,False,True,False
PMC24179KL,2,7444753354,1,,R21,1,197.0,"0,58",NTE,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,,,,,PMC24179KL,,True,False,False
PMC25277KL,0,7450536301,1,5.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:03,PL01,VG2/3,VG2/3,PMC25277KL,1.0,False,True,False
PMC32546KL,0,7450536301,1,6.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:14,PL01,VG2/3,VG2/3,PMC32546KL,1.0,False,True,False
PMC32546KL,0,7450536301,1,7.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:14,PL01,VG2/3,VG2/3,PMC32546KL,1.0,False,True,False
PMC32546KL,0,7450536301,1,8.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:14,PL01,VG2/3,VG2/3,PMC32546KL,1.0,False,True,False
PMC32546KL,0,7450536301,1,9.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:14,PL01,VG2/3,VG2/3,PMC32546KL,1.0,False,True,False
PMC32546KL,0,7450536301,1,10.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:14,PL01,VG2/3,VG2/3,PMC32546KL,1.0,False,True,False
PMC72892AF,0,7450536301,1,11.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:18:38,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
PMC72892AF,0,7450536301,1,12.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:18:38,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
PMC25277KL,0,7450536301,1,1.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:03,PL01,VG2/3,VG2/3,PMC25277KL,1.0,False,True,False
PMC25277KL,0,7450536301,1,2.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:03,PL01,VG2/3,VG2/3,PMC25277KL,1.0,False,True,False
PMC25277KL,0,7450536301,1,3.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:03,PL01,VG2/3,VG2/3,PMC25277KL,1.0,False,True,False
PMC25277KL,0,7450536301,1,4.0,S23,12,4800.0,20,AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:03,PL01,VG2/3,VG2/3,PMC25277KL,1.0,False,True,False
AAP60038KL,0,7458352836,1,1.0,R21,2,160.0,"1,02",AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:43,PL01,VG2/3,VG2/3,AAP60038KL,2.0,False,True,False
AKE96536KL,0,7458352836,1,1.0,R21,2,160.0,"1,02",AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 1:04,PL01,VG2/3,VG2/3,AKE96536KL,2.0,False,True,False
PMC90140AF,3,7460903765,1,,R21,17,3344.0,"12,01",KUL,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,,,,,PMC90140AF,,True,False,False
AKE96536KL,0,7460903765,1,1.0,R21,17,3344.0,"12,01",KUL,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 1:04,PL01,VG2/3,VG2/3,AKE96536KL,2.0,False,True,False
AKE96536KL,0,7460903765,1,3.0,R21,17,3344.0,"12,01",KUL,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 1:04,PL01,VG2/3,VG2/3,AKE96536KL,1.0,False,True,False
PMC72892AF,0,7461635475,1,1.0,R21,1,268.0,"0,8",FRA,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:26:41,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
PMC32546KL,0,7463094043,1,3.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:21,PL01,VG2/3,VG2/3,PMC32546KL,8.0,False,True,False
AAP60364KL,0,7463094043,1,1.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:23:08,PL01,VG2/3,VG2/3,AAP60364KL,2.0,False,True,False
AAP60364KL,0,7463094043,1,3.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:32:43,PL01,VG2/3,VG2/3,AAP60364KL,8.0,False,True,False
AAP60364KL,0,7463094043,1,2.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:27:43,PL01,VG2/3,VG2/3,AAP60364KL,5.0,False,True,False
AAP60364KL,0,7463094043,1,4.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:25:41,PL01,VG2/3,VG2/3,AAP60364KL,3.0,False,True,False
PMC25277KL,0,7463094043,1,3.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:18,PL01,VG2/3,VG2/3,PMC25277KL,8.0,False,True,False
AAP60364KL,0,7463094043,1,5.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:25:41,PL01,VG2/3,VG2/3,AAP60364KL,6.0,False,True,False
PMC25277KL,0,7463094043,1,5.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:56:18,PL01,VG2/3,VG2/3,PMC25277KL,6.0,False,True,False
PMC32546KL,0,7463094043,1,5.0,R21,24,445.0,"2,2",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:58:21,PL01,VG2/3,VG2/3,PMC32546KL,6.0,False,True,False
PMC72892AF,0,7463096736,1,1.0,R21,6,47.8,"0,6",SWK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:33:19,PL01,VG2/3,VG2/3,PMC72892AF,6.0,False,True,False
AAP60038KL,0,7463131935,1,1.0,R21,1,264.0,"1,34",FRA,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:50,PL01,VG2/3,VG2/3,AAP60038KL,1.0,False,True,False
PMC20461KL,0,7464139213,1,,S76,20,186.0,"2,24",NBO,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 19:06:34,DHEXP,VG1,VG1,PMC20461KL,,False,False,True
AAP60364KL,0,7464481410,1,1.0,S24,1,30.0,"0,09",AMS,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:05:31,PL01,VG2/3,VG2/3,AAP60364KL,1.0,False,True,False
PMC72892AF,0,7464526781,1,1.0,R21,2,949.0,"2,47",DEL,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:26:20,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
AAP60038KL,0,7464526781,1,2.0,R21,2,949.0,"2,47",DEL,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:44,PL01,VG2/3,VG2/3,AAP60038KL,1.0,False,True,False
PMC72892AF,0,7464546160,1,1.0,S23,1,12.0,"0,11",BOM,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 23:18:42,PL01,VG2/3,VG2/3,PMC72892AF,1.0,False,True,False
AAP60038KL,0,7464954120,1,1.0,R21,1,201.0,"0,83",KUL,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,1/4/2024 0:45,PL01,VG2/3,VG2/3,AAP60038KL,1.0,False,True,False
AAP60364KL,0,7465091261,1,1.0,M21,3,11.0,"0,08",BKK,LAX,KL,601,KL0601,2024-04-01,1/4/2024 10:01,1/4/2024 9:50,Aircraft,31-3-2024 22:29:40,PL01,VG2/3,VG2/3,AAP60364KL,3.0,False,True,False
