FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-04-01|AMS|KL|0603||2024-04-01|D|155915819|163772515,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,54,KG,D,,3.0,ULD,AKE95639KL,585.0,57.0,2/4/2024 4:30,AFT,42L,L,155915819,163772515,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915819|163772516,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,91,KG,B,T,7.0,ULD,AKE95639KL,585.0,57.0,2/4/2024 4:30,AFT,42L,L,155915819,163772516,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915819|163772517,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,383,KG,B,F,24.0,ULD,AKE95639KL,585.0,57.0,2/4/2024 4:30,AFT,42L,L,155915819,163772517,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915820|163772513,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,63,KG,B,F,4.0,ULD,AKE94987KL,237.0,57.0,2/4/2024 4:30,AFT,41R,L,155915820,163772513,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915820|163772514,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,117,KG,B,Y,7.0,ULD,AKE94987KL,237.0,57.0,2/4/2024 4:30,AFT,41R,L,155915820,163772514,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915821|163772509,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,585,KG,B,Y,35.0,ULD,AKE97821KL,642.0,57.0,2/4/2024 4:30,AFT,34L,L,155915821,163772509,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915822|163772511,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,90,KG,D,,5.0,ULD,AKE98182KL,626.0,57.0,2/4/2024 4:30,AFT,41L,L,155915822,163772511,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915822|163772512,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,479,KG,B,F,30.0,ULD,AKE98182KL,626.0,57.0,2/4/2024 4:30,AFT,41L,L,155915822,163772512,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915823|163772510,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,652,KG,B,Y,39.0,ULD,AKE96468KL,709.0,57.0,2/4/2024 4:30,AFT,34R,L,155915823,163772510,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915824|163772518,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,619,KG,B,Y,37.0,ULD,AKE70002KL,676.0,57.0,2/4/2024 4:30,AFT,43L,L,155915824,163772518,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915825|163772519,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,686,KG,B,Y,41.0,ULD,AKE97755KL,743.0,57.0,2/4/2024 4:30,AFT,43R,L,155915825,163772519,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915826|163772508,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,636,KG,B,Y,38.0,ULD,AKE70278KL,693.0,57.0,2/4/2024 4:30,AFT,33R,L,155915826,163772508,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915827|163746988,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,18,KG,B,G,1.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155915827,163746988,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915828|163746989,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,78,KG,B,T,6.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155915828,163746989,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915829|163746990,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,30,KG,B,B,2.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155915829,163746990,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915830|163746991,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,66,KG,B,F,4.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155915830,163746991,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155915831|163746992,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,253,KG,B,Y,15.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155915831,163746992,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933451|163765302,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,653,KG,C,,,ULD,PMC24718KL,778.0,125.0,2/4/2024 4:30,FWD,21P,L,155933451,163765302,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933452|163765303,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,647,KG,C,,,ULD,PMC70205AF,757.0,110.0,2/4/2024 4:30,FWD,13P,L,155933452,163765303,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933453|163765304,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,642,KG,C,,,ULD,PMC66663AF,746.0,104.0,2/4/2024 4:30,FWD,11P,L,155933453,163765304,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933454|163765305,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,829,KG,C,,,ULD,PAG11254AF,925.0,96.0,2/4/2024 4:30,FWD,12P,L,155933454,163765305,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933455|163765306|19431545,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,2480,KG,C,,,ULD,PMC31100KL,2605.0,125.0,2/4/2024 4:30,FWD,24P,L,155933455,163765306,19431545.0,COL
2024-04-01|AMS|KL|0603||2024-04-01|D|155933456|163765307,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,1045,KG,C,,,ULD,PMC32136KL,1170.0,125.0,2/4/2024 4:30,FWD,22P,L,155933456,163765307,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933457|163765308,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,1251,KG,C,,,ULD,PMC32615KL,1376.0,125.0,2/4/2024 4:30,FWD,23P,L,155933457,163765308,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933458|163765309,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,1345,KG,C,,,ULD,PMC32557KL,1470.0,125.0,2/4/2024 4:30,AFT,31P,L,155933458,163765309,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155933459|163765310|19431546,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,1915,KG,C,,,ULD,PMC28175KL,2040.0,125.0,2/4/2024 4:30,AFT,43P,L,155933459,163765310,19431546.0,ELI
2024-04-01|AMS|KL|0603||2024-04-01|D|155936323|163768500,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,41,KG,M,,,ULD,AKE96313KL,98.0,57.0,2/4/2024 4:30,AFT,33L,L,155936323,163768500,,
2024-04-01|AMS|KL|0603||2024-04-01|D|155940115|163772520,2024-04-01|KL|0603||AMS,ACTIVE,AMS,LAX,18,KG,D,,1.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155940115,163772520,,
