FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-05|AMS|KL|0601||2024-02-05|D|153636486|161354111,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,35,KG,B,F,2.0,ULD,AKE96425KL,398.0,57.0,16-2-2024 17:02:55,AFT,34L,L,153636486,161354111,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636486|161354112,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,306,KG,B,Y,17.0,ULD,AKE96425KL,398.0,57.0,16-2-2024 17:02:55,AFT,34L,L,153636486,161354112,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636488|161354116,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,521,KG,B,F,29.0,ULD,AKE95986KL,789.0,57.0,16-2-2024 17:02:55,AFT,42L,L,153636488,161354116,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636488|161354117,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,31,KG,B,T,2.0,ULD,AKE95986KL,789.0,57.0,16-2-2024 17:02:55,AFT,42L,L,153636488,161354117,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636488|161354118,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,180,KG,D,,10.0,ULD,AKE95986KL,789.0,57.0,16-2-2024 17:02:55,AFT,42L,L,153636488,161354118,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636489|161354123,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,901,KG,B,Y,50.0,ULD,AKE95993KL,958.0,57.0,16-2-2024 17:02:55,AFT,45R,L,153636489,161354123,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636490|161354121,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,703,KG,B,Y,39.0,ULD,AKE98178KL,760.0,57.0,16-2-2024 17:02:55,AFT,44R,L,153636490,161354121,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636491|161354119,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,504,KG,B,B,28.0,ULD,AKE94634KL,705.0,57.0,16-2-2024 17:02:55,AFT,44L,L,153636491,161354119,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636491|161354120,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,144,KG,B,Y,8.0,ULD,AKE94634KL,705.0,57.0,16-2-2024 17:02:55,AFT,44L,L,153636491,161354120,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636492|161354122,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,901,KG,B,Y,50.0,ULD,AKE97367KL,958.0,57.0,16-2-2024 17:02:55,AFT,45L,L,153636492,161354122,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153636493|161354113,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,865,KG,B,Y,48.0,ULD,AKE70101KL,922.0,57.0,16-2-2024 17:02:55,AFT,41L,L,153636493,161354113,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153643904|161354114,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,717,KG,B,F,40.0,ULD,AKE95952KL,853.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153643904,161354114,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153643904|161354115,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,79,KG,B,T,5.0,ULD,AKE95952KL,853.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153643904,161354115,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153645708|161338286,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,54,KG,B,G,3.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153645708,161338286,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153645709|161338287,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153645709,161338287,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153645710|161338288,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,17,KG,B,T,1.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153645710,161338288,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153645711|161338289,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,111,KG,B,Y,6.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153645711,161338289,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153645712|161338290,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,B,1.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153645712,161338290,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153654327|161347165|19190952,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,381,KG,C,,,ULD,AKE97994KL,438.0,57.0,16-2-2024 17:02:55,AFT,43R,L,153654327,161347165,19190952.0,PEF
2024-02-05|AMS|KL|0601||2024-02-05|D|153654328|161347166|19190953,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,467,KG,C,,,ULD,AKE70270KL,532.0,65.0,16-2-2024 17:02:55,AFT,43L,L,153654328,161347166,19190953.0,PEF
2024-02-05|AMS|KL|0601||2024-02-05|D|153654330|161347168|19190955,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,2246,KG,C,,,ULD,PMC62829AF,2350.0,104.0,16-2-2024 17:02:55,FWD,24P,L,153654330,161347168,19190955.0,COL
2024-02-05|AMS|KL|0601||2024-02-05|D|153654332|161347170|19190957,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,1889,KG,C,,,ULD,PAG11770AF,1985.0,96.0,16-2-2024 17:02:55,FWD,21P,L,153654332,161347170,19190957.0,COL
2024-02-05|AMS|KL|0601||2024-02-05|D|153654333|161347171|19190958,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,1881,KG,C,,,ULD,PAG10344AF,1985.0,104.0,16-2-2024 17:02:55,FWD,22P,L,153654333,161347171,19190958.0,COL
2024-02-05|AMS|KL|0601||2024-02-05|D|153654334|161347172|19190959,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,2210,KG,C,,,ULD,PMC01656DL,2330.0,120.0,16-2-2024 17:02:55,FWD,23P,L,153654334,161347172,19190959.0,COL
2024-02-05|AMS|KL|0601||2024-02-05|D|153654335|161347173,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,896,KG,C,,,ULD,PMC66228AF,1000.0,104.0,16-2-2024 17:02:55,AFT,31P,L,153654335,161347173,,
2024-02-05|AMS|KL|0601||2024-02-05|D|153654336|161347174|19190960,2024-02-05|KL|0601||AMS,ACTIVE,AMS,LAX,1100,KG,C,,,ULD,PAG14784KL,1220.0,120.0,16-2-2024 17:02:55,AFT,32P,L,153654336,161347174,19190960.0,RLI
