BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
14-2-2024 10:07:52,74,831375,7400831375,AMS,LAX,A,1.44,MC,87.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18381857,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,1.44,87.0,1.0,1.0,2.0,1.44,,1.0,True,True,1.44,87.0,120.0,100.0,120.0,True
14-2-2024 10:07:52,74,831375,7400831375,AMS,LAX,A,1.44,MC,87.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18381857,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,1.44,87.0,1.0,1.0,1.0,1.44,87.0,1.0,True,True,1.44,87.0,,,,False
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,2.0,0.01,,1.0,True,True,0.01,,19.0,11.0,19.0,True
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,3.0,0.01,,1.0,True,True,0.01,,13.0,19.0,25.0,True
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,6.0,0.03,,2.0,True,True,0.03,,35.0,15.0,49.0,True
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,7.0,0.26,,1.0,True,True,0.26,,44.0,58.0,102.0,True
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,4.0,0.03,,1.0,True,True,0.03,,20.0,31.0,42.0,True
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,5.0,0.04,,1.0,True,True,0.04,,21.0,37.0,45.0,True
14-2-2024 10:07:52,74,847641,7400847641,AMS,LAX,A,0.38,MC,110.2,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18373393,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,0.38,110.2,7.0,1.0,1.0,0.06,15.74,7.0,True,True,0.06,15.74,,,,False
16-2-2024 05:23:31,74,49495681,7449495681,KGL,PHX,A,1.0,MC,45.0,K,1.0,M25,TEXT,LAX,FFM,False,False,False,False,False,False,False,False,18324435,KL,601,KL0601,,AMS,LAX,13-2-2024,2024-02-14,1.0,45.0,1.0,1.0,1.0,1.0,45.0,1.0,True,True,1.0,45.0,,,,False
